step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.200306016400769,0,0.0,0.4420761813555205,0,0.0
10.0,0,0.0,0.0,12.249630351176636,0,0.0,0.8873155867055812,0,0.0
15.0,0,0.0,0.0,7.914104263920115,0,0.0,0.5332581214969239,0,0.0
20.0,7,25.0,1.0416666666666667,5.87937188057093,7,25.0,0.3136035785548184,7,25.0
25.0,12,53.0,1.962962962962963,5.27613030890257,12,53.0,0.31789351447088143,12,53.0
30.0,8,76.0,2.814814814814815,6.468543165553848,8,76.0,0.3785110798420189,8,76.0
35.0,10,119.0,4.25,6.917894433419954,10,119.0,0.3101847694872973,10,119.0
40.0,16,133.0,3.5945945945945947,4.672893405143216,16,133.0,0.2571299155814572,16,133.0
45.0,16,181.0,5.323529411764706,5.5758529620872626,16,181.0,0.3732323923795044,16,181.0
50.0,17,262.0,6.894736842105263,5.341690170360003,17,262.0,0.3056061438671817,17,262.0
55.0,23,284.0,7.1,2.8119302494589613,23,284.0,0.1296910637706549,23,284.0
60.0,18,152.0,3.8974358974358974,3.4571126412933757,18,323.0,0.19235312253650105,18,323.0
65.0,17,193.0,4.288888888888889,5.251330631439982,17,260.0,0.22379221615519226,17,260.0
70.0,17,228.0,5.066666666666666,4.866996821532298,17,295.0,0.2314104459297495,17,295.0
75.0,17,147.0,3.127659574468085,3.2552138397095236,17,330.0,0.13661027073009568,17,330.0
80.0,21,240.0,4.705882352941177,5.428662124345508,21,329.0,0.28109006083282423,21,329.0
85.0,23,283.0,5.2407407407407405,5.060029540369591,23,372.0,0.2526485976441093,23,372.0
90.0,26,340.0,6.8,3.004101425863011,26,429.0,0.11927913707943558,26,429.0
95.0,33,499.0,9.784313725490197,3.522535301704234,33,588.0,0.13889076519403673,33,588.0
100.0,35,608.0,11.054545454545455,2.3248382860010435,35,667.0,0.07702810293682852,35,667.0
105.0,30,478.0,9.372549019607844,2.683757602261865,30,746.0,0.14164944772655766,30,746.0
110.0,27,462.0,7.830508474576271,3.2963314825157486,27,690.0,0.1067133549857309,27,690.0
115.0,27,501.0,7.9523809523809526,4.357004599812718,27,735.0,0.23062067152635438,27,735.0
120.0,23,356.0,6.137931034482759,4.0679862728484935,23,788.0,0.21974791289395987,23,788.0
125.0,23,376.0,6.163934426229508,3.6916627774312674,23,740.0,0.14677603011372256,23,740.0
130.0,31,495.0,7.983870967741935,3.0709731838744636,31,803.0,0.13062570082847302,31,803.0
135.0,29,522.0,8.557377049180328,2.806732569791719,29,880.0,0.13549812227259594,29,880.0
140.0,31,585.0,9.285714285714286,3.441843456151763,31,857.0,0.13153812594418363,31,857.0
145.0,37,709.0,10.582089552238806,3.7582976594662445,37,935.0,0.13322158088832106,37,935.0
150.0,33,838.0,12.507462686567164,3.9238403569259632,33,1004.0,0.20070059373897295,33,1004.0
155.0,30,819.0,12.409090909090908,3.64129119053856,30,1087.0,0.18178133277120462,30,1087.0
160.0,31,852.0,12.716417910447761,3.6417737066895777,31,1074.0,0.14371343270675693,31,1074.0
165.0,36,809.0,11.72463768115942,3.4380222995800356,36,1037.0,0.1531765187474911,36,1037.0
170.0,33,451.0,6.731343283582089,2.738197229543229,33,954.0,0.12986204997733325,33,954.0
175.0,44,640.0,9.27536231884058,2.979300672221044,44,904.0,0.11299707238072884,44,904.0
180.0,45,837.0,12.308823529411764,2.1910997627389435,45,1063.0,0.04616465211166265,45,1063.0
185.0,46,944.0,12.756756756756756,2.179229283244577,46,1236.0,0.08603657821644525,46,1236.0
190.0,39,1068.0,14.63013698630137,3.777527399470493,39,1300.0,0.1691472431622505,39,1300.0
195.0,39,1158.0,15.44,2.6999778802931615,39,1378.0,0.1021363855373625,39,1378.0
200.0,41,947.0,12.460526315789474,2.375324023312717,41,1475.0,0.09902388548765925,41,1475.0
205.0,43,821.0,10.662337662337663,2.8250717420023004,43,1401.0,0.09155025726374395,43,1401.0
210.0,39,916.0,11.896103896103897,3.744279369107831,39,1410.0,0.14038308834813212,39,1410.0
215.0,41,1070.0,14.657534246575343,2.8817516963287377,41,1504.0,0.12952652589826932,41,1504.0
220.0,45,1105.0,13.987341772151899,2.775066574596858,45,1583.0,0.11710283091747167,45,1583.0
225.0,37,1166.0,14.759493670886076,3.653632711506118,37,1666.0,0.15880810060429035,37,1666.0
230.0,42,1136.0,14.024691358024691,2.7332576471144194,42,1650.0,0.12266924286599767,42,1650.0
235.0,49,724.0,8.938271604938272,2.0109360521141166,49,1664.0,0.10169088430932152,49,1664.0
240.0,51,935.0,11.835443037974683,2.626334843814142,51,1545.0,0.09636801591345548,51,1545.0
245.0,59,1153.0,13.726190476190476,2.1456000192879037,59,1697.0,0.06676076450289675,59,1697.0
250.0,59,1164.0,14.37037037037037,1.8495639531164243,59,1869.0,0.056348870655219874,59,1869.0
255.0,56,1224.0,14.4,2.372988768760036,56,1865.0,0.06968561049484107,56,1865.0
260.0,49,1325.0,14.722222222222221,3.768036394289009,49,1979.0,0.16990627044475184,49,1979.0
265.0,53,1474.0,16.75,2.853570758877579,53,2047.0,0.12785184058602722,53,2047.0
270.0,48,1391.0,16.174418604651162,2.5582416813271602,48,2098.0,0.09735198157233843,48,2098.0
