step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.78947372268481,0,0.0,0.9344002875428323,0,0.0,0.9419269584475478,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9404511322198308,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9422138980427002,0,0.0,0.9449363844536389,0,0.0,0.9450769706876594,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9388864434970692,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.829986354430268,0,0.0,0.9574700250411338,0,0.0,0.9549956209463455,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9539481256430823,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9595305803509414,0,0.0,0.9595531541882366,0,0.0,0.875687824857158,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9584356725266423,0,0.0,1.0,0,0.0
15.0,4,4.0,0.1,11.082469192741447,1,1.0,0.7747979001986702,0,0.0,0.9485339046868262,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7133204070422543,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9653894157691246,0,0.0,0.9428235049572539,1,1.0,0.7572196022739325,0,0.0,0.9455545361474481,0,0.0,0.9703536745532735,0,0.0,0.9488811735572944,1,1.0,0.6062095238045532,0,0.0,1.0,4,4.0
20.0,10,38.0,0.6785714285714286,10.010968783248542,3,10.0,0.623143760501403,0,0.0,0.9697107467597992,0,0.0,1.0,0,0.0,1.0,2,9.0,0.5457018480166715,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9549535559819594,0,0.0,0.9356150830573183,3,10.0,0.5928266465402315,0,0.0,0.9556168817179385,0,0.0,0.9437481982994321,0,0.0,0.9589521949466588,2,9.0,0.5316936342738007,0,0.0,1.0,10,38.0
25.0,15,71.0,0.9861111111111112,9.490432828036903,5,29.0,0.5416728165808468,0,0.0,0.9583321888028971,0,0.0,0.9311039677149875,0,0.0,0.9534505035378771,3,7.0,0.5549470542397729,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9488788693348862,0,0.0,0.9754078571377496,5,29.0,0.553278428295197,0,0.0,0.9384991002898048,0,0.0,0.9345517495484135,0,0.0,0.9498652949540343,2,6.0,0.5479327872710155,0,0.0,0.9700947203357972,15,71.0
30.0,14,116.0,1.45,9.813727537822848,7,58.0,0.4370077843078242,0,0.0,0.9593811613298926,0,0.0,0.9655802160541239,0,0.0,0.9796326910605967,0,2.0,0.6657693539214943,0,8.0,0.7624146441075909,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9551785713436548,0,0.0,0.9516405672037888,7,58.0,0.4451968441622342,0,0.0,0.9462303463382475,0,0.0,0.9122882262796699,0,0.0,0.9717705826537174,0,0.0,0.7893739409174068,0,8.0,0.8352886398170837,14,134.0
35.0,16,193.0,2.0104166666666665,10.33232356872194,8,97.0,0.3975634932335197,0,0.0,0.9202652832657359,0,0.0,0.9312780648015044,0,0.0,0.9300311405707773,0,0.0,0.9329706920147252,0,8.0,0.8822333779752092,0,0.0,1.0,0,0.0,0.9534505035378771,0,0.0,0.9586009293752071,0,0.0,0.9349291063390561,8,96.0,0.4519338312355358,0,0.0,0.9086202985475456,0,0.0,0.8738692494558526,0,0.0,0.9695383770567932,0,0.0,0.8922653864906411,0,8.0,0.9197974944178751,16,209.0
40.0,17,230.0,2.0535714285714284,9.914928820860684,7,90.0,0.4499164823207486,0,0.0,0.9419136765224625,0,0.0,0.9812183104690066,0,0.0,0.9860126394230122,0,0.0,0.9655795555801351,0,0.0,0.8949143685179981,0,0.0,0.9326064251930677,0,0.0,0.9854131957884669,0,0.0,0.9429563631181608,0,0.0,0.9397422295998084,9,139.0,0.35806721481521764,0,0.0,0.9367409569347366,0,0.0,0.9034743797468735,0,0.0,0.9344830996639101,1,1.0,0.8247199931572171,0,8.0,0.7917277243325203,17,238.0
45.0,17,156.0,1.3,8.999578845600407,1,52.0,0.44729286464435825,0,8.0,0.8456203590582192,0,0.0,0.8571099560684274,0,0.0,0.9859271433548316,0,0.0,0.916312000820429,0,0.0,0.8548431623595556,0,0.0,0.927139121695323,0,0.0,0.9275057693535121,0,0.0,0.9531362612030699,0,0.0,0.9638890268147061,10,135.0,0.23443482317349287,0,0.0,0.9238112681802852,0,0.0,0.9246427390813124,0,0.0,0.9651839791239943,1,6.0,0.5597456987617364,5,20.0,0.45820950695375845,17,221.0
50.0,18,68.0,0.5,9.320393324334805,3,19.0,0.5817175867841687,0,9.0,0.9042760271809214,0,0.0,0.8726315450989599,0,0.0,0.9618200753729489,0,0.0,0.9468035407732345,1,2.0,0.8321673028208533,0,0.0,0.8895828665924893,0,0.0,0.9378046900364234,0,0.0,0.9543163238617864,0,0.0,0.9681675695369686,5,96.0,0.25015034594584906,0,8.0,0.8375732262363529,0,0.0,0.9597544333541362,0,0.0,0.950269600441167,2,7.0,0.45060443583679866,7,31.0,0.28183417026273233,18,172.0
55.0,15,86.0,0.5695364238410596,9.625849495813409,5,37.0,0.5686590238689576,0,9.0,0.8033627482126986,0,8.0,0.8154692040540931,0,0.0,0.9585477066533158,0,7.0,0.8298747245138429,2,8.0,0.610691367731664,0,0.0,0.7021447144801738,0,0.0,0.9515407357080148,0,0.0,0.9726254521977937,0,0.0,0.9511354026315093,3,40.0,0.4478185461064454,0,9.0,0.9202380420965858,0,0.0,0.9656920252742675,0,0.0,0.8849945128699744,2,9.0,0.5558050434369564,3,38.0,0.24491824800535067,15,165.0
60.0,25,161.0,1.0320512820512822,8.769300983104497,6,38.0,0.4411174676232163,3,5.0,0.48538159813755477,0,9.0,0.9018102963676778,0,0.0,0.9324763366592054,0,7.0,0.91734666822833,3,22.0,0.49086990157599564,2,6.0,0.6655097949108139,0,0.0,0.8842870020826079,0,0.0,0.9569416406754345,0,0.0,0.9320589027223957,3,37.0,0.5611346497046018,1,3.0,0.681312872482386,0,0.0,0.9271456664689802,0,0.0,0.8618653483050327,3,23.0,0.3651075386324032,4,32.0,0.2290791443486541,25,182.0
65.0,27,197.0,1.165680473372781,8.480860249015096,2,25.0,0.5495789564627473,2,10.0,0.33015970810031103,1,3.0,0.800447836137139,0,0.0,0.8670228281181359,0,0.0,0.7891287865155874,4,42.0,0.3129989242776862,2,16.0,0.6521923279462111,0,0.0,0.8982028074787379,0,5.0,0.8524138682168735,0,0.0,0.9477398210682942,3,60.0,0.6033027208448629,3,16.0,0.578536672625434,0,0.0,0.8554455965544422,0,0.0,0.9543134514601415,4,19.0,0.4012233316594636,6,34.0,0.00032824229558712327,27,230.0
70.0,30,218.0,1.184782608695652,9.140953836290464,5,27.0,0.5993495611425309,3,24.0,0.4586461191446983,1,7.0,0.7322557986100665,0,0.0,0.9043528949539723,2,6.0,0.5831969533271183,4,70.0,0.35660527499721767,7,16.0,0.26172656858424326,0,0.0,0.7958452152394936,0,6.0,0.89997588803795,0,0.0,0.9569808380765659,1,32.0,0.8318653317859389,5,39.0,0.4503125904991927,0,0.0,0.9227690797804743,0,0.0,0.9532908059856953,0,6.0,0.6534186159589374,2,30.0,0.5170101601652428,30,263.0
75.0,34,290.0,1.5183246073298429,8.780574312901404,5,52.0,0.4287583193432906,6,49.0,0.35127017059029714,3,19.0,0.4899253970315105,0,0.0,0.8823617471517246,3,20.0,0.3583300912176867,2,45.0,0.6734337455758035,5,24.0,0.2762109733922013,1,4.0,0.6510752372542763,0,6.0,0.7886648796392921,0,0.0,0.9492572932775336,2,5.0,0.7042430455674983,5,64.0,0.319688736454647,0,0.0,0.7377559587300833,0,0.0,0.9535116174666457,0,8.0,0.8465713376073394,2,36.0,0.7514999174777723,34,332.0
80.0,39,256.0,1.2549019607843137,7.477768795209805,6,48.0,0.4728209750599271,5,43.0,0.3178420927010412,2,11.0,0.07035302178073764,1,2.0,0.5906859410089761,4,20.0,0.40199634535620526,0,5.0,0.5812205535489816,6,44.0,0.0379966786371496,3,15.0,0.5171538119857115,2,3.0,0.49965567867308774,0,0.0,0.9629385662322254,4,20.0,0.6226071473162741,5,50.0,0.0009876662562097037,1,1.0,0.643415909428961,0,0.0,0.8321485795413388,0,8.0,0.9172503161467523,0,9.0,0.6726341096253067,39,279.0
85.0,25,172.0,0.8113207547169812,7.773924051203058,1,33.0,0.4976937471489921,0,25.0,0.6089870059390904,0,10.0,0.5054349841511308,4,12.0,0.22584278167700186,0,6.0,0.7066554846713204,0,8.0,0.814692888123108,7,87.0,0.28218063132394494,2,10.0,0.47959930169579634,2,11.0,0.32363663547000415,0,5.0,0.8532322201330229,5,42.0,0.4276066652912318,2,35.0,0.49577404760649074,2,7.0,0.42027534099287517,0,0.0,0.934679837890869,0,0.0,0.7757807979694646,0,9.0,0.5519660078620043,25,300.0
90.0,32,256.0,1.2248803827751196,9.021362247976654,4,18.0,0.5068094691673957,0,8.0,0.8877294859663295,0,8.0,0.951101721930329,3,17.0,0.3097646109296815,0,0.0,0.8917132061011055,0,9.0,0.9146460672677716,7,123.0,0.46321636862469706,0,0.0,0.3902830699641137,4,21.0,0.4436964044573418,0,5.0,0.9031547265435947,6,43.0,0.2281378818250827,2,32.0,0.7404598323920205,4,22.0,0.1627420331208802,0,0.0,0.7647028971786649,2,6.0,0.6941166619211329,0,4.0,0.8072921191047685,32,316.0
95.0,33,331.0,1.5324074074074074,8.727560546090062,4,21.0,0.4547737359957001,0,8.0,0.7705752886693767,0,0.0,0.8213999148429618,4,26.0,0.0065018431864208,1,1.0,0.8370069845666116,0,1.0,0.8376364154433077,7,150.0,0.4195384669427958,0,0.0,0.6510795417129764,6,48.0,0.34155793517408106,0,0.0,0.8349303694721852,2,34.0,0.40373271186279164,2,42.0,0.7416670176865003,2,15.0,0.006610551105389997,2,6.0,0.6311223213643159,3,21.0,0.5794570637649272,0,4.0,0.6706612575430538,33,377.0
100.0,43,425.0,1.8805309734513274,8.464757065895823,5,26.0,0.4948831543007555,3,3.0,0.34485683011574836,0,8.0,0.7253159679841567,3,24.0,0.48782288762090265,2,7.0,0.7451004843026132,0,0.0,0.7958669574506535,7,184.0,0.48367935018081315,0,0.0,1.0,6,45.0,0.3368485045048915,2,6.0,0.7459045748547075,2,29.0,0.6756052327195632,2,51.0,0.7672962700304989,1,5.0,0.0,4,24.0,0.4478198544545847,5,43.0,0.3395946243892246,1,5.0,0.6139039540653589,43,460.0
105.0,41,436.0,1.9908675799086757,8.624296824268875,6,46.0,0.4188787853705103,3,11.0,0.3846357493258109,0,8.0,0.9186347175438492,0,0.0,0.8992712522884915,4,22.0,0.5611748253773162,0,3.0,0.8170022080709336,7,150.0,0.47961978799052346,0,8.0,0.7442708231580839,0,23.0,0.6202751744713774,4,23.0,0.5888127705881313,2,39.0,0.7546593128627369,3,62.0,0.6061607108175135,1,18.0,0.5711165011734876,6,49.0,0.000686239068154159,5,40.0,0.3257415932423446,0,0.0,0.7919613152768445,41,502.0
110.0,34,243.0,1.114678899082569,7.789205177412986,6,51.0,0.429929342929419,4,29.0,0.34012718653978485,0,8.0,0.2851146031189475,1,2.0,0.6338010165826736,6,47.0,0.4326385350790816,0,3.0,0.9078558721313107,2,100.0,0.21915905453495807,0,17.0,0.808984443217156,0,6.0,0.8856313082668528,5,26.0,0.34553868775205987,0,8.0,0.7068886262872824,5,24.0,0.23801919906861058,1,24.0,0.8202534604624301,4,43.0,0.0,0,19.0,0.5547178785476169,0,8.0,0.7621550501361493,34,415.0
115.0,29,169.0,0.7824074074074074,8.015129492280877,2,39.0,0.5194073857265794,4,34.0,0.563865487752194,2,4.0,0.4753292261103221,4,15.0,0.3329308119983091,7,46.0,0.28081036092089967,0,0.0,0.9084037797324521,2,24.0,0.30153051916742446,0,9.0,0.9417803476647959,0,6.0,0.7628111544861191,3,25.0,0.46625835445615843,2,4.0,0.41219076321788956,2,25.0,0.1456808507871331,1,29.0,0.7974831546496235,0,25.0,0.6049352732826968,0,8.0,0.8260827846276175,0,8.0,0.9172072342874565,29,301.0
120.0,20,165.0,0.7638888888888888,9.126734153630158,4,23.0,0.5471790629411797,0,17.0,0.7318575437830297,0,0.0,0.9206170247674119,0,16.0,0.4807292835478709,2,21.0,0.3493813003228811,0,8.0,0.8193643443912856,2,42.0,0.5966185712725082,1,2.0,0.7587869903143416,3,5.0,0.31600172442368135,3,35.0,0.5584450558355445,3,16.0,0.4810644794511077,1,27.0,0.46511132673896116,1,25.0,0.856656245772396,0,8.0,0.9176624217320424,0,4.0,0.860816004610304,0,8.0,0.7284681989494731,20,257.0
125.0,25,225.0,1.0044642857142858,9.456382834263252,6,47.0,0.4596776195715217,1,9.0,0.71647205477377,0,0.0,0.9313137639319053,0,8.0,0.6246411129495292,2,23.0,0.6019193262169832,0,10.0,0.902292797354398,1,11.0,0.7052060187246741,1,7.0,0.79790446650281,2,10.0,0.41663627569175105,3,56.0,0.634718229370007,5,36.0,0.3160793000531589,1,27.0,0.82236018541388,1,30.0,0.6756272727251178,0,0.0,0.9016244127975498,0,4.0,0.7572164815284577,2,5.0,0.3671288602398063,25,283.0
