step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.436882410841509,0,0.0,0.9486100238461967,0,0.0,0.946534040650988,0,0.0,1.0,0,0.0,1.0,0,0.0,0.945535447080309,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9482279402807443,0,0.0,0.9500728057184542,0,0.0,0.9510398116684854,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9441395463664495,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.262167554098438,0,0.0,0.930435324058467,0,0.0,0.9510543810126976,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9556338424246781,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9562869825451046,0,0.0,0.9594579582182259,0,0.0,0.8826958279362893,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9533212772791692,0,0.0,1.0,0,0.0
15.0,3,5.0,0.125,11.160441248639449,1,2.0,0.7900379302360058,0,0.0,0.9632496517912289,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6354268904250537,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9304195624695065,0,0.0,0.9547705149004528,1,2.0,0.6791276306702293,0,0.0,0.9876417394584113,0,0.0,0.9581925668894837,0,0.0,0.9462526717623455,0,0.0,0.68222065242849,0,0.0,1.0,3,5.0
20.0,12,42.0,0.75,9.700740851701896,3,11.0,0.6427941185831269,1,1.0,0.7684949262169893,0,0.0,1.0,0,0.0,1.0,3,10.0,0.5244833692805951,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8545182617268189,0,0.0,0.9708063109270728,3,13.0,0.6345205732704957,0,0.0,0.9629708603056897,0,0.0,0.9376658727425254,0,0.0,0.9452488828713353,2,7.0,0.489590221106005,0,0.0,1.0,12,42.0
25.0,21,108.0,1.5,7.249328949408891,4,29.0,0.5971259702376479,3,9.0,0.507104408250582,0,0.0,1.0,0,0.0,1.0,4,26.0,0.37660530659389235,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,4.0,0.6659007176432297,1,1.0,0.5935226554331602,4,30.0,0.5189453981523131,0,0.0,0.6565442856627158,1,1.0,0.35083850534113253,0,0.0,0.25016621592781213,2,8.0,0.637060341778031,0,0.0,1.0,21,108.0
30.0,33,179.0,2.2375,5.74361246544038,5,26.0,0.4803089456855045,4,27.0,0.39516923478419624,0,0.0,1.0,0,0.0,1.0,5,24.0,0.30610357735036636,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,18.0,0.3765473161746985,3,11.0,0.500526373817748,6,55.0,0.38352230028215734,1,2.0,0.2388655293112462,2,8.0,0.0003111918948698499,3,8.0,0.0007391796169314489,0,1.0,0.765498486840791,0,8.0,0.7270004283576839,33,188.0
35.0,32,251.0,2.6145833333333335,6.585052125818368,2,20.0,0.5475410259677139,6,60.0,0.42721993904300437,0,0.0,1.0,0,0.0,1.0,0,11.0,0.5546811917147505,0,8.0,0.7169062033069692,0,0.0,1.0,0,0.0,1.0,4,18.0,0.4684429138772069,4,27.0,0.36377926198963584,9,94.0,0.29824891427433026,2,9.0,5.400985822062245e-05,2,18.0,0.0,3,23.0,0.0,0,0.0,0.7841341780450863,0,8.0,0.9041984295730907,32,296.0
40.0,26,232.0,2.0714285714285716,7.5565935446147625,4,26.0,0.6580682569264434,5,54.0,0.6271449554773709,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8964708413786566,0,8.0,0.9059572052948254,0,0.0,1.0,0,0.0,1.0,0,6.0,0.6586307253709854,5,29.0,0.4360041971245401,8,90.0,0.21237700096631196,0,0.0,1.0,2,36.0,0.5169526589144924,1,12.0,0.0,1,1.0,0.7175505109513729,0,8.0,0.6851150701904234,26,270.0
45.0,12,74.0,0.6166666666666667,8.372629867311701,6,51.0,0.4468733174947699,0,31.0,0.6085227895974744,0,0.0,1.0,0,8.0,0.6759670523654826,0,4.0,0.835204900137498,0,0.0,0.8796443575949912,0,0.0,0.9099628957765126,0,0.0,1.0,0,0.0,0.8894607677019357,0,15.0,0.6101157550454883,1,71.0,0.33271264767813763,0,16.0,0.7088234835408003,0,4.0,0.8918688401375134,0,8.0,0.7653510187841438,1,6.0,0.5395882026799694,4,28.0,0.2201939541976631,12,242.0
