step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.470507252009805,0,0.0,0.9562535029337919,0,0.0
10.0,0,0.0,0.0,13.02268256234821,0,0.0,0.9220901418783558,0,0.0
15.0,4,8.0,0.4444444444444444,7.790777839131607,4,8.0,0.4122946026010509,4,8.0
20.0,6,32.0,1.8823529411764706,7.360318592525964,6,32.0,0.46504804653807796,6,32.0
25.0,7,64.0,3.2,5.384771370102227,7,64.0,0.3336498829203961,7,64.0
30.0,12,117.0,5.85,5.202989288301784,12,117.0,0.29938688090131066,12,117.0
35.0,13,139.0,6.043478260869565,3.4663381969245224,13,139.0,0.22382435743210477,13,139.0
40.0,14,167.0,5.964285714285714,5.433878936983759,14,167.0,0.32963166646314035,14,167.0
45.0,17,241.0,7.53125,5.537371333781541,17,241.0,0.3141463316592991,17,241.0
50.0,18,285.0,9.193548387096774,2.801662888575367,18,285.0,0.18291389698889163,18,285.0
55.0,16,215.0,6.323529411764706,4.17804334069095,16,322.0,0.23098383633025266,16,322.0
60.0,12,267.0,7.852941176470588,5.678301381873511,12,296.0,0.17705286034449028,12,296.0
65.0,14,237.0,6.405405405405405,5.595604151116707,14,266.0,0.2731136739035686,14,266.0
70.0,11,103.0,3.21875,4.509607498389924,11,186.0,0.18839536619432296,11,186.0
75.0,16,177.0,4.214285714285714,6.7173836077267906,16,206.0,0.38162393253607263,16,206.0
80.0,18,237.0,5.780487804878049,6.234644616970545,18,247.0,0.34714342539971654,18,247.0
85.0,14,181.0,4.414634146341464,4.700492437826814,14,270.0,0.24158415765743385,14,270.0
90.0,14,215.0,5.657894736842105,5.929391228989644,14,275.0,0.25227564786098544,14,275.0
95.0,14,198.0,5.076923076923077,5.317290659837882,14,258.0,0.27000693469376635,14,258.0
100.0,15,134.0,3.8285714285714287,4.152192148314973,15,242.0,0.22298734295987474,15,242.0
105.0,22,228.0,6.0,4.453438615309031,22,288.0,0.16730277014294506,22,288.0
110.0,24,318.0,7.7560975609756095,4.632572357840681,24,355.0,0.25549972594425724,24,355.0
115.0,17,284.0,7.282051282051282,4.672051726118653,17,385.0,0.26913738803688375,17,385.0
120.0,10,288.0,7.2,5.766741423629922,10,368.0,0.2501188044556405,10,368.0
125.0,16,270.0,6.585365853658536,5.082662165610564,16,350.0,0.2509075360252497,16,350.0
130.0,14,146.0,3.7435897435897436,3.8270029825056815,14,339.0,0.17115823597279886,14,339.0
135.0,20,231.0,5.775,4.782075712533955,20,311.0,0.1639329406651783,20,311.0
140.0,24,313.0,7.825,4.055616337682999,24,370.0,0.14994445754159352,24,370.0
