step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.442848505460037,0,0.0,0.5013371892017308,0,0.0
10.0,0,0.0,0.0,11.554745269871438,0,0.0,0.8774279968898927,0,0.0
15.0,0,0.0,0.0,7.837277729130771,0,0.0,0.5927476020669193,0,0.0
20.0,8,21.0,0.875,6.3680187965052655,8,21.0,0.3528017020685642,8,21.0
25.0,12,51.0,1.8214285714285714,5.757182924405706,12,51.0,0.32980568704252045,12,51.0
30.0,14,105.0,4.038461538461538,4.498235695133368,14,105.0,0.2784358615131804,14,105.0
35.0,16,181.0,6.464285714285714,4.915993854896519,16,181.0,0.26551068557061613,16,181.0
40.0,21,218.0,5.7368421052631575,2.7158276186070878,21,218.0,0.16214154850274315,21,218.0
45.0,11,177.0,4.538461538461538,6.027313324862651,11,244.0,0.3900324066054955,11,244.0
50.0,12,237.0,5.642857142857143,6.538257854184854,12,242.0,0.34130744755270076,12,242.0
55.0,22,315.0,7.0,3.6336735360249213,22,320.0,0.13254945506528773,22,320.0
60.0,26,437.0,11.205128205128204,3.301859379735637,26,442.0,0.1866776899895185,26,442.0
65.0,30,580.0,13.181818181818182,2.046844789586324,30,585.0,0.10966962738811968,30,585.0
70.0,32,643.0,14.613636363636363,1.5136116077503095,32,648.0,0.10741061809082789,32,648.0
75.0,28,402.0,7.730769230769231,2.4304362928535266,28,658.0,0.11536342932724634,28,658.0
80.0,24,378.0,6.517241379310345,4.860768904297525,24,595.0,0.25701757133301734,24,595.0
85.0,23,390.0,6.39344262295082,4.248322196848673,23,629.0,0.22411609933008436,23,629.0
90.0,22,256.0,4.413793103448276,3.3849558838538076,22,675.0,0.1523788495445073,22,675.0
95.0,25,325.0,5.603448275862069,3.663348032055836,25,645.0,0.14201466902933696,25,645.0
100.0,31,438.0,7.064516129032258,3.2971116312424,31,699.0,0.13792100986848774,31,699.0
105.0,28,458.0,7.762711864406779,2.9986862183028284,28,767.0,0.13937019673411163,28,767.0
110.0,30,521.0,8.140625,3.0198880126458474,30,756.0,0.11533989340141117,30,756.0
115.0,32,608.0,8.941176470588236,3.958133986699396,32,817.0,0.21296285553781363,32,817.0
120.0,25,629.0,9.828125,4.005190308525594,25,899.0,0.22191339121524764,25,899.0
125.0,32,730.0,11.06060606060606,3.319104598993318,32,942.0,0.11525192128822839,32,942.0
130.0,40,888.0,13.253731343283581,2.942329760987601,40,1058.0,0.12914018068867889,40,1058.0
135.0,38,959.0,14.530303030303031,2.48793809042747,38,1198.0,0.11833859817241375,38,1198.0
140.0,37,1060.0,15.588235294117647,3.191843194038355,37,1253.0,0.1177799761587379,37,1253.0
145.0,43,1191.0,16.315068493150687,2.623710882770706,43,1380.0,0.10325850763300846,43,1380.0
150.0,34,1229.0,16.60810810810811,3.391270098287083,34,1466.0,0.1542296744829556,34,1466.0
155.0,34,1350.0,18.75,4.0087758958676964,34,1576.0,0.19469100872256564,34,1576.0
160.0,47,1372.0,18.293333333333333,2.1508441378872822,47,1598.0,0.08063190108203401,47,1598.0
165.0,46,1225.0,16.554054054054053,2.2644584152079243,46,1636.0,0.0999075056538062,46,1636.0
170.0,52,1476.0,19.42105263157895,2.5083006802061827,52,1713.0,0.07694889372102941,52,1713.0
175.0,58,1752.0,22.753246753246753,2.5755235284255424,58,1978.0,0.07915457516980624,58,1978.0
180.0,59,2005.0,27.094594594594593,1.5231678935396955,59,2205.0,0.046890326485031074,59,2205.0
185.0,56,2109.0,26.037037037037038,1.8424542102129025,56,2404.0,0.08850772516090506,56,2404.0
190.0,49,2287.0,27.890243902439025,3.1630916624646153,49,2554.0,0.1426960138542966,49,2554.0
195.0,56,2450.0,29.166666666666668,2.1623659824574823,56,2677.0,0.0762721460688018,56,2677.0
200.0,55,2258.0,26.25581395348837,2.037414836871797,55,2826.0,0.07663889549843195,55,2826.0
205.0,56,2139.0,25.464285714285715,2.3538350086258912,56,2761.0,0.0802184322865958,56,2761.0
210.0,52,2151.0,25.607142857142858,3.306317970894997,52,2820.0,0.1360453111167246,52,2820.0
215.0,41,2145.0,27.151898734177216,2.796515319147427,41,2884.0,0.11763418945707922,41,2884.0
220.0,47,2177.0,25.313953488372093,2.7784111579814232,47,3028.0,0.13061607690068314,47,3028.0
225.0,41,2265.0,26.337209302325583,3.4672002557858654,41,3073.0,0.16525103279471992,41,3073.0
230.0,47,2443.0,27.761363636363637,2.2589788002223767,47,3172.0,0.10128458924094534,47,3172.0
235.0,56,2575.0,28.296703296703296,1.8180885925089376,56,3308.0,0.07705784701875032,56,3308.0
240.0,55,2763.0,31.397727272727273,2.288713054233516,55,3275.0,0.07495986459821859,55,3275.0
245.0,56,2870.0,31.195652173913043,2.220997491637838,56,3430.0,0.08827162601430308,56,3430.0
250.0,51,2898.0,32.2,2.157444776685752,51,3587.0,0.09339606040784094,51,3587.0
255.0,60,3175.0,33.776595744680854,1.979859307580228,60,3777.0,0.06149232676371014,60,3777.0
260.0,65,3078.0,31.09090909090909,2.0991051771674236,65,3680.0,0.08659220397425126,65,3680.0
265.0,71,1754.0,18.082474226804123,1.5204054612506668,71,3602.0,0.043756656121741636,71,3602.0
270.0,68,1370.0,14.270833333333334,1.9184986869739644,68,2972.0,0.05024251496507863,68,2972.0
275.0,65,1494.0,15.090909090909092,2.60299376436473,65,2809.0,0.07728351956523759,65,2809.0
280.0,74,1777.0,18.132653061224488,1.8867508716253978,74,3011.0,0.08394091642369424,74,3011.0
285.0,70,1812.0,19.27659574468085,1.2115248004830776,70,3095.0,0.031043601172833266,70,3095.0
290.0,70,1886.0,19.244897959183675,1.8607501910568631,70,3225.0,0.04642840469665111,70,3225.0
295.0,64,2004.0,20.448979591836736,3.118674346099063,64,3316.0,0.10901484734330551,64,3316.0
300.0,55,1984.0,21.333333333333332,2.833274496504367,55,3437.0,0.13003662817919953,55,3437.0
305.0,57,1577.0,17.522222222222222,2.299965189334496,57,3372.0,0.09227258037551303,57,3372.0
310.0,54,1215.0,13.206521739130435,2.432267860512502,54,3328.0,0.08923638469314488,54,3328.0
315.0,53,1013.0,10.89247311827957,2.1818969001364334,53,3309.0,0.09833387089593845,53,3309.0
320.0,44,644.0,7.076923076923077,2.099496917696053,44,3323.0,0.0986191997211989,44,3323.0
325.0,58,749.0,7.642857142857143,2.184296707903454,58,3055.0,0.07695749702630299,58,3055.0
330.0,66,933.0,9.147058823529411,1.9809339958496819,66,3239.0,0.06999392591928903,66,3239.0
335.0,72,1113.0,11.474226804123711,1.694712194147098,72,3439.0,0.075415382614964,72,3439.0
340.0,81,1494.0,15.244897959183673,1.3539550505935667,81,3800.0,0.004193379339183218,81,3800.0
345.0,86,1892.0,19.306122448979593,1.1367739004864095,86,4112.0,0.007226049415198477,86,4112.0
350.0,76,2177.0,23.408602150537636,1.39389310852331,76,4365.0,0.037194741822422404,76,4365.0
355.0,76,2557.0,28.41111111111111,1.8023079904024308,76,4632.0,0.03409318320169262,76,4632.0
360.0,77,2938.0,33.770114942528735,1.016986099510265,77,5013.0,0.0002888919146929657,77,5013.0
365.0,78,3328.0,37.39325842696629,1.0996701994559013,78,5403.0,0.03160800848029547,78,5403.0
370.0,78,3718.0,43.23255813953488,1.2087272409972327,78,5793.0,0.0641089745143328,78,5793.0
375.0,76,4077.0,48.535714285714285,0.5167455820282754,76,6138.0,0.03512654484825696,76,6138.0
380.0,78,4464.0,51.906976744186046,0.7115560442550498,78,6525.0,0.009630065896560649,78,6525.0
385.0,78,4854.0,56.44186046511628,1.1913822252132502,78,6915.0,0.020557551883794174,78,6915.0
390.0,76,5217.0,62.855421686746986,0.8029550817245121,76,7278.0,0.02258072121659408,76,7278.0
395.0,76,5597.0,69.9625,0.543939917119576,76,7658.0,0.0,76,7658.0
400.0,78,5977.0,69.5,0.9122031030576564,78,8038.0,0.023761992729195526,78,8038.0
405.0,76,6357.0,74.78823529411764,1.2961235395243769,76,8418.0,0.06779396272327357,76,8418.0
410.0,76,6737.0,82.15853658536585,0.840850178648998,76,8798.0,0.05378919486761425,76,8798.0
415.0,80,7119.0,84.75,0.6091931402015873,80,9180.0,0.012279715265272275,80,9180.0
420.0,76,7294.0,86.83333333333333,0.8890237435280697,76,9209.0,0.01939146494381961,76,9209.0
425.0,66,6611.0,80.6219512195122,1.4012891199577449,66,9219.0,0.050813989710098886,66,9219.0
430.0,59,6122.0,76.525,2.077798202827116,59,8513.0,0.04675844814151026,59,8513.0
435.0,52,5340.0,65.1219512195122,2.1854728710540128,52,8451.0,0.07330117058401105,52,8451.0
440.0,38,3257.0,41.22784810126582,2.900558298372682,38,8165.0,0.1490336512840818,38,8165.0
445.0,36,2395.0,30.705128205128204,3.537257406841417,36,7683.0,0.16961147590658607,36,7683.0
450.0,38,1293.0,16.1625,3.4961884315861425,38,7067.0,0.13787925739946438,38,7067.0
455.0,36,460.0,5.974025974025974,3.512769398894572,36,6330.0,0.13162482670305936,36,6330.0
460.0,41,638.0,8.179487179487179,2.919831929238604,41,6508.0,0.1353647566841218,41,6508.0
465.0,53,863.0,11.064102564102564,2.209376908963464,53,6733.0,0.0884149670094468,53,6733.0
470.0,59,1143.0,14.2875,1.3688594401769367,59,7013.0,0.05672469571051448,59,7013.0
475.0,64,1337.0,16.10843373493976,1.2506900196431812,64,7207.0,0.08043408689626011,64,7207.0
480.0,67,1491.0,17.337209302325583,1.7445939097488954,67,7434.0,0.09528097749976921,67,7434.0
485.0,71,1827.0,20.761363636363637,1.5631304742275247,71,7698.0,0.025193287473453983,71,7698.0
490.0,78,2146.0,23.582417582417584,1.3134388999869646,78,7720.0,0.013222882353597098,78,7720.0
495.0,68,2223.0,25.848837209302324,1.5956686424273903,68,7606.0,0.04488341384143824,68,7606.0
500.0,59,2309.0,28.158536585365855,2.186378633795019,59,7141.0,0.0616247623524564,59,7141.0
505.0,53,2333.0,28.10843373493976,1.9311742469873607,53,7374.0,0.05921891578010287,53,7374.0
510.0,48,2375.0,28.963414634146343,2.3536810240955357,48,7578.0,0.09431957351581785,48,7578.0
515.0,53,2635.0,32.9375,2.1612187310354907,53,7838.0,0.11251456400926688,53,7838.0
520.0,63,2924.0,35.65853658536585,1.3831430515937089,63,8127.0,0.055713200847603075,63,8127.0
525.0,65,3063.0,36.464285714285715,0.7725279355047986,65,7947.0,0.01632624226577885,65,7947.0
530.0,63,2500.0,29.761904761904763,1.2366367222826167,63,7775.0,0.04812147275467283,63,7775.0
535.0,61,2128.0,25.63855421686747,2.23092844628338,61,6685.0,0.06324701759004567,61,6685.0
540.0,53,1504.0,18.8,1.8581476111241806,53,6893.0,0.05565436086993742,53,6893.0
545.0,47,1054.0,12.853658536585366,2.2513723269587596,47,7097.0,0.0974474889174171,47,7097.0
550.0,53,1307.0,16.135802469135804,2.3493503010307224,53,7346.0,0.12254619219000898,53,7346.0
555.0,61,1596.0,19.463414634146343,1.6826839023269844,61,7635.0,0.07135286127438319,61,7635.0
560.0,69,1816.0,21.61904761904762,0.5490652714214921,69,7546.0,0.01656795312038137,69,7546.0
565.0,66,1618.0,19.261904761904763,1.0792583339607045,66,7471.0,0.04337246866819142,66,7471.0
570.0,62,1535.0,18.273809523809526,2.2082653812319726,62,6897.0,0.06798976454115555,62,6897.0
575.0,54,1316.0,16.048780487804876,2.0119112453111745,54,7040.0,0.060071116871426015,54,7040.0
580.0,50,1085.0,13.231707317073171,1.9879968035553321,50,7251.0,0.07732942720612491,50,7251.0
585.0,56,1345.0,16.402439024390244,2.1579910405680196,56,7493.0,0.10243836714896125,56,7493.0
590.0,60,1590.0,19.156626506024097,1.625175083790097,60,7738.0,0.08295427435245403,60,7738.0
595.0,68,1885.0,22.176470588235293,0.7057953824311723,68,8033.0,0.008160689042098395,68,8033.0
600.0,75,2243.0,25.7816091954023,0.8828705126240075,75,8393.0,0.021164451477748095,75,8393.0
605.0,78,2572.0,29.563218390804597,0.9267556952421628,78,8567.0,0.022884859088939724,78,8567.0
610.0,68,2659.0,32.426829268292686,0.8569284603631685,68,8720.0,0.03114313844431104,68,8720.0
615.0,61,2753.0,32.01162790697674,2.0091775722407292,61,8533.0,0.055196082186595045,61,8533.0
620.0,51,2664.0,30.620689655172413,2.714372165810654,51,8100.0,0.11295370814821991,51,8100.0
625.0,39,1934.0,23.585365853658537,3.058434139303089,39,7136.0,0.13955527380438465,39,7136.0
630.0,41,1371.0,17.1375,2.7407474157948757,41,6232.0,0.09355484668633239,41,6232.0
635.0,42,984.0,11.714285714285714,3.3863101372470625,42,5403.0,0.1252535346780913,42,5403.0
640.0,37,599.0,7.582278481012659,3.865401746542419,37,4262.0,0.16835103353192127,37,4262.0
645.0,45,747.0,9.455696202531646,2.724617956750787,45,4255.0,0.11279207822839517,45,4255.0
650.0,55,961.0,11.864197530864198,2.0002800285564675,55,4470.0,0.08432160057456549,55,4470.0
655.0,61,1243.0,14.797619047619047,2.099708381536687,61,4752.0,0.09685420627764575,61,4752.0
