step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.73270472163707,0,0.0,0.9633151770211027,0,0.0,0.9635842607652993,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9703796485841645,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9632820013062919,0,0.0,0.9617202905345278,0,0.0,0.9537559255839902,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9648904138785512,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.29951390780436,0,0.0,0.9580399626832276,0,0.0,0.9576407560047973,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8183664360172083,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9594013446128615,0,0.0,0.961399199070052,0,0.0,0.9587947070860222,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9590974968697603,0,0.0,1.0,0,0.0
15.0,4,6.0,0.15,10.859356015972974,1,1.0,0.7115368383902718,0,0.0,0.9374165410755393,0,0.0,1.0,0,0.0,1.0,1,3.0,0.5725018326052597,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9408647594276358,0,0.0,0.9418426978681488,1,1.0,0.7709961319457509,0,0.0,0.9497397996557633,0,0.0,0.928669233577786,0,0.0,0.9334406140131402,1,1.0,0.6079827586433701,0,0.0,1.0,4,6.0
20.0,2,7.0,0.125,9.516762427863085,0,0.0,0.7653983905446019,0,0.0,0.9195542446833347,0,0.0,1.0,0,0.0,1.0,0,0.0,0.755724483249025,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9440771669885095,1,1.0,0.7007840588078822,1,6.0,0.5944530689074514,0,0.0,0.9444865754117143,0,0.0,0.9354273199893065,0,0.0,0.9452740537473994,0,0.0,0.6180375027777896,0,0.0,1.0,2,7.0
25.0,8,20.0,0.2777777777777778,10.223409109628868,3,5.0,0.699789429718694,0,7.0,0.8644955869809144,0,0.0,0.9909959368358724,0,0.0,0.957278255190091,0,0.0,0.8393825927357697,0,8.0,0.6856981415417452,0,0.0,1.0,0,0.0,1.0,0,0.0,0.96787539997122,2,7.0,0.6831700404780506,3,8.0,0.5495312470994975,0,0.0,0.9425675474164166,0,0.0,0.9408579367456285,0,0.0,0.9227064808465707,0,0.0,0.8105990493658528,0,7.0,0.7499026880171283,8,42.0
30.0,9,44.0,0.55,10.126622110340275,3,20.0,0.5224894503691513,1,5.0,0.8208171934207005,0,0.0,0.9287275958244512,0,0.0,0.9975616775599881,0,0.0,0.9573974045808465,0,8.0,0.9154200894983536,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9501852565371186,4,21.0,0.39108016861634254,1,4.0,0.5303659981295274,0,8.0,0.7785249407491436,0,0.0,0.7642061798316686,0,0.0,0.03726254103704908,0,0.0,0.9309387168844963,0,7.0,0.928381969794327,9,73.0
35.0,16,95.0,0.9895833333333334,8.44980149091936,4,23.0,0.5420671584899192,3,12.0,0.6305221136923933,0,0.0,0.8941326689929582,0,0.0,1.0,0,0.0,0.5573180089950376,0,8.0,0.4437070116450453,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8317605792668251,5,43.0,0.3183392666468717,2,11.0,0.6467811133690229,0,8.0,0.8480040081244649,1,2.0,0.6257762848888679,1,4.0,3.269583662397112e-05,0,0.0,0.7076914108798164,0,0.0,0.7990043346487654,16,111.0
40.0,36,184.0,1.6428571428571428,6.512456646910164,2,16.0,0.5764966120484485,6,21.0,0.4143774869794042,1,1.0,0.7183700066712768,0,0.0,1.0,3,10.0,0.5000848292360038,4,20.0,0.003468319203053922,0,0.0,1.0,0,0.0,0.9712332651618524,2,5.0,0.6415114837558089,7,75.0,0.2954303894659869,2,29.0,0.6726727029549877,0,4.0,0.7747304835914961,4,12.0,0.007866313446786953,1,9.0,0.0,3,7.0,0.4567350524623159,1,4.0,0.4001595969567739,36,213.0
45.0,46,351.0,2.925,6.395998366202197,4,24.0,0.5293499633396027,4,24.0,0.37162596449127216,2,11.0,0.6385957603455039,0,0.0,0.9391954100917439,4,27.0,0.27536912541027736,6,50.0,1.212452492911515e-05,0,0.0,1.0,0,0.0,0.957074769171426,4,20.0,0.5297420804593671,9,118.0,0.2915453759203174,2,39.0,0.7701783155236771,0,8.0,0.8399375221559501,3,17.0,0.5394706854378054,0,0.0,1.0,5,29.0,0.3160416444593388,3,13.0,0.04488757680473409,46,380.0
