step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,8.14812128654316,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9652390182174446,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,6.559034873263896,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1968323511587687,0,0.0,1.0,0,0.0,0.8807262494635006,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.330378528901535,0,0.0,0.05505209466021477,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.15073864477805765,0,0.0,1.0,0,0.0,0.9974725277907365,0,0.0,1.0,0,0.0,0.8081537325202867,0,0.0,0.9571838430663878,0,0.0
20.0,0,0.0,0.0,6.811895025889557,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8602668362231469,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8417359767355364,0,0.0,0.6705967381499465,0,0.0
25.0,4,11.0,0.4583333333333333,6.570611652251576,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9033448685037856,0,0.0,1.0,0,0.0,0.5721807001204382,3,11.0,0.0042572711435072364,3,11.0
30.0,7,41.0,1.3666666666666667,5.50698747744685,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.08160323547985944,0,0.0,1.0,2,8.0,0.44586968511144276,4,31.0,0.19045389990025366,7,41.0
35.0,5,50.0,1.3888888888888888,6.12213809366037,1,1.0,0.00018549962113165663,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9673242458744928,0,0.0,1.0,0,0.0,0.9042006081614553,0,0.0,1.0,1,8.0,0.3000380126740653,3,41.0,0.01551901996486225,5,54.0
40.0,6,68.0,1.6585365853658536,7.06021058682193,1,6.0,0.5,0,0.0,1.0,0,0.0,0.9347333280164553,0,4.0,0.9644040569164063,0,4.0,0.4220638371964121,0,0.0,0.9456764765919395,0,0.0,1.0,0,0.0,1.0,0,1.0,0.6343046178763356,4,61.0,1.1203004638450234e-05,5,76.0
45.0,7,102.0,2.1702127659574466,7.306580673732216,1,11.0,0.0,0,0.0,1.0,0,0.0,0.9513889196460701,0,0.0,1.0,1,8.0,0.44960949028140085,0,0.0,0.08865128522692271,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,81.0,0.18847278674295276,6,100.0
