step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.15881787017111,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9531862872512391,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.216234317758456,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.149466491503187,0,0.0,1.0,0,0.0,0.8493211242084928,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.6847925232803105,0,0.0,0.037321821879233365,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13995141831413327,0,0.0,1.0,0,0.0,0.9004459872838225,0,0.0,1.0,0,0.0,0.7523297386359018,0,0.0,0.9373205635254719,0,0.0
20.0,0,0.0,0.0,6.544954189587749,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8482836611707704,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7507851682776373,0,0.0,0.6310549520572668,0,0.0
25.0,7,14.0,0.5833333333333334,6.384225185074896,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8329014432321541,0,0.0,1.0,2,3.0,0.42134643856801685,4,11.0,0.0017758630723565911,6,14.0
30.0,7,45.0,1.5,5.610887973809659,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.12935295591872112,0,0.0,1.0,2,13.0,0.4351174470342284,4,31.0,0.18034184486980215,7,45.0
35.0,6,53.0,1.4722222222222223,5.66117200394052,1,2.0,0.003646050329599027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9332736594448512,0,0.0,1.0,0,0.0,0.9185284797488786,0,0.0,1.0,1,11.0,0.18899253408687214,4,40.0,0.0010712712178393721,6,57.0
40.0,6,69.0,1.6829268292682926,7.106657681599307,1,7.0,0.5,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9409824976967198,0,4.0,0.9701523841574582,0,0.0,1.0,0,0.0,0.6930365430741185,0,0.0,1.0,0,1.0,0.6201461948411793,4,60.0,0.0,5,76.0
45.0,6,99.0,2.106382978723404,7.753468233035755,1,12.0,0.0,0,0.0,1.0,0,0.0,0.9632089913425976,0,0.0,1.0,0,4.0,0.4662326186450813,0,0.0,0.9134487461859825,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,80.0,0.1908461350329203,5,96.0
