step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.198842096823164,0,0.0,0.9317059727659861,0,0.0
10.0,0,0.0,0.0,12.899433881050806,0,0.0,0.9047162427135418,0,0.0
15.0,4,7.0,0.3888888888888889,7.59118038501126,4,7.0,0.40049010945519353,4,7.0
20.0,6,31.0,1.8235294117647058,7.223055738046183,6,31.0,0.4538202809891732,6,31.0
25.0,7,62.0,3.1,5.665354519943269,7,62.0,0.35682060481764716,7,62.0
30.0,12,116.0,5.8,5.168116032835942,12,116.0,0.31767712336663956,12,116.0
35.0,13,177.0,8.045454545454545,2.9956697561835566,13,177.0,0.22647526441147495,13,177.0
40.0,16,229.0,8.178571428571429,4.299129119772643,16,229.0,0.3348139958821115,16,229.0
45.0,10,235.0,7.34375,5.922503813678459,10,253.0,0.3760738148009147,10,253.0
50.0,13,290.0,8.529411764705882,6.444356328937566,13,290.0,0.28521143427994144,13,290.0
55.0,16,287.0,8.2,4.969175846871048,16,287.0,0.23269598855868864,16,287.0
60.0,15,251.0,8.096774193548388,4.770297810198608,15,279.0,0.21863351339961876,15,279.0
65.0,17,332.0,9.764705882352942,5.552704626994277,17,332.0,0.2288605977974307,17,332.0
70.0,18,320.0,10.32258064516129,3.8077931144745993,18,320.0,0.15368652447723882,18,320.0
75.0,12,158.0,4.051282051282051,6.048320778295089,12,235.0,0.3738427997287996,12,235.0
80.0,14,227.0,5.973684210526316,7.438877782865487,14,232.0,0.43480884358772437,14,232.0
85.0,17,243.0,5.651162790697675,4.684271552905553,17,248.0,0.2151908146678944,17,248.0
90.0,16,104.0,2.736842105263158,4.282942917390269,16,257.0,0.16728760515310756,16,257.0
95.0,11,102.0,2.6842105263157894,6.151678695268457,11,204.0,0.2852786148155467,11,204.0
100.0,12,157.0,4.131578947368421,6.984632162531599,12,192.0,0.29238591164568767,12,192.0
105.0,10,177.0,4.783783783783784,6.679031276486707,10,203.0,0.35969772006071216,10,203.0
110.0,18,247.0,6.675675675675675,5.130722429577413,18,273.0,0.2919055155829936,18,273.0
115.0,22,353.0,9.805555555555555,3.6759859829488386,22,380.0,0.2271696872303195,22,380.0
120.0,24,450.0,12.5,1.7517236140689907,24,463.0,0.12517560895308708,24,463.0
125.0,21,448.0,11.2,3.3179263610498615,21,533.0,0.15957241313043802,21,533.0
130.0,18,520.0,12.380952380952381,5.213736906461751,18,564.0,0.19585752009002802,18,564.0
135.0,20,519.0,12.069767441860465,4.8347812364155835,20,563.0,0.22179726016795426,20,563.0
140.0,19,450.0,11.25,3.7556353604109445,19,553.0,0.17032589165897874,19,553.0
145.0,28,572.0,13.0,4.432445958948634,28,616.0,0.17089493951893853,28,616.0
150.0,28,588.0,12.51063829787234,4.789868554821631,28,627.0,0.26534807265148364,28,627.0
155.0,21,271.0,6.3023255813953485,3.1864546896427943,21,616.0,0.16449127016876056,21,616.0
160.0,25,348.0,7.25,4.706217418813746,25,466.0,0.20510245044304937,25,466.0
165.0,28,421.0,9.152173913043478,2.7930630783886885,28,521.0,0.06449888873555563,28,521.0
170.0,24,277.0,5.770833333333333,3.4348635600156623,24,580.0,0.1456549927472645,24,580.0
175.0,22,217.0,4.931818181818182,4.223093510171383,22,520.0,0.1242596181128244,22,520.0
180.0,15,239.0,5.195652173913044,5.394743872894738,15,498.0,0.1730933451118832,15,498.0
185.0,16,318.0,6.913043478260869,7.461341577941539,16,458.0,0.36323441639093335,16,458.0
190.0,16,346.0,7.688888888888889,5.71984731990526,16,440.0,0.30699562654188006,16,440.0
195.0,15,251.0,6.121951219512195,3.207266262038771,15,441.0,0.1580085343790579,15,441.0
200.0,23,354.0,8.045454545454545,4.994842980186363,23,422.0,0.20155222846445178,23,422.0
205.0,26,452.0,10.272727272727273,3.1904969640312943,26,498.0,0.07894288016557183,26,498.0
210.0,22,450.0,10.227272727272727,4.27115376268132,22,572.0,0.19531618791086253,22,572.0
215.0,14,467.0,11.675,4.239151186886149,14,564.0,0.11589020110942858,14,564.0
220.0,16,420.0,8.571428571428571,6.138018333187924,16,517.0,0.3677273775730368,16,517.0
225.0,15,258.0,5.863636363636363,5.174207786957118,15,409.0,0.2904203731913308,15,409.0
230.0,22,350.0,7.291666666666667,4.774428014343731,22,448.0,0.18924836916003426,22,448.0
235.0,29,461.0,10.477272727272727,2.698299431130212,29,537.0,0.07531009793913856,29,537.0
240.0,24,468.0,10.4,3.3052695953882756,24,595.0,0.12700105742906592,24,595.0
245.0,19,491.0,11.159090909090908,4.446352514284293,19,600.0,0.1443921295424716,19,600.0
250.0,16,384.0,8.533333333333333,4.294342249464283,16,503.0,0.20159071559814745,16,503.0
255.0,21,435.0,9.25531914893617,4.243713753816901,21,554.0,0.22146357849409046,21,554.0
260.0,27,559.0,11.645833333333334,3.5702388123309974,27,678.0,0.20325204445565825,27,678.0
265.0,35,687.0,14.934782608695652,1.4320084819533354,35,784.0,0.06337453861963535,35,784.0
270.0,32,726.0,14.52,2.861721828652462,32,879.0,0.15390601581589133,32,879.0
275.0,24,777.0,15.54,3.636394626745224,24,905.0,0.09193272133000638,24,905.0
280.0,21,701.0,13.226415094339623,4.670988186059969,21,845.0,0.22542823298335884,21,845.0
285.0,16,255.0,5.3125,3.5336457979246867,16,782.0,0.16321871155145082,16,782.0
290.0,17,270.0,4.909090909090909,5.528237850832614,17,546.0,0.2942482615810206,17,546.0
295.0,24,377.0,6.8545454545454545,5.681474460558656,24,547.0,0.308515639431871,24,547.0
300.0,30,479.0,9.211538461538462,3.0770557658329656,30,598.0,0.11224390422990776,30,598.0
305.0,29,467.0,8.81132075471698,3.3002936411388113,29,693.0,0.11573398880186893,29,693.0
310.0,24,485.0,9.7,4.264055346879925,24,664.0,0.1432095790326574,24,664.0
315.0,18,499.0,9.98,4.908618381178616,18,678.0,0.19641178352420433,18,678.0
320.0,17,420.0,8.75,4.895705522203976,17,584.0,0.25125859074280066,17,584.0
325.0,15,190.0,3.9583333333333335,4.3666043854608985,15,547.0,0.259552626228987,15,547.0
330.0,22,287.0,5.979166666666667,4.383206415229307,22,452.0,0.17045854382199005,22,452.0
335.0,26,389.0,7.78,3.8114342773074816,26,522.0,0.16929080091652912,26,522.0
340.0,25,398.0,8.46808510638298,2.8938862951499584,25,595.0,0.10084870453664618,25,595.0
345.0,21,430.0,8.958333333333334,4.335077392462772,21,560.0,0.1458856838529252,21,560.0
350.0,18,485.0,10.319148936170214,5.450070949780676,18,590.0,0.21547657917751295,18,590.0
355.0,17,466.0,10.130434782608695,4.839840795999946,17,548.0,0.2327435835900037,17,548.0
360.0,15,219.0,5.341463414634147,3.866328418343523,15,473.0,0.14936224609097903,15,473.0
365.0,19,297.0,5.94,5.766564350331376,19,406.0,0.32806042950579645,19,406.0
370.0,24,377.0,7.6938775510204085,3.939468232251285,24,469.0,0.17631601585161624,24,469.0
375.0,26,381.0,7.62,3.6087971667889587,26,533.0,0.15299086466602865,26,533.0
380.0,21,417.0,9.065217391304348,4.158219776448313,21,548.0,0.12420518409696855,21,548.0
385.0,19,335.0,6.836734693877551,4.495557103122937,19,480.0,0.2148965559993178,19,480.0
390.0,23,417.0,9.477272727272727,3.2105569688077127,23,562.0,0.13583120918722386,23,562.0
395.0,29,552.0,12.0,2.3786382224090263,29,697.0,0.1001400526077737,29,697.0
