step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.819796852062781,0,0.0,0.9316668707849485,0,0.0
10.0,0,0.0,0.0,12.409126940666454,0,0.0,0.905069897128393,0,0.0
15.0,7,12.0,0.6666666666666666,7.261248612614555,7,12.0,0.406160847706163,7,12.0
20.0,6,38.0,2.111111111111111,7.452024903228211,6,38.0,0.4660952911205516,6,38.0
25.0,5,47.0,2.1363636363636362,7.14421969458213,5,47.0,0.4061587378797905,5,47.0
30.0,10,92.0,4.6,6.489837742107094,10,92.0,0.3506934546126319,10,92.0
35.0,10,102.0,4.857142857142857,3.4983368126616745,10,102.0,0.2490423324696755,10,102.0
40.0,14,164.0,6.3076923076923075,5.527503236397894,14,164.0,0.35375721463077464,14,164.0
45.0,17,238.0,7.933333333333334,5.302350600531244,17,238.0,0.32654909286118355,17,238.0
50.0,19,279.0,9.3,2.2570682519305096,19,279.0,0.16340937762350657,19,279.0
55.0,15,212.0,6.235294117647059,4.154870756265141,15,299.0,0.2257744995524674,15,299.0
60.0,13,266.0,7.823529411764706,5.737045143083607,13,293.0,0.2125127095225143,13,293.0
65.0,13,305.0,8.243243243243244,5.406518584483776,13,332.0,0.27197475761388507,13,332.0
70.0,17,347.0,10.84375,3.5418117347468927,17,374.0,0.12576588968165106,17,374.0
75.0,24,454.0,10.80952380952381,4.946736354167518,24,481.0,0.28153942678979976,24,481.0
80.0,24,551.0,14.5,3.428546971370566,24,560.0,0.2584283308638893,24,560.0
85.0,18,529.0,12.022727272727273,4.016929537993686,18,626.0,0.2561181083233136,18,626.0
90.0,19,597.0,13.568181818181818,4.978581885460577,19,645.0,0.19572334399630642,19,645.0
95.0,22,541.0,12.022222222222222,4.075365485335696,22,589.0,0.18075876295572232,22,589.0
100.0,16,154.0,3.6666666666666665,4.014956771322111,16,544.0,0.21337414495372442,16,544.0
105.0,18,190.0,4.318181818181818,4.836954316693302,18,344.0,0.19516408542553434,18,344.0
110.0,22,298.0,6.081632653061225,6.197568815202237,22,353.0,0.28813376778618055,22,353.0
115.0,26,416.0,9.043478260869565,5.147335001553294,26,464.0,0.22466424353291797,26,464.0
120.0,25,493.0,11.204545454545455,3.2867965860975388,25,520.0,0.11946650867635501,25,520.0
125.0,23,382.0,9.095238095238095,3.4551966294019705,23,569.0,0.15738829015445963,23,569.0
130.0,14,322.0,7.666666666666667,5.173589780708602,14,516.0,0.20154954720672227,14,516.0
135.0,14,279.0,6.488372093023256,5.0128403417484035,14,485.0,0.24894884214993632,14,485.0
140.0,12,184.0,4.6,4.2687851201521685,12,450.0,0.2127330361588463,12,450.0
145.0,20,268.0,6.090909090909091,4.584727644293353,20,474.0,0.18890459593782047,20,474.0
150.0,26,265.0,5.520833333333333,4.670105842175636,26,471.0,0.25322831687304803,26,471.0
155.0,31,408.0,9.714285714285714,2.296807180245954,31,614.0,0.13553379441240768,31,614.0
160.0,37,580.0,12.083333333333334,2.058431786842056,37,786.0,0.07574255502132556,37,786.0
165.0,40,715.0,15.543478260869565,1.0010543853959601,40,877.0,0.028768855625304717,40,877.0
170.0,33,619.0,12.38,1.8836345745976695,33,955.0,0.08395431854730885,33,955.0
175.0,27,544.0,10.88,3.8954543015514616,27,844.0,0.1346920488664365,27,844.0
180.0,21,496.0,9.358490566037736,4.811677640335215,21,804.0,0.14265628347537143,21,804.0
185.0,15,395.0,7.596153846153846,5.270176719451651,15,746.0,0.2904453826275014,15,746.0
190.0,9,141.0,2.82,4.8785892846946535,9,615.0,0.24341196983541308,9,615.0
195.0,20,216.0,4.235294117647059,5.015989709481249,20,586.0,0.2071300770049911,20,586.0
200.0,27,338.0,6.5,4.156138453061571,27,689.0,0.1192424914524202,27,689.0
205.0,30,445.0,9.270833333333334,2.3441802604760626,30,747.0,0.05908951136939801,30,747.0
210.0,28,428.0,8.916666666666666,2.8490077115529715,28,728.0,0.10087090996556258,28,728.0
215.0,23,421.0,9.152173913043478,4.275115005492396,23,697.0,0.13057794938262698,23,697.0
220.0,17,422.0,7.814814814814815,6.097559733103292,17,613.0,0.2947748540800202,17,613.0
225.0,12,311.0,6.346938775510204,5.606558964853174,12,549.0,0.33191006848792004,12,549.0
230.0,14,102.0,2.0816326530612246,4.581287743844067,14,405.0,0.237296203528984,14,405.0
235.0,22,196.0,4.083333333333333,4.633155818911057,22,434.0,0.17966666200729475,22,434.0
240.0,29,298.0,6.081632653061225,3.183911797944522,29,489.0,0.09200998978924972,29,489.0
245.0,26,307.0,6.673913043478261,2.9014472574109957,26,565.0,0.09691915646535583,26,565.0
250.0,21,337.0,7.170212765957447,4.506554911333021,21,522.0,0.1665064012381161,21,522.0
255.0,18,339.0,6.647058823529412,6.380367624673897,18,504.0,0.27623874315419966,18,504.0
260.0,12,282.0,6.0,5.871179947452879,12,468.0,0.336462423700191,12,468.0
265.0,11,127.0,2.760869565217391,4.214950272547377,11,439.0,0.23541206939920384,11,439.0
270.0,20,207.0,4.3125,4.881682583257512,20,396.0,0.21725409122370573,20,396.0
275.0,26,327.0,7.108695652173913,3.3041528931067536,26,513.0,0.050249484695611135,26,513.0
280.0,30,433.0,8.83673469387755,3.5784122254219293,30,581.0,0.1462016193197164,30,581.0
285.0,23,393.0,8.931818181818182,3.111930621231454,23,614.0,0.08899038970382586,23,614.0
290.0,18,373.0,7.46,5.8067092895488805,18,579.0,0.298750210326079,18,579.0
295.0,12,202.0,4.04,5.513940147574041,12,524.0,0.2912211871069712,12,524.0
300.0,14,251.0,5.5777777777777775,3.321838375354963,14,593.0,0.16663071287275807,14,593.0
305.0,25,355.0,7.395833333333333,2.6013162416838664,25,699.0,0.12857050927807886,25,699.0
310.0,30,471.0,9.8125,1.720498427331944,30,766.0,0.10018996112248514,30,766.0
315.0,29,489.0,9.78,1.9405028921894019,29,797.0,0.08040071343568275,29,797.0
320.0,26,542.0,10.423076923076923,4.191396679137586,26,785.0,0.15401761967373068,26,785.0
325.0,20,434.0,7.75,3.97212871754683,20,751.0,0.19654958510808682,20,751.0
330.0,16,209.0,4.019230769230769,4.444969945769819,16,634.0,0.24753144367679453,16,634.0
335.0,23,309.0,5.830188679245283,4.310589775217221,23,658.0,0.17605496109753624,23,658.0
340.0,31,420.0,7.9245283018867925,2.6642905263788994,31,720.0,0.06759584093663885,31,720.0
345.0,30,434.0,8.509803921568627,1.915875734754955,30,718.0,0.05023522384905665,30,718.0
350.0,27,464.0,8.923076923076923,3.888830724282386,27,732.0,0.13712616497761534,27,732.0
355.0,23,388.0,7.461538461538462,3.2991624188382116,23,727.0,0.1422175384077895,23,727.0
360.0,12,98.0,2.0851063829787235,3.3167256136130954,12,658.0,0.15224833145206335,12,658.0
365.0,17,167.0,3.036363636363636,5.576047942700602,17,583.0,0.29279255968540113,17,583.0
370.0,25,276.0,4.928571428571429,4.388547185679946,25,665.0,0.18665056177219294,25,665.0
375.0,32,381.0,6.684210526315789,2.5162150333079736,32,719.0,0.055289843388444206,32,719.0
380.0,32,366.0,6.90566037735849,2.8682205832180805,32,720.0,0.06988659770361662,32,720.0
385.0,28,358.0,6.884615384615385,3.6558760870197444,28,725.0,0.12981304960040022,28,725.0
390.0,20,364.0,7.28,5.156081634425732,20,691.0,0.1975084312274703,20,691.0
395.0,11,297.0,6.6,4.589715817437805,11,726.0,0.22448071027129196,11,726.0
400.0,20,381.0,7.9375,4.177244483258768,20,810.0,0.25437572667319763,20,810.0
405.0,26,501.0,10.02,2.9149536173948145,26,930.0,0.18330717683216002,26,930.0
410.0,33,625.0,11.79245283018868,1.0452832729830923,33,1000.0,0.07478913488790787,33,1000.0
415.0,34,661.0,11.803571428571429,1.9701137592506595,34,1014.0,0.07552795956577073,34,1014.0
