step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.455811866444826,0,0.0,0.9272845076206296,0,0.0
10.0,0,0.0,0.0,11.58094775293096,0,0.0,0.864963215501232,0,0.0
15.0,4,5.0,0.2777777777777778,7.7339796825269,4,5.0,0.458295521367529,4,5.0
20.0,6,24.0,1.3333333333333333,7.405874512711977,6,24.0,0.4679027745432916,6,24.0
25.0,6,54.0,2.7,6.83948049720073,6,54.0,0.4175838094450694,6,54.0
30.0,10,97.0,4.85,6.6888181897982735,10,97.0,0.3526404615499489,10,97.0
35.0,8,109.0,5.190476190476191,3.888052917458868,8,109.0,0.25589964047051666,8,109.0
40.0,12,128.0,4.923076923076923,5.941749436153685,12,128.0,0.3654955334033977,12,128.0
45.0,15,195.0,6.5,5.7740353708161045,15,195.0,0.33488266456532145,15,195.0
50.0,18,277.0,9.551724137931034,4.277690772993721,18,277.0,0.21001524984806383,18,277.0
55.0,19,314.0,9.8125,3.4269118161918684,19,314.0,0.18181091742306174,19,314.0
60.0,11,192.0,6.0,4.0784075618063,11,314.0,0.12775026357505262,11,314.0
65.0,9,211.0,6.0285714285714285,6.856774295130598,9,266.0,0.31975122450116905,9,266.0
70.0,9,256.0,7.757575757575758,7.791126622814037,9,262.0,0.31493038734243983,9,262.0
75.0,10,185.0,4.743589743589744,7.42480611754994,10,191.0,0.44467936155730464,10,191.0
80.0,18,258.0,7.818181818181818,5.7745976403482935,18,264.0,0.35919691411451155,18,264.0
85.0,22,355.0,9.342105263157896,3.8011715823557792,22,361.0,0.1953393540149055,22,361.0
90.0,28,487.0,13.527777777777779,2.794276438418445,28,493.0,0.15609563711467683,28,493.0
95.0,28,588.0,15.076923076923077,1.6123593272266565,28,588.0,0.09786259615562243,28,588.0
100.0,22,542.0,13.55,3.262918087942773,22,660.0,0.16704320095965655,22,660.0
105.0,18,593.0,13.477272727272727,4.894682469829281,18,665.0,0.19833005547201327,18,665.0
110.0,20,685.0,14.574468085106384,5.154571951503443,20,758.0,0.2704319850128271,20,758.0
115.0,27,803.0,18.25,3.381497889784186,27,876.0,0.20970081973264398,27,876.0
