step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.23825300004648,0,0.0,0.9385464835516099,0,0.0,0.930024869395529,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9324277850536016,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9351288852297062,0,0.0,0.9282815104368094,0,0.0,0.9319424016594335,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9267673506586037,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.393578284437396,0,0.0,0.9622193880620363,0,0.0,0.9795175183844802,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9464625795263902,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9816373477031324,0,0.0,0.9800807251248012,0,0.0,0.9554012374739522,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.978870456187034,0,0.0,1.0,0,0.0
15.0,3,6.0,0.125,11.074293245135607,1,2.0,0.7768204077200407,0,0.0,0.9354962075661105,0,0.0,1.0,0,0.0,1.0,1,2.0,0.7093891329580978,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9319907381600494,0,0.0,0.9509640916487816,1,2.0,0.7612674649293243,0,0.0,0.9554430042249337,0,0.0,0.9299611842025777,0,0.0,0.9585592443055878,0,0.0,0.6681533995736251,0,0.0,1.0,3,6.0
20.0,2,2.0,0.03571428571428571,9.545185024420574,1,1.0,0.6921525173431254,0,0.0,0.924932431656619,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6870018693409949,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9438493106563133,0,0.0,0.9353763674333803,1,1.0,0.7265856329230458,0,0.0,0.9778197667722222,0,0.0,0.9516488504039046,0,0.0,0.9465673397210531,0,0.0,0.6657746586177565,0,0.0,1.0,2,2.0
25.0,3,10.0,0.1388888888888889,10.935228579936888,2,7.0,0.6809675546421824,0,7.0,0.820009490808692,0,0.0,0.9299611842025777,0,0.0,0.9500774397781125,0,0.0,0.831279678528319,0,6.0,0.7383634103830893,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9745831957058559,0,0.0,0.9206861691010765,1,3.0,0.6174202633687819,0,6.0,0.8498736251408489,0,0.0,0.9464321178971429,0,0.0,0.9579698339543493,0,0.0,0.9047676121094028,0,5.0,0.7416032797119616,3,34.0
30.0,6,34.0,0.38636363636363635,11.802572212881154,4,22.0,0.5645450118033888,0,7.0,0.9332771557541487,0,0.0,0.949973514288305,0,0.0,0.995387397305044,0,0.0,0.9637030844780956,0,6.0,0.9426923770002767,0,0.0,1.0,0,0.0,1.0,0,0.0,0.948450198273934,0,0.0,0.940622988126005,2,12.0,0.6454123811837484,0,6.0,0.9163775424465371,0,0.0,0.9388262079404173,0,0.0,0.9429542539776694,0,0.0,0.9847929106678567,0,3.0,0.9260541892349371,6,56.0
35.0,9,29.0,0.27884615384615385,10.068292173720526,5,25.0,0.5015063163906468,1,1.0,0.7309419116875265,0,0.0,0.9578851048824859,0,0.0,0.9674943679289795,1,1.0,0.7372119373367747,0,0.0,0.911129636548722,0,0.0,0.9353804813207524,0,0.0,0.928841846607665,0,0.0,0.975752089337331,0,0.0,0.9622241227859047,1,1.0,0.6403116745065224,0,0.0,0.6838523832342599,0,0.0,0.9259669036934683,0,0.0,0.9318372333405343,1,1.0,0.6429607773784992,0,3.0,0.9051882197749749,9,32.0
40.0,19,69.0,0.575,9.645585789224397,3,15.0,0.5311341375860354,3,12.0,0.5323050983175804,0,0.0,0.9284344963087622,0,0.0,0.938412809556791,2,9.0,0.5374991969637448,0,0.0,0.9531231359324109,0,0.0,0.9520188153173275,0,0.0,0.9551520300013765,0,0.0,0.9526051129045859,0,0.0,0.9695333967232858,3,19.0,0.5857333613600025,3,9.0,0.24260973604150324,0,0.0,0.9055376420247708,0,0.0,0.9340873597091832,3,20.0,0.5456426023679452,2,2.0,0.4621895475661035,19,86.0
45.0,33,200.0,1.5625,8.658430186020388,5,37.0,0.5314131589599744,5,35.0,0.4269623215102863,1,1.0,0.8117868953116041,0,0.0,0.8969269017899902,4,27.0,0.3383180784424718,0,0.0,1.0,0,0.0,0.805566944681917,0,0.0,0.9888249504651712,0,0.0,0.83598800952893,0,0.0,0.9895167637226191,5,42.0,0.6360046644248238,5,31.0,8.139868259231204e-06,1,3.0,0.7166525177109676,0,0.0,0.9630368753596382,5,40.0,0.4924276172565251,2,2.0,0.0015665038881500996,33,218.0
