step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.873621123023685,0,0.0,0.955033957810133,0,0.0,0.9573344300247699,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9522297482130204,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9582102927122671,0,0.0,0.9539704041145969,0,0.0,0.9511051598998401,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9596818666674178,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.10103802132583,0,0.0,0.9515328522651102,0,0.0,0.9547347345994789,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9495695721461088,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9521114253626372,0,0.0,0.9517834099771441,0,0.0,0.9512872763950397,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8914663901603719,0,0.0,1.0,0,0.0
15.0,4,5.0,0.10416666666666667,11.70234335099974,1,1.0,0.8335094048650248,0,0.0,0.9621981868524111,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7523950237545911,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9706194086153704,0,0.0,0.9656626788144043,1,1.0,0.7196604280796669,0,0.0,0.9416507246417468,0,0.0,0.9286668884395107,0,0.0,0.9987277164469371,1,2.0,0.7546818647131954,0,0.0,1.0,4,5.0
20.0,7,10.0,0.17857142857142858,8.603642496976923,1,1.0,0.7216069911027929,1,1.0,0.693277737957498,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6837845433589292,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,3.0,0.6098292792657256,0,0.0,0.6957994944582143,1,2.0,0.7268992205132317,0,0.0,0.9503032935076314,0,0.0,0.914385910347526,0,0.0,0.9125535359480701,1,2.0,0.5913775447860234,0,0.0,1.0,7,10.0
25.0,10,40.0,0.5555555555555556,8.749911647163518,2,6.0,0.6828471607311435,2,17.0,0.638481930613252,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7750793506262371,0,7.0,0.7528236048932448,0,0.0,1.0,0,0.0,1.0,3,15.0,0.4870810460910288,2,8.0,0.4988605175539016,1,1.0,0.7152531457765612,0,7.0,0.5593276763264823,0,0.0,0.08235425405760614,0,0.0,0.6184047402456745,0,0.0,0.7699852114821469,0,5.0,0.683132446383898,10,66.0
30.0,24,128.0,1.4545454545454546,9.00618324684713,5,22.0,0.5588466054670793,3,30.0,0.6446224280783491,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9387245935742087,0,7.0,0.9210045435824682,0,0.0,1.0,0,0.0,1.0,5,36.0,0.40333327413174197,4,22.0,0.41021364266401966,2,8.0,0.6480563631679938,2,14.0,0.7237714348992214,1,5.0,0.0,2,5.0,0.00034691023173228275,0,0.0,0.9661175861063666,0,4.0,0.8482297540868282,24,153.0
35.0,29,266.0,2.5576923076923075,8.31293566031708,6,48.0,0.49368022918293153,5,46.0,0.5224285394769476,0,0.0,0.9878662655410985,0,0.0,1.0,0,0.0,0.9537827168447095,0,0.0,0.8954774441928343,0,0.0,1.0,0,0.0,1.0,6,66.0,0.37333364449402123,5,46.0,0.28693257044374626,2,18.0,0.583593043118589,2,17.0,0.689040978071937,1,10.0,0.48315839086853557,2,15.0,0.0,0,0.0,0.9599123584997853,0,0.0,0.8426123996685002,29,266.0
40.0,41,457.0,3.808333333333333,8.076730157205828,8,85.0,0.43103640768546214,9,85.0,0.38881668004144176,0,0.0,0.8777537010786005,0,0.0,1.0,0,0.0,0.9613920262240829,0,0.0,0.9690652964974251,0,0.0,0.8732032182609625,0,0.0,1.0,9,109.0,0.4589711062764842,8,83.0,0.3109457588772087,2,28.0,0.632129181673075,2,27.0,0.5435641544529283,1,15.0,0.7795757307037504,2,25.0,0.0,0,0.0,0.9584274399485309,0,0.0,0.8816126592379654,41,457.0
45.0,48,643.0,5.0234375,7.436376739866498,11,135.0,0.3235313448846238,10,132.0,0.3492919507058379,0,0.0,0.860147471573026,0,0.0,0.99889187067895,0,0.0,0.9431959272333861,0,0.0,0.9230256896856766,0,0.0,0.9419780960084425,0,0.0,1.0,11,162.0,0.40099854960513226,9,84.0,0.19447600110685903,2,38.0,0.6272189376981437,2,37.0,0.49860791970459806,1,20.0,0.8070316546364402,2,35.0,0.0,0,0.0,0.9419152989028997,0,0.0,0.9648492973790891,48,643.0
