step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.418576508888293,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9908879021790824,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.304961728151326,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.17536258798222734,0,0.0,1.0,0,0.0,0.8676699382966324,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.604984084450386,0,0.0,0.12423899083638337,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2104464960981896,0,0.0,1.0,0,0.0,0.9459223651568235,0,0.0,1.0,0,0.0,0.8073951089638521,0,0.0,0.9402923943899847,0,0.0
20.0,0,0.0,0.0,6.040064761283124,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9355026892255001,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9006328704937262,0,0.0,0.46057168617657246,0,0.0
25.0,4,11.0,0.4583333333333333,6.095103706830625,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8211853987957938,0,0.0,1.0,0,0.0,0.46584072285276823,3,11.0,0.009118380846383894,3,11.0
30.0,7,41.0,1.3666666666666667,5.799831046533238,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.3538066176871996,0,0.0,1.0,2,9.0,0.4363810099121181,4,30.0,0.1832125265796411,7,41.0
35.0,7,62.0,1.7222222222222223,5.631617775480938,1,2.0,0.007545838760814204,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9546654744698807,0,0.0,1.0,0,0.0,0.9396914376472552,0,0.0,1.0,1,9.0,0.24330161272644646,5,51.0,0.00015111520898453173,7,66.0
40.0,6,83.0,2.024390243902439,6.7239146588135945,1,7.0,0.5,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9613219631807686,0,0.0,1.0,0,0.0,0.6909116572739264,0,0.0,1.0,0,1.0,0.6267572733872162,5,76.0,0.0,6,88.0
45.0,8,120.0,2.5531914893617023,7.290446994808691,1,12.0,0.0,0,0.0,1.0,0,0.0,0.8658267813527927,0,0.0,1.0,1,6.0,0.4732051514847535,0,0.0,0.5990894767063962,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,5,101.0,0.1535520735043097,7,119.0
