step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.145693781478148,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9482850853220461,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.024926587882112,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.14033349440178097,0,0.0,1.0,0,0.0,0.9031031022336731,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.677265067491334,0,0.0,0.01796515421142635,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13586727045264904,0,0.0,1.0,0,0.0,0.9780172783111793,0,0.0,1.0,0,0.0,0.9100954411418904,0,0.0,0.9302264296136412,0,0.0
20.0,1,1.0,0.05555555555555555,6.906961157667135,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.84265480635383,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8705145407604281,1,1.0,0.6321167531875179,1,1.0
25.0,4,10.0,0.4166666666666667,7.131148315160286,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.858753889588345,0,0.0,1.0,0,0.0,0.9019347737517617,3,10.0,0.005461401189321871,3,10.0
30.0,6,32.0,1.0666666666666667,6.410699193591721,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,2.0,0.10064984494616148,0,0.0,1.0,0,0.0,0.8535944510314469,4,30.0,0.19213954065936228,6,32.0
35.0,4,50.0,1.3888888888888888,6.924767687507344,0,0.0,0.3068408954851959,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9016511826019157,0,0.0,1.0,0,0.0,0.772701959734824,4,50.0,0.003077862785768484,4,50.0
40.0,6,78.0,1.95,6.517084285072952,1,3.0,5.663081224237478e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,3.0,0.9891735274991283,0,0.0,1.0,0,0.0,1.0,0,0.0,0.016503354116867347,0,0.0,1.0,5,75.0,0.0,6,81.0
45.0,9,122.0,2.652173913043478,7.35184236327112,1,8.0,0.0,0,0.0,1.0,0,0.0,0.8785742708610856,0,0.0,1.0,0,0.0,0.9500256679043941,0,0.0,0.8855677999723783,0,0.0,1.0,1,5.0,0.0,0,0.0,1.0,5,100.0,0.161173282427835,7,113.0
50.0,10,159.0,3.1176470588235294,6.5335796442115655,1,13.0,0.4163719512960257,0,0.0,1.0,0,0.0,0.8716628891535069,0,0.0,1.0,0,0.0,0.9553703033832562,0,0.0,0.9339397281877179,0,0.0,0.6084010417812621,1,10.0,0.0,0,0.0,1.0,6,126.0,0.24191441451649814,8,149.0
55.0,13,217.0,3.9454545454545453,6.548669392610836,1,18.0,0.5962028731723846,0,0.0,1.0,0,0.0,0.9213480617026062,0,0.0,0.988455442113762,0,0.0,1.0,0,0.0,0.936514970139805,1,3.0,0.46327377726538915,1,15.0,0.0,0,0.0,1.0,7,159.0,0.10228039248376807,10,195.0
60.0,16,287.0,4.864406779661017,6.334500521509385,1,23.0,0.627141933790779,0,0.0,1.0,0,0.0,0.8588806190262006,1,2.0,0.4878489945381053,0,0.0,1.0,0,0.0,0.6414130676027554,1,8.0,6.952750021841441e-06,1,20.0,0.0,0,0.0,0.8308246362500091,8,195.0,0.10932587415029076,12,248.0
65.0,22,372.0,5.723076923076923,5.758471308725917,1,28.0,0.46003056359774663,0,0.0,1.0,0,0.0,0.7600893618432003,2,8.0,0.0004114720685724399,0,0.0,1.0,2,6.0,0.262177687610827,1,13.0,0.0,1,25.0,0.0,0,2.0,0.920519083345972,9,237.0,0.0993040001066756,16,319.0
70.0,19,452.0,6.366197183098592,5.704866485817614,1,33.0,0.0,0,0.0,1.0,1,3.0,0.4320625714321446,2,18.0,0.0,0,0.0,0.979304412150563,0,0.0,0.9067319432835104,1,18.0,0.0,1,30.0,0.1353590728547601,0,5.0,0.9438780946795233,9,282.0,0.07155086568482182,15,389.0
75.0,22,553.0,7.181818181818182,6.184579816831695,1,38.0,0.5,0,0.0,1.0,1,8.0,0.5099084105617345,2,28.0,0.0,0,0.0,1.0,1,1.0,0.4644349426435938,1,23.0,0.0,2,40.0,0.3242553617731577,0,8.0,0.859024625008468,11,333.0,0.20439363484818698,19,479.0
80.0,22,663.0,8.085365853658537,6.4978344756867905,1,43.0,0.432576640020007,0,0.0,0.9535337603333006,1,13.0,0.5852000424358609,2,38.0,0.30464496256272705,0,0.0,0.9373323782252552,1,6.0,0.6080728677380577,1,28.0,0.0,2,50.0,0.0,0,6.0,0.9128846883910757,11,388.0,0.164810376118936,19,572.0
85.0,25,768.0,8.827586206896552,6.317963618327062,1,48.0,0.5,0,0.0,1.0,2,20.0,0.2862971876770624,3,49.0,0.002099727704143592,0,0.0,0.9192797867993848,0,4.0,0.9469274507583981,1,33.0,0.0,2,60.0,0.0,0,6.0,0.8485083091691314,13,446.0,0.1275071423810407,22,666.0
90.0,30,905.0,10.284090909090908,5.275667902963416,1,53.0,0.0,0,0.0,1.0,2,30.0,0.27680025471077424,3,64.0,0.0,1,1.0,0.41824497759733087,1,9.0,0.4751173951345153,1,38.0,0.2664387118668704,2,70.0,0.0,0,0.0,0.8119081635160162,15,515.0,0.059680220430689095,26,780.0
95.0,39,1084.0,12.044444444444444,4.890308267909714,1,58.0,0.0,0,0.0,1.0,3,42.0,0.2399033915815019,3,79.0,0.0,3,14.0,0.3692062256728312,3,16.0,0.46488000268221624,2,46.0,0.20902520688599865,2,80.0,0.0,0,0.0,0.9560739682566762,16,591.0,0.05730736320842808,33,926.0
100.0,43,1264.0,13.305263157894737,4.506624356071415,1,63.0,0.0,0,0.0,1.0,3,57.0,0.23177586633344305,3,94.0,0.0,4,30.0,0.35131992016087477,1,10.0,0.5448177116571422,3,57.0,0.11051814692487766,2,90.0,0.31223069371409606,1,5.0,0.5285964832038799,16,671.0,0.02068284886223066,34,1077.0
105.0,40,1380.0,13.8,4.950367460259915,1,68.0,0.0,0,0.0,1.0,3,72.0,0.3800502396858168,3,109.0,0.0,3,23.0,0.0871319315456623,0,0.0,0.9196043018865168,1,2.0,0.5356708066238689,2,100.0,0.0,1,10.0,0.6241198710483246,17,755.0,1.0186772214125027e-06,31,1139.0
110.0,39,1541.0,14.817307692307692,5.4486730469621465,1,73.0,0.47829328950603484,0,0.0,1.0,3,87.0,0.24098380375853243,3,124.0,0.24318815985157474,0,14.0,0.373945595617547,0,0.0,0.5835135495101292,0,0.0,0.43486070144750144,2,110.0,0.0,2,16.0,0.0028782065999266608,17,840.0,0.054193507047200315,28,1264.0
115.0,41,1740.0,16.41509433962264,5.0514211303856005,1,78.0,0.46391462134322775,0,0.0,1.0,3,102.0,0.223006954655001,4,142.0,0.001817106563282211,0,1.0,0.35695385050922335,1,3.0,0.3844056531021489,1,5.0,0.01605780518739864,2,120.0,0.23741660597522576,2,26.0,0.3163489821177539,17,925.0,0.09958841837864933,31,1402.0
120.0,46,1953.0,17.4375,5.082631529362785,1,83.0,0.4478314619561552,0,0.0,1.0,4,119.0,0.0011243645154162345,5,167.0,0.0,1,4.0,0.0,1,8.0,0.5043640992736727,1,5.0,0.4634311409787755,2,130.0,0.013781161140891769,2,36.0,0.5622426574602594,17,1010.0,0.05647749254081352,34,1562.0
125.0,49,2183.0,19.149122807017545,4.96873034573748,1,88.0,0.0,0,0.0,1.0,4,139.0,0.0,5,192.0,0.0,1,9.0,0.0,2,12.0,0.28693400440470823,0,3.0,0.9686678566255875,3,144.0,0.23138314483640773,2,46.0,0.4955001171747696,18,1099.0,0.0017013774919330254,36,1732.0
130.0,49,2421.0,20.34453781512605,4.989584927920132,1,93.0,0.0,0,0.0,0.02167732846504607,4,159.0,0.0,5,217.0,0.0,1,18.0,0.5712828813057013,2,22.0,0.0,0,3.0,0.3665611364949513,3,159.0,0.0,2,56.0,0.42649474654865294,19,1194.0,0.047019880604656186,37,1921.0
