step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.599291279420182,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9723176991087222,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.273821913170179,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.18839346936461754,0,0.0,1.0,0,0.0,0.8462892598366297,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.907484485214486,0,0.0,0.08355621253667388,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.16233799045412947,0,0.0,1.0,0,0.0,0.9295905009139291,0,0.0,1.0,0,0.0,0.903961408238158,0,0.0,0.9344089974617197,0,0.0
20.0,2,5.0,0.2777777777777778,6.103726673058299,1,4.0,2.305340783689911e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.810411183830646,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7207084971765378,1,1.0,0.4227145005379892,2,5.0
25.0,6,23.0,0.9583333333333334,5.497624673989615,1,9.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8684229197039296,0,0.0,1.0,1,2.0,0.4387814275183704,3,12.0,0.007480289755375302,5,23.0
30.0,8,59.0,2.0344827586206895,5.059584611542504,1,14.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.09206200921831371,0,0.0,1.0,2,12.0,0.4525199069480563,4,31.0,0.1822713900043506,8,59.0
35.0,7,62.0,1.8235294117647058,5.410795128098698,0,0.0,0.3639024101308928,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,15.0,0.3060307102812495,0,0.0,1.0,1,10.0,0.2865943440738138,3,37.0,0.003928215075029615,7,62.0
40.0,6,56.0,1.4,5.87314761099074,1,4.0,0.10414062401606408,0,0.0,1.0,0,0.0,1.0,0,4.0,0.8693892054092743,0,0.0,1.0,0,0.0,1.0,4,31.0,0.023265312325051034,0,0.0,0.017184207716866382,0,1.0,0.5684109689864604,1,33.0,0.3551500585213454,6,73.0
45.0,8,92.0,2.0,7.327021632657527,1,9.0,0.0,0,0.0,1.0,0,0.0,0.9954160762619321,0,0.0,0.7911864900121355,0,0.0,1.0,0,0.0,0.986223044527587,5,53.0,0.001370935629538802,1,5.0,0.0,0,0.0,1.0,1,26.0,0.456050548052543,8,93.0
