step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.73535251935948,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.957005321843356,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.483154340915366,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.22638635360187181,0,0.0,1.0,0,0.0,0.8989960112728914,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.5434926568532035,0,0.0,0.11167014560094662,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13959600808591385,0,0.0,1.0,0,0.0,0.8980834054930443,0,0.0,1.0,0,0.0,0.8975162506835439,0,0.0,0.9207599912606937,0,0.0
20.0,0,0.0,0.0,6.244811117564483,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7891730853266585,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8175267357776166,0,0.0,0.4282249693361391,0,0.0
25.0,3,8.0,0.3333333333333333,7.051794671042255,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9285987681039405,0,0.0,1.0,0,0.0,0.8819870851648847,2,8.0,0.03470609477938089,2,8.0
30.0,6,28.0,0.9333333333333333,6.1710625672177315,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,2.0,0.11423411104030694,0,0.0,1.0,0,0.0,0.9157214336524107,4,26.0,0.18209224963938508,6,28.0
35.0,6,39.0,1.0833333333333333,5.725005565955252,1,2.0,0.17656731955313437,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9874864061238215,0,0.0,1.0,0,0.0,0.9649317262024902,1,3.0,0.00016362012303992664,0,0.0,0.912640146435736,4,34.0,0.001667810086763893,6,41.0
40.0,8,74.0,1.85,6.44819209726586,2,9.0,0.0004022098962811265,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9680346509049272,0,2.0,0.8755133061338386,0,0.0,1.0,0,0.0,0.6844412064894184,1,8.0,0.0,0,0.0,1.0,4,54.0,4.657375849683254e-06,7,77.0
45.0,10,120.0,2.608695652173913,6.78752504144071,2,19.0,0.0,0,0.0,1.0,0,0.0,0.9318086083091016,0,0.0,1.0,1,4.0,0.435177670876539,0,0.0,0.9595185340389318,0,0.0,1.0,1,13.0,0.0,0,0.0,1.0,4,74.0,0.1832876023092005,8,110.0
