step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.651238080360105,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9845298208653387,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.211540819821154,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.29313929201272243,0,0.0,1.0,0,0.0,0.8816755497275897,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.490962410732448,0,0.0,0.02554517476256193,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.17916521098854715,0,0.0,1.0,0,0.0,0.8804292289218397,0,0.0,1.0,0,0.0,0.9361404164849263,0,0.0,0.9523584656767549,0,0.0
20.0,0,0.0,0.0,6.404571629258245,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9232222153144046,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7386910583672446,0,0.0,0.48009332857934295,0,0.0
25.0,6,15.0,0.625,6.294700373848328,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9471605635878628,0,0.0,1.0,2,4.0,0.47224181967979906,3,11.0,0.010005979772597493,5,15.0
30.0,6,45.0,1.5,5.227638188246369,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.08287938766416279,0,0.0,1.0,2,14.0,0.37964610006872257,4,31.0,0.1853717339028934,6,45.0
35.0,6,54.0,1.5,5.614998819015987,1,2.0,0.00031808377468968814,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9827495356527902,0,0.0,1.0,0,0.0,0.8629239967882991,0,0.0,1.0,2,15.0,0.28529823785960834,3,37.0,0.0039870517975052235,6,58.0
40.0,6,65.0,1.5853658536585367,6.976100776265644,1,7.0,0.5,0,0.0,1.0,0,0.0,1.0,0,4.0,0.8853053578572387,0,4.0,0.9112867454564908,0,0.0,1.0,0,0.0,0.914120295602221,0,0.0,1.0,0,6.0,0.5258545885142234,4,57.0,0.0,5,78.0
45.0,7,96.0,2.0425531914893615,7.687081676913675,1,12.0,0.0,0,0.0,1.0,0,0.0,0.9354840920940242,0,0.0,1.0,1,5.0,0.49414538752743875,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,77.0,0.18615434316743212,6,94.0
