step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.04041158338724,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9253236356053278,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,6.975977437376854,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.18266830562832428,0,0.0,1.0,0,0.0,0.8931361117303089,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.647396539662449,0,0.0,0.021542823853765065,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.12489203789924794,0,0.0,1.0,0,0.0,0.960719503847059,0,0.0,1.0,0,0.0,0.956717687498543,0,0.0,0.9364116606919092,0,0.0
20.0,2,6.0,0.3333333333333333,6.78568401937895,1,5.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9428576067439324,0,0.0,1.0,1,1.0,0.009199589695964393,0,0.0,1.0,0,0.0,0.8842194369165509,0,0.0,0.8780742001351257,2,6.0
25.0,3,11.0,0.4583333333333333,6.500663145657039,1,10.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7869861761661651,1,1.0,0.004539996647482788,0,0.0,1.0,0,0.0,0.8448999525754138,0,0.0,1.0,0,0.0,0.5832906462913124,0,0.0,0.026632680001622597,2,11.0
30.0,6,36.0,1.2413793103448276,5.850760289240713,1,15.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9150332196705205,1,6.0,0.0,0,0.0,1.0,1,2.0,0.07765160397550545,0,0.0,1.0,2,8.0,0.3949968264649598,1,5.0,0.4288320288299918,6,36.0
35.0,8,65.0,1.911764705882353,6.195227742633627,1,20.0,0.23003699359445234,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,16.0,0.3614853053306064,0,0.0,1.0,3,19.0,0.12994996983471707,1,10.0,0.0,8,65.0
40.0,8,71.0,1.868421052631579,5.792372266451187,1,3.0,0.00019216885831022356,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9309141258246119,0,0.0,1.0,0,0.0,1.0,3,31.0,0.011703979883833667,0,0.0,1.0,3,22.0,0.0,1,15.0,0.0,8,71.0
45.0,4,35.0,0.7608695652173914,7.049543151109592,1,8.0,0.0,0,0.0,1.0,0,0.0,0.8555040514136554,1,2.0,0.0004424466506364657,0,0.0,0.987229599924219,0,0.0,0.9641939174062817,1,5.0,0.01139951688097954,0,0.0,1.0,0,12.0,0.6373168158180416,1,20.0,0.42798019689628214,4,47.0
