step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.00262820275966,0,0.0,0.426760866365585,0,0.0
10.0,0,0.0,0.0,12.203076134891845,0,0.0,0.8587273811757317,0,0.0
15.0,0,0.0,0.0,8.171256957724959,0,0.0,0.5350377837516879,0,0.0
20.0,6,21.0,0.875,6.161485959701214,6,21.0,0.34949884727172337,6,21.0
25.0,12,50.0,1.8518518518518519,5.711858292183079,12,50.0,0.36389948795052435,12,50.0
30.0,12,99.0,3.8076923076923075,4.692537088423868,12,99.0,0.2807087162977414,12,99.0
35.0,16,173.0,6.178571428571429,5.102071145011827,16,173.0,0.264663664020307,16,173.0
40.0,22,214.0,5.631578947368421,2.7594546552109533,22,214.0,0.15926001910230933,22,214.0
45.0,11,177.0,4.657894736842105,5.928031682181035,11,243.0,0.3770600936693992,11,243.0
50.0,12,237.0,5.642857142857143,6.697656325113699,12,243.0,0.34492796990532915,12,243.0
55.0,24,250.0,5.555555555555555,3.5968253762425038,24,256.0,0.12274642567304343,24,256.0
60.0,16,106.0,2.65,4.461071278250454,16,259.0,0.21980586073164618,16,259.0
65.0,14,139.0,3.159090909090909,5.258677188015107,14,210.0,0.235853697101471,14,210.0
70.0,16,219.0,4.9772727272727275,6.618353389918339,16,234.0,0.3150826532510197,16,234.0
75.0,18,265.0,5.638297872340425,4.228749171931443,18,268.0,0.15901741485590018,18,268.0
80.0,16,210.0,4.285714285714286,5.099961793992593,16,315.0,0.2764943122164175,16,315.0
85.0,20,280.0,5.833333333333333,6.084933494005178,20,297.0,0.3153802612835609,20,297.0
90.0,21,302.0,6.291666666666667,4.447291574200369,21,319.0,0.1925746608292945,21,319.0
95.0,24,333.0,7.239130434782608,3.9512903857864896,24,359.0,0.21099823348112312,24,359.0
100.0,32,473.0,9.46,3.5855283751336593,32,490.0,0.13221524331768947,32,490.0
105.0,33,572.0,11.916666666666666,2.831585495707156,33,586.0,0.14154289879009146,33,586.0
110.0,25,475.0,8.962264150943396,2.247866423697218,25,669.0,0.11477424718272412,25,669.0
115.0,26,548.0,9.448275862068966,4.736099352923656,26,642.0,0.23913419058279486,26,642.0
120.0,24,606.0,10.631578947368421,4.739341506960192,24,692.0,0.2601435477262644,24,692.0
125.0,26,463.0,7.982758620689655,3.2720100826423635,26,752.0,0.1434519687565527,26,752.0
130.0,27,516.0,8.89655172413793,4.013337976682521,27,718.0,0.1596946389792406,27,718.0
135.0,29,492.0,8.2,3.7373165616185235,29,694.0,0.16752142293333794,29,694.0
140.0,30,322.0,5.551724137931035,3.0921194541825647,30,707.0,0.15141140570514128,30,707.0
145.0,46,499.0,7.796875,2.813311940555969,46,701.0,0.07608228343487428,46,701.0
150.0,44,649.0,9.833333333333334,2.8734935740949266,44,819.0,0.11860774568853401,44,819.0
155.0,34,559.0,8.873015873015873,3.6189740442517198,34,888.0,0.17710455955522345,34,888.0
160.0,35,548.0,8.430769230769231,3.0784505712671923,35,896.0,0.11086165303869906,35,896.0
165.0,34,630.0,9.130434782608695,3.3398868128654438,34,956.0,0.15078977818795689,34,956.0
170.0,34,510.0,7.611940298507463,2.8480449199884506,34,1032.0,0.13590580335664543,34,1032.0
175.0,32,444.0,6.434782608695652,3.5810149362722536,32,971.0,0.13686960446865074,32,971.0
180.0,34,569.0,8.753846153846155,3.847527716781665,34,1013.0,0.12568604702914826,34,1013.0
185.0,34,705.0,9.791666666666666,3.6169342181336543,34,1045.0,0.1761460816343145,34,1045.0
190.0,33,697.0,10.101449275362318,3.7792695351818275,33,1087.0,0.2068564507732295,33,1087.0
195.0,30,718.0,10.257142857142858,2.9642504654227206,30,1063.0,0.10229618803336415,30,1063.0
200.0,38,846.0,11.58904109589041,3.7181249917825756,38,1134.0,0.13909961764950635,38,1134.0
205.0,40,874.0,11.81081081081081,3.0827620845304,40,1144.0,0.1268570964147468,40,1144.0
210.0,35,670.0,9.571428571428571,3.087892411537573,35,1079.0,0.1331234341863473,35,1079.0
215.0,45,870.0,12.794117647058824,2.764289650241967,45,1164.0,0.07226141171940025,45,1164.0
220.0,57,1053.0,13.5,1.9852902517628552,57,1297.0,0.05914379778817186,57,1297.0
225.0,46,987.0,13.337837837837839,2.5787797352654294,46,1443.0,0.1357540081994465,46,1443.0
230.0,44,989.0,13.013157894736842,3.2129205800195435,44,1419.0,0.12769423221554374,44,1419.0
235.0,44,1058.0,13.39240506329114,3.35798605833591,44,1481.0,0.11875958640223401,44,1481.0
240.0,43,1201.0,16.22972972972973,3.0802687898987466,43,1566.0,0.14380192204771186,43,1566.0
245.0,40,1090.0,14.533333333333333,2.725650470122817,40,1674.0,0.13210117442609312,40,1674.0
250.0,41,1035.0,13.986486486486486,2.8916417896468722,41,1615.0,0.10131421839675657,41,1615.0
255.0,41,1128.0,14.1,3.3513672312454488,41,1694.0,0.12096559085886695,41,1694.0
260.0,41,1103.0,13.7875,3.7023903883240434,41,1622.0,0.19801009318880233,41,1622.0
265.0,43,642.0,8.126582278481013,2.7671271762180183,43,1457.0,0.1290107846232779,43,1457.0
270.0,49,828.0,10.615384615384615,2.8748501218603257,49,1449.0,0.10833339262732906,49,1449.0
275.0,56,1026.0,12.825,1.6781909889374038,56,1589.0,0.03391597497856101,56,1589.0
280.0,58,1000.0,12.345679012345679,1.9243148169675426,58,1709.0,0.07038467881554518,58,1709.0
285.0,53,1033.0,12.9125,2.2489964790343917,53,1781.0,0.06992082501843529,53,1781.0
290.0,49,1093.0,12.709302325581396,2.990247269444544,49,1844.0,0.09973271755556341,49,1844.0
295.0,48,1214.0,14.116279069767442,2.7708867152069594,48,1922.0,0.14423820327459563,48,1922.0
300.0,43,1112.0,13.397590361445783,2.975319011910308,43,2024.0,0.1548356806525894,43,2024.0
305.0,46,1072.0,12.611764705882353,2.5135998607202743,46,1948.0,0.08120396589345104,46,1948.0
310.0,49,1150.0,13.372093023255815,2.68747208134679,49,2035.0,0.10302940613933392,49,2035.0
315.0,48,1169.0,13.436781609195402,2.777199637414754,48,1999.0,0.12145695488224442,48,1999.0
320.0,46,842.0,9.67816091954023,2.8630063865400404,46,2069.0,0.13502336063004805,46,2069.0
325.0,63,1062.0,11.932584269662922,2.3221978081211465,63,1960.0,0.06434886186660949,63,1960.0
330.0,61,1288.0,14.311111111111112,2.017620853319719,61,2127.0,0.07043717922446498,61,2127.0
335.0,64,1276.0,14.666666666666666,2.0480395691186413,64,2316.0,0.09732837414351181,64,2316.0
340.0,63,1311.0,14.566666666666666,2.1108646439146805,63,2266.0,0.059243802155213056,63,2266.0
345.0,59,1396.0,15.173913043478262,2.6808295980031396,59,2376.0,0.08574373145752226,59,2376.0
350.0,52,1479.0,16.617977528089888,2.810559628245073,52,2442.0,0.1202984006262179,52,2442.0
355.0,53,1409.0,16.195402298850574,2.2166937523193537,53,2448.0,0.09218178197726722,53,2448.0
360.0,50,1399.0,16.080459770114942,2.4397240468477612,50,2489.0,0.08448784974113062,50,2489.0
365.0,51,1424.0,14.68041237113402,3.0317358714249707,51,2562.0,0.12000798161308204,51,2562.0
370.0,51,1596.0,17.161290322580644,3.7570359554410206,51,2609.0,0.16340382083592422,51,2609.0
375.0,57,1660.0,18.043478260869566,2.8068390068629596,57,2585.0,0.12508478896279368,57,2585.0
380.0,58,1109.0,12.054347826086957,2.1922383034196016,58,2640.0,0.09255343683558452,58,2640.0
385.0,65,1245.0,13.24468085106383,2.005557436383744,65,2402.0,0.07267915332191967,65,2402.0
390.0,68,1494.0,15.726315789473684,1.8234159183204568,68,2578.0,0.06121267271453809,68,2578.0
395.0,70,1473.0,16.01086956521739,1.7021877939381014,70,2651.0,0.04098695770788507,70,2651.0
400.0,66,1501.0,15.635416666666666,2.410975625873345,66,2722.0,0.07377439119891435,66,2722.0
405.0,58,1512.0,16.085106382978722,3.4559451512263655,58,2683.0,0.13263613174232897,58,2683.0
410.0,53,1518.0,16.681318681318682,2.4627349164348207,53,2829.0,0.09623054122035649,53,2829.0
415.0,57,1459.0,16.032967032967033,1.8199294933463899,57,2974.0,0.08555912965411565,57,2974.0
420.0,55,1487.0,15.989247311827956,2.4236127114952293,55,2918.0,0.09219861997802276,55,2918.0
