step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.540884189047777,0,0.0,0.9571332412068145,0,0.0,0.9573828817347294,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9529320009275597,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9525130147078207,0,0.0,0.955754263654296,0,0.0,0.9568908224086868,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9577938150797018,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.261469063606933,0,0.0,0.9082022730615774,0,0.0,0.9839866600433741,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9728996856443526,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.970586163401572,0,0.0,0.971628741918995,0,0.0,0.9271555156719942,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9028320293277774,0,0.0,1.0,0,0.0
15.0,4,6.0,0.15,10.746903502087726,1,3.0,0.743609373669974,0,0.0,0.945516914741292,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6188610029922772,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9381867957619949,0,0.0,0.9728528049829118,1,1.0,0.639194441479964,0,0.0,0.983879722545706,0,0.0,0.9563699744448448,0,0.0,0.9403180930598916,1,1.0,0.6288836566071823,0,0.0,1.0,4,6.0
20.0,4,5.0,0.08928571428571429,9.892235306244682,2,3.0,0.7587334746388217,0,0.0,0.9629091056274457,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6292666300693253,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9493809395093417,0,0.0,0.9493746277656776,1,1.0,0.7758569197589932,0,0.0,0.7671481148494573,0,0.0,0.9789058263481771,0,0.0,0.9540515151170383,0,0.0,0.6596205341329415,0,0.0,1.0,4,5.0
25.0,4,13.0,0.18055555555555555,10.863141527402327,2,7.0,0.6856090853872286,0,6.0,0.8246980266905235,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8828883364108157,0,6.0,0.6706410796114946,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9794532447740848,0,0.0,0.9637071840296805,0,0.0,0.7285104005468631,1,10.0,0.7013723465268401,0,0.0,0.8639407393782242,1,2.0,0.7002146667215841,0,0.0,0.8629296127425332,0,6.0,0.6947339521393159,4,37.0
30.0,12,53.0,0.6625,10.370362914264664,4,24.0,0.5076845803432462,0,6.0,0.8860968280573932,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9532773744912474,0,6.0,0.8786769237737869,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9524812094430336,0,0.0,0.9487614759862817,2,5.0,0.5697528554940477,2,16.0,0.6859769674428104,2,6.0,0.46193925038002365,2,8.0,0.636628673986607,0,0.0,0.9362558683123255,0,6.0,0.9230788003425167,12,77.0
35.0,11,43.0,0.4479166666666667,8.110961621497143,4,22.0,0.5410928213727753,2,6.0,0.6319473924811562,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7638313930091585,0,6.0,0.5914719691254484,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9381598916400153,0,0.0,0.9462272138895574,0,0.0,0.6580661973607653,2,14.0,0.45156512159683243,2,6.0,0.561086873188705,1,1.0,0.6173921011872289,0,0.0,0.7550245530759214,0,6.0,0.5348348931845242,11,61.0
40.0,27,87.0,0.7767857142857143,7.280741990742929,2,12.0,0.6182082934573638,4,22.0,0.45980160615000487,0,8.0,0.7682275618130854,0,8.0,0.769331906030392,2,6.0,0.5641181258297036,4,20.0,0.09633454318675763,0,0.0,1.0,0,0.0,1.0,2,2.0,0.7137116610671234,0,0.0,0.9582497063315122,2,16.0,0.5676895374725107,4,19.0,0.022123283947742763,0,0.0,0.5922006408829642,0,0.0,0.6234338513974617,2,15.0,0.6311741986891386,5,24.0,0.26738113475866526,27,152.0
45.0,43,260.0,2.1666666666666665,7.3204528572975125,3,18.0,0.49268006067102665,4,23.0,0.390387293927554,0,8.0,0.9244914315208523,0,8.0,0.907334643550127,3,20.0,0.4133367474816235,7,50.0,0.00016548297057810066,0,0.0,1.0,0,0.0,1.0,4,18.0,0.5709079610051188,0,0.0,0.9377151762643204,4,34.0,0.6431663887937198,7,52.0,0.000136038794064272,0,0.0,1.0,0,0.0,0.9520307545241006,4,30.0,0.4769060393390663,7,57.0,0.38502123474008854,43,318.0
50.0,39,282.0,2.073529411764706,6.5261797842009885,4,18.0,0.5538449316365645,0,10.0,0.5637236175599354,0,0.0,0.913827303063508,0,0.0,0.8852965191608101,4,20.0,0.34651734571205933,5,50.0,0.0,0,0.0,0.9590422158295894,0,0.0,0.9578955976685607,6,43.0,0.44510769749976403,1,1.0,0.8179035887216919,4,32.0,0.49845282448967976,5,60.0,0.34061698890660363,0,0.0,1.0,0,0.0,0.9580677010629738,4,29.0,0.3593365672875354,6,61.0,0.17397259700199896,39,324.0
55.0,22,98.0,0.6447368421052632,8.097508570280926,2,13.0,0.5308749523759364,0,8.0,0.873129748896623,0,8.0,0.649891053501213,0,0.0,0.9079773498294063,0,8.0,0.6416839240251088,0,27.0,0.6531583662019872,0,8.0,0.879863944390362,0,0.0,0.92523095968631,7,46.0,0.26828464109990063,2,7.0,0.6165365335249519,4,29.0,0.34226124044028017,0,37.0,0.7477512126824978,0,8.0,0.6985059835222815,0,0.0,0.9188766308834896,2,26.0,0.46546391268153425,5,54.0,0.3369659087493477,22,279.0
60.0,30,179.0,1.11875,9.317226066094133,5,23.0,0.5067063812905306,1,9.0,0.8699884300515562,0,9.0,0.8797606140305827,0,0.0,0.9359837270444411,0,0.0,0.9643479028252623,0,8.0,0.9010464959506354,0,9.0,0.8985155196407115,0,0.0,0.783490971070001,4,44.0,0.33279752505455445,3,20.0,0.3606759994856553,10,61.0,0.2521613745740724,0,16.0,0.8109164818006629,0,17.0,0.8374269705439434,0,0.0,0.05515067053352442,2,28.0,0.5324249018947061,5,58.0,0.5556158174182169,30,302.0
65.0,28,206.0,1.1839080459770115,7.392235745843622,3,22.0,0.5282388455892907,3,9.0,0.6977442289912291,0,1.0,0.9080368072122882,0,0.0,0.9394596036143109,0,0.0,0.7593430402991584,0,8.0,0.6950599107230139,1,10.0,0.38297951456139123,0,0.0,0.47358933148125276,4,40.0,0.5558839371616906,3,15.0,0.49307792899820185,9,76.0,0.2821735372834148,1,10.0,0.5068798959076554,0,17.0,0.6859305106956108,1,4.0,0.0,0,0.0,0.7314004269658547,3,45.0,0.5255665758846074,28,257.0
70.0,43,165.0,0.873015873015873,6.72303480623452,2,15.0,0.5952576961787664,4,26.0,0.5207313348884199,0,0.0,0.9240537419551762,1,2.0,0.8210249889760372,2,15.0,0.5836068576295014,4,28.0,0.26592418853330274,5,22.0,0.14118917496084554,0,0.0,0.3933634910626951,4,31.0,0.6172115959954555,0,4.0,0.6044524588598863,2,69.0,0.4933350148937557,6,22.0,0.20680538913256516,5,28.0,0.4782833749016219,1,17.0,0.6320970918289301,3,16.0,0.5821205816352554,4,37.0,0.3358415929261588,43,332.0
75.0,71,398.0,2.020304568527919,7.311523466396173,4,23.0,0.5170586835021239,6,29.0,0.25865428073995855,0,0.0,0.8431852736741579,1,7.0,0.7447263316453409,4,31.0,0.4835690871068986,10,66.0,0.316190232381706,7,55.0,3.244632134467659e-05,0,0.0,1.0,4,19.0,0.5663404588518657,0,8.0,0.8362388819370761,4,35.0,0.6394990354195071,10,61.0,0.0007324282990584931,7,57.0,0.23906203954353078,0,8.0,0.9005218675259239,4,35.0,0.6540975875588966,10,61.0,0.43056999338343,71,495.0
