step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.697244957640457,0,0.0,0.4172982581508718,0,0.0
10.0,0,0.0,0.0,11.671198639483308,0,0.0,0.8416377568120442,0,0.0
15.0,0,0.0,0.0,9.036503357519576,0,0.0,0.6101497350641986,0,0.0
20.0,5,14.0,0.5833333333333334,6.0766873380774244,5,14.0,0.3093109413444379,5,14.0
25.0,12,41.0,1.5185185185185186,5.756299673218562,12,41.0,0.3710135882313114,12,41.0
30.0,12,91.0,3.5,4.519433754661072,12,91.0,0.30235031485962877,12,91.0
35.0,16,164.0,5.857142857142857,4.93470471207429,16,164.0,0.2703907616436318,16,164.0
40.0,22,205.0,5.394736842105263,2.443684232452537,22,205.0,0.14374306113361918,22,205.0
45.0,12,182.0,4.55,5.995553359282987,12,239.0,0.3804981708274854,12,239.0
50.0,14,245.0,5.833333333333333,6.1560560786369365,14,245.0,0.3287470766200494,14,245.0
55.0,22,331.0,7.355555555555555,5.237575542908884,22,331.0,0.20093097016631828,22,331.0
60.0,22,357.0,8.707317073170731,4.01626172316534,22,357.0,0.14482714490062723,22,357.0
65.0,16,154.0,3.5813953488372094,4.18413370411339,16,310.0,0.20502713984937607,16,310.0
70.0,10,131.0,3.119047619047619,6.058490658895352,10,262.0,0.29895782192786136,10,262.0
75.0,13,164.0,3.3469387755102042,4.901810628493311,13,295.0,0.2534245450892268,13,295.0
80.0,14,194.0,4.041666666666667,5.112504061937358,14,336.0,0.3007390157241079,14,336.0
85.0,24,284.0,5.68,4.9359480450470405,24,415.0,0.21974503754867053,24,415.0
90.0,30,384.0,7.68,3.3762060635878743,30,469.0,0.131790174276388,30,469.0
95.0,22,391.0,7.82,3.7728030620512936,22,537.0,0.1957871432887608,22,537.0
100.0,20,431.0,8.132075471698114,4.601795921204453,20,518.0,0.19656364108699767,20,518.0
105.0,20,502.0,9.843137254901961,4.137946835685221,20,589.0,0.19972601639950752,20,589.0
