step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.220666716146904,0,0.0,0.4505029307558171,0,0.0
10.0,0,0.0,0.0,10.980526026365252,0,0.0,0.7995310589704777,0,0.0
15.0,0,0.0,0.0,7.648718284780624,0,0.0,0.5527750859421896,0,0.0
20.0,8,21.0,0.875,6.0210187167239075,8,21.0,0.3566189133806704,8,21.0
25.0,12,48.0,1.7142857142857142,5.953760451876178,12,48.0,0.38000777001057345,12,48.0
30.0,8,69.0,2.6538461538461537,5.919699549210022,8,69.0,0.38943304626292163,8,69.0
35.0,10,113.0,4.035714285714286,7.000928260412953,10,113.0,0.3381195741422358,10,113.0
40.0,16,129.0,3.3076923076923075,4.785836444406803,16,129.0,0.24182527001822524,16,129.0
45.0,8,90.0,2.6470588235294117,6.131652071243051,8,142.0,0.42514547823747767,8,142.0
50.0,8,130.0,3.4210526315789473,7.002874089704031,8,131.0,0.41617217818378377,8,131.0
55.0,17,186.0,4.536585365853658,5.687023541491665,17,186.0,0.21180060941961273,17,186.0
60.0,16,187.0,4.921052631578948,5.365814259725736,16,187.0,0.24214966865584978,16,187.0
65.0,18,197.0,5.051282051282051,4.589812949980819,18,215.0,0.23208143656883445,18,215.0
70.0,22,299.0,7.868421052631579,4.750677367124005,22,299.0,0.21781285667092418,22,299.0
75.0,22,344.0,7.818181818181818,2.94233319473749,22,344.0,0.12086378970099537,22,344.0
80.0,18,235.0,5.108695652173913,4.893038686650857,18,381.0,0.2958941873878488,18,381.0
85.0,19,287.0,5.857142857142857,5.807936481071614,19,340.0,0.28386765328385255,19,340.0
90.0,21,378.0,7.875,5.747185915278041,21,378.0,0.2157178146875171,21,378.0
95.0,25,415.0,8.645833333333334,4.414384661713108,25,415.0,0.19537681886124642,25,415.0
100.0,26,422.0,8.791666666666666,3.4378397371880745,26,442.0,0.152907108780247,26,442.0
105.0,29,558.0,11.872340425531915,3.9239811878207522,29,558.0,0.1603042321071388,29,558.0
110.0,31,614.0,11.584905660377359,2.6125995062517613,31,614.0,0.09531802951974867,31,614.0
115.0,29,384.0,7.245283018867925,3.2420668030270505,29,661.0,0.19734388341610823,29,661.0
120.0,20,352.0,6.6415094339622645,5.6452711111986895,20,549.0,0.3019566042668061,20,549.0
125.0,23,435.0,7.372881355932203,5.059608123573868,23,544.0,0.2146662592813186,23,544.0
130.0,26,470.0,8.392857142857142,4.318296545271955,26,542.0,0.19338246413917545,26,542.0
135.0,30,496.0,9.018181818181818,3.0148409120695687,30,583.0,0.11511397063654297,30,583.0
140.0,36,665.0,12.090909090909092,3.1865446015571597,36,737.0,0.13338329142510708,36,737.0
145.0,46,755.0,12.583333333333334,1.8666127170581608,46,827.0,0.06031069442773632,46,827.0
150.0,35,514.0,8.426229508196721,2.6428227201970285,35,866.0,0.12954677444466683,35,866.0
155.0,29,475.0,7.661290322580645,4.5931717842037925,29,810.0,0.22029086688956534,29,810.0
160.0,30,571.0,8.651515151515152,4.324768750495367,30,818.0,0.1868349880922407,30,818.0
165.0,34,665.0,10.390625,3.508357840051911,34,830.0,0.15939741823413417,34,830.0
170.0,31,504.0,7.753846153846154,2.984461217093795,31,903.0,0.11366258155172995,31,903.0
175.0,33,472.0,7.375,3.383142341358093,33,842.0,0.12598840942182052,33,842.0
180.0,30,567.0,9.14516129032258,4.062197127992605,30,872.0,0.15580296914952466,30,872.0
185.0,32,688.0,9.971014492753623,3.8618984766721614,32,901.0,0.17864675315478074,32,901.0
190.0,29,659.0,9.984848484848484,3.894372922068713,29,973.0,0.21294394798336042,29,973.0
195.0,28,693.0,10.5,3.50229004326631,28,965.0,0.14078905266191713,28,965.0
200.0,36,711.0,10.014084507042254,3.4628600839422092,36,986.0,0.15402817148738787,36,986.0
205.0,39,541.0,7.840579710144928,2.75706887054831,39,1015.0,0.1274867894236993,39,1015.0
210.0,42,735.0,10.808823529411764,3.1014658479926447,42,1025.0,0.09792886037989318,42,1025.0
215.0,52,920.0,13.93939393939394,1.962823201007299,52,1167.0,0.0510817995960401,52,1167.0
220.0,50,889.0,12.013513513513514,1.944708254079515,50,1322.0,0.0734177642500306,50,1322.0
225.0,40,900.0,12.162162162162161,3.61698694826746,40,1319.0,0.1674733009855593,40,1319.0
230.0,35,862.0,11.342105263157896,2.8042485822938956,35,1341.0,0.12205266616120553,35,1341.0
235.0,40,691.0,9.092105263157896,2.6033151559111136,40,1336.0,0.10399445600653062,40,1336.0
240.0,48,909.0,12.283783783783784,2.431071018018038,48,1397.0,0.06404301872616498,48,1397.0
245.0,56,1088.0,13.948717948717949,2.119007999620575,56,1543.0,0.06222804986421681,56,1543.0
250.0,54,934.0,12.621621621621621,1.6991447643255342,54,1697.0,0.049522907227299774,54,1697.0
255.0,51,874.0,10.925,2.6633273673183195,51,1625.0,0.08635151010371274,51,1625.0
260.0,48,884.0,10.650602409638553,3.770330392933402,48,1650.0,0.15457980012045353,48,1650.0
265.0,42,928.0,11.6,3.1597955905064117,42,1707.0,0.14776951616334014,42,1707.0
270.0,41,791.0,10.272727272727273,2.245206564994,41,1788.0,0.09993457935751149,41,1788.0
275.0,39,721.0,9.0125,2.856765726466479,39,1657.0,0.11501150150094307,39,1657.0
280.0,43,711.0,8.464285714285714,3.2425798145085283,43,1647.0,0.1273500818807123,43,1647.0
285.0,39,800.0,10.126582278481013,2.712757042877802,39,1697.0,0.12058410093668052,39,1697.0
290.0,42,847.0,10.083333333333334,2.6802132278136064,42,1791.0,0.11912561718315993,42,1791.0
295.0,41,944.0,10.850574712643677,3.318439098065591,41,1758.0,0.15571973169823186,41,1758.0
300.0,42,865.0,10.297619047619047,3.0531461761000056,42,1730.0,0.139999120353084,42,1730.0
305.0,42,631.0,7.511904761904762,2.0739588455731295,42,1797.0,0.10138887940907915,42,1797.0
310.0,54,881.0,10.244186046511627,2.6245414479979847,54,1779.0,0.09321657860728293,54,1779.0
315.0,60,1111.0,12.625,1.8396926513190548,60,1942.0,0.047621378724108154,60,1942.0
320.0,64,1155.0,13.430232558139535,1.408084899873844,64,2023.0,0.033836470794149656,64,2023.0
325.0,71,1256.0,13.652173913043478,1.9158639832035278,71,2121.0,0.04226517161342992,71,2121.0
330.0,58,1182.0,12.574468085106384,2.357530756297623,58,2240.0,0.10340418480771933,58,2240.0
335.0,49,894.0,10.044943820224718,2.555262808373667,49,2279.0,0.13355322707562256,49,2279.0
340.0,57,1157.0,12.855555555555556,2.2609337868569543,57,2328.0,0.07650603672121921,57,2328.0
345.0,67,1386.0,14.903225806451612,1.508332612230414,67,2485.0,0.029092035742436056,67,2485.0
350.0,65,1283.0,14.415730337078651,1.4445715880815369,65,2658.0,0.049312525790381534,65,2658.0
355.0,63,1234.0,14.022727272727273,2.1633532523205683,63,2571.0,0.060819061282720556,63,2571.0
360.0,57,1115.0,12.670454545454545,1.8939790624832462,57,2710.0,0.05489600390163386,57,2710.0
365.0,47,843.0,9.47191011235955,2.22280965882839,47,2755.0,0.09762691593910915,47,2755.0
370.0,45,860.0,9.772727272727273,3.2860962800845654,45,2671.0,0.15793062433997518,45,2671.0
375.0,47,868.0,9.644444444444444,3.029512536032492,47,2632.0,0.11525936192403717,47,2632.0
380.0,46,873.0,9.7,2.4818351485660313,46,2656.0,0.0974990229682653,46,2656.0
385.0,51,935.0,10.625,2.447476779674442,51,2679.0,0.11449662311695995,51,2679.0
390.0,53,1049.0,11.786516853932584,2.6923276914884413,53,2654.0,0.10081071356479811,53,2654.0
395.0,50,1186.0,13.477272727272727,3.139282925724234,50,2540.0,0.09852604447792986,50,2540.0
400.0,52,1153.0,12.397849462365592,2.77234538357339,52,2556.0,0.1199481008904829,52,2556.0
405.0,47,855.0,9.395604395604396,2.833748625136943,47,2621.0,0.15940813784928382,47,2621.0
410.0,60,1131.0,12.161290322580646,2.4413368741194073,60,2601.0,0.08948813055403813,60,2601.0
415.0,72,1394.0,14.371134020618557,1.4743169114136192,72,2766.0,0.03231496940660661,72,2766.0
420.0,71,1424.0,15.148936170212766,1.3305455023917927,71,2956.0,0.04720273168724825,71,2956.0
425.0,69,1527.0,16.073684210526316,1.9265447332816776,69,2885.0,0.050646620856350084,69,2885.0
430.0,64,1412.0,15.02127659574468,1.7431872339248589,64,3022.0,0.050429979036030206,64,3022.0
435.0,53,944.0,10.26086956521739,1.9848345673987557,53,3071.0,0.0828713660096655,53,3071.0
440.0,57,1197.0,12.73404255319149,2.7345480450325286,57,3073.0,0.1183337707459059,57,3073.0
445.0,62,1410.0,15.161290322580646,2.0373783847107,62,3176.0,0.07710573348035031,62,3176.0
450.0,66,1316.0,14.461538461538462,1.3726459368216566,66,3214.0,0.024821646913414992,66,3214.0
455.0,66,1294.0,14.065217391304348,2.0745617668319736,66,3112.0,0.058151684838612744,66,3112.0
460.0,61,1235.0,13.571428571428571,1.9746286936983382,61,3241.0,0.07217409216769782,61,3241.0
465.0,49,907.0,10.306818181818182,2.037219558953135,49,3348.0,0.0788174073878984,49,3348.0
470.0,48,928.0,10.311111111111112,2.3625103492901762,48,3196.0,0.08943699312283995,48,3196.0
475.0,45,950.0,10.21505376344086,3.3030009995489915,45,3096.0,0.14819639285924993,45,3096.0
480.0,44,977.0,10.619565217391305,2.804955492009362,44,3063.0,0.144674045936071,44,3063.0
485.0,52,1040.0,11.304347826086957,2.250933742779998,52,3008.0,0.0879531699144215,52,3008.0
490.0,60,1195.0,12.849462365591398,2.435309414776125,60,3004.0,0.08781286893520639,60,3004.0
495.0,53,1175.0,12.634408602150538,2.233617425409791,53,3058.0,0.09578844574162167,53,3058.0
500.0,46,784.0,8.71111111111111,1.883786956011292,46,2979.0,0.0863282439099923,46,2979.0
