step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.330164875276386,0,0.0,0.37708576874231525,0,0.0
10.0,0,0.0,0.0,12.23184080551198,0,0.0,0.8756178212528288,0,0.0
15.0,0,0.0,0.0,8.424200583348183,0,0.0,0.5704247498842122,0,0.0
20.0,7,20.0,0.8333333333333334,6.047839811511598,7,20.0,0.3149825697750689,7,20.0
25.0,12,50.0,1.8518518518518519,5.520840007161542,12,50.0,0.33583486795649964,12,50.0
30.0,8,72.0,2.6666666666666665,6.2642180793986695,8,72.0,0.3819480057690749,8,72.0
35.0,11,119.0,4.25,7.168135630705112,11,119.0,0.31563960796014856,11,119.0
40.0,18,182.0,4.7894736842105265,5.503531688454053,18,182.0,0.2325730034368803,18,182.0
45.0,14,198.0,5.823529411764706,5.830934320580909,14,198.0,0.3728435698800767,14,198.0
50.0,7,106.0,2.864864864864865,6.0016043619820945,7,200.0,0.35746512082221293,7,200.0
55.0,16,143.0,3.4878048780487805,5.354687121388185,16,157.0,0.21194916936873515,16,157.0
60.0,15,216.0,5.538461538461538,7.247116733641038,15,216.0,0.32951050550756106,15,216.0
65.0,17,293.0,7.512820512820513,5.621835220707963,17,293.0,0.23513343673942322,17,293.0
70.0,20,387.0,10.18421052631579,5.286673131533739,20,387.0,0.21576023665743213,20,387.0
75.0,20,378.0,9.692307692307692,2.9645295316082363,20,378.0,0.15439680894344193,20,378.0
80.0,19,328.0,7.627906976744186,4.767187598496572,19,391.0,0.3114053543898245,19,391.0
85.0,25,427.0,9.085106382978724,4.809074476138635,25,427.0,0.23852737960018539,25,427.0
90.0,29,555.0,11.5625,3.8306221219806194,29,555.0,0.13919148380561522,29,555.0
95.0,33,714.0,15.191489361702128,2.615165502756868,33,714.0,0.12307732064040011,33,714.0
100.0,37,840.0,16.470588235294116,1.9533631458524507,37,840.0,0.10619830154340248,37,840.0
105.0,29,909.0,17.823529411764707,3.128154395659874,29,935.0,0.16654496268763197,29,935.0
110.0,34,1067.0,18.084745762711865,3.1920663707900507,34,1067.0,0.10609545677617194,34,1067.0
