step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.427441630402232,0,0.0,0.3369799790417516,0,0.0
10.0,0,0.0,0.0,10.955135283354632,0,0.0,0.8192584859886843,0,0.0
15.0,0,0.0,0.0,9.785184259647714,0,0.0,0.707696363755485,0,0.0
20.0,4,9.0,0.375,5.059862191754097,4,9.0,0.35168256590885505,4,9.0
25.0,12,49.0,1.75,6.408429519427562,12,49.0,0.41131109526788295,12,49.0
30.0,10,93.0,3.3214285714285716,6.093129523574584,10,93.0,0.33665082105335997,10,93.0
35.0,12,120.0,4.0,5.848139614320089,12,120.0,0.3003022697956768,12,120.0
40.0,11,101.0,2.6578947368421053,4.5476698070189885,11,130.0,0.2497723313215395,11,130.0
45.0,9,145.0,3.918918918918919,7.782514190839059,9,145.0,0.4681439611377158,9,145.0
50.0,9,139.0,3.475,6.143177981201399,9,139.0,0.3305778671834243,9,139.0
55.0,21,214.0,5.35,4.5504604866394684,21,214.0,0.17356532708752803,21,214.0
60.0,21,312.0,8.432432432432432,4.889741620680171,21,312.0,0.23044182337311525,21,312.0
65.0,23,372.0,9.3,2.903526188073692,23,372.0,0.15193227669962792,23,372.0
70.0,19,347.0,8.897435897435898,4.077333016770107,19,418.0,0.23132506484710985,19,418.0
75.0,20,436.0,9.27659574468085,4.533440083712045,20,449.0,0.1778993877578373,20,449.0
80.0,23,486.0,9.346153846153847,4.908431420820208,23,499.0,0.2651531535738046,23,499.0
85.0,21,382.0,7.64,4.293513602845476,21,540.0,0.23324370732576574,21,540.0
90.0,21,456.0,9.306122448979592,4.654126237750667,21,505.0,0.1965145395397341,21,505.0
95.0,25,423.0,8.294117647058824,4.498957377151132,25,472.0,0.2078588285353402,25,472.0
100.0,25,245.0,4.711538461538462,3.1602245958693262,25,460.0,0.14870986609112358,25,460.0
105.0,31,382.0,7.490196078431373,4.176175472683831,31,431.0,0.16131264139376025,31,431.0
110.0,34,480.0,8.571428571428571,2.692734846578962,34,519.0,0.06979948575104464,34,519.0
115.0,29,369.0,6.473684210526316,4.106243644283218,29,548.0,0.18804526239021954,29,548.0
120.0,22,421.0,7.654545454545454,5.1552608846789925,22,565.0,0.24997272072430274,22,565.0
125.0,31,493.0,8.35593220338983,3.443273834290894,31,617.0,0.14292137775327635,31,617.0
130.0,28,375.0,6.3559322033898304,3.3625285572638295,28,666.0,0.14448046700838676,28,666.0
135.0,27,392.0,6.6440677966101696,4.275751695008278,27,674.0,0.17350220074926562,27,674.0
140.0,29,490.0,8.166666666666666,3.622084757650327,29,742.0,0.17533680576797445,29,742.0
145.0,36,497.0,7.888888888888889,2.149776465554027,36,822.0,0.09659707060771361,36,822.0
150.0,26,573.0,8.815384615384616,3.9009384754902032,26,835.0,0.17362445894537357,26,835.0
155.0,32,592.0,9.107692307692307,4.192300421565073,32,854.0,0.22314062083015151,32,854.0
160.0,37,498.0,7.432835820895522,2.800317014987069,37,822.0,0.10127240416993334,37,822.0
165.0,44,703.0,10.492537313432836,3.1799166178922595,44,965.0,0.1059669785471367,44,965.0
170.0,50,880.0,12.941176470588236,2.302578564977563,50,1090.0,0.06905385242661721,50,1090.0
175.0,44,827.0,12.530303030303031,2.1630962529931317,44,1172.0,0.09586629084344393,44,1172.0
180.0,41,821.0,12.63076923076923,2.8374528936334324,41,1209.0,0.08962528463474509,41,1209.0
185.0,35,856.0,11.567567567567568,3.0423775933133914,35,1277.0,0.14281929867163531,35,1277.0
190.0,31,735.0,10.5,3.243990501825297,31,1322.0,0.18769595819682555,31,1322.0
