step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.893803593516349,0,0.0,0.4224234463155773,0,0.0
10.0,0,0.0,0.0,11.994951118469299,0,0.0,0.8645261581027265,0,0.0
15.0,0,0.0,0.0,7.57230098943829,0,0.0,0.5743194508432841,0,0.0
20.0,4,12.0,0.5,4.840370251124496,4,12.0,0.340158266042697,4,12.0
25.0,14,58.0,2.0714285714285716,5.403150164172657,14,58.0,0.33539122850294395,14,58.0
30.0,14,117.0,4.178571428571429,4.5253462979486105,14,117.0,0.27767407661181925,14,117.0
35.0,16,169.0,6.035714285714286,3.122034615693728,16,169.0,0.24645708179411538,16,169.0
40.0,25,265.0,6.625,2.541914601760719,25,265.0,0.1503272317272034,25,265.0
45.0,24,381.0,9.071428571428571,4.438541642245845,24,381.0,0.2856311417280754,24,381.0
50.0,27,448.0,10.181818181818182,2.471045229050672,27,448.0,0.17097016605552087,27,448.0
55.0,28,379.0,7.58,2.56206951292676,28,473.0,0.11618293767771343,28,473.0
60.0,24,480.0,9.6,4.331885983292258,24,525.0,0.18795515079900682,24,525.0
65.0,26,514.0,9.345454545454546,4.0466923269618045,26,559.0,0.17147839672092668,26,559.0
70.0,22,297.0,5.711538461538462,3.4475987416682017,22,595.0,0.13988435448885067,22,595.0
75.0,22,295.0,5.267857142857143,3.8310503671792877,22,501.0,0.14014700977750474,22,501.0
80.0,23,325.0,5.416666666666667,4.687582896647469,23,531.0,0.2557938509931569,23,531.0
85.0,30,366.0,6.203389830508475,3.539897141464225,30,592.0,0.1752699367113276,30,592.0
90.0,37,528.0,9.10344827586207,2.5013657666575964,37,734.0,0.06846329585625421,37,734.0
95.0,42,654.0,10.9,2.2432099205326894,42,860.0,0.08288724613036544,42,860.0
100.0,44,751.0,12.311475409836065,2.169900473381443,44,985.0,0.08400989221014726,44,985.0
105.0,44,967.0,15.596774193548388,2.7835287582142207,44,1173.0,0.07862167041786929,44,1173.0
110.0,49,1200.0,18.181818181818183,1.3306139759180047,49,1406.0,0.031945378948418604,49,1406.0
115.0,54,1452.0,21.352941176470587,1.838728072761475,54,1658.0,0.11150213174336948,54,1658.0
120.0,58,1727.0,25.397058823529413,1.6573940187583973,58,1933.0,0.09645440050285993,58,1933.0
125.0,62,2026.0,28.13888888888889,0.9921334886681321,62,2232.0,0.05205906617433259,62,2232.0
130.0,67,2350.0,30.92105263157895,0.641074314017346,67,2556.0,0.024685908760808187,67,2556.0
135.0,73,2703.0,34.21518987341772,0.6150143032287264,73,2909.0,0.036653122087589564,73,2909.0
140.0,75,2923.0,35.646341463414636,0.32252002795119994,75,3105.0,0.02115674086511881,75,3105.0
145.0,74,2563.0,29.802325581395348,0.7499862987471896,74,3307.0,0.02135022573640426,74,3307.0
150.0,60,2296.0,26.09090909090909,2.311424447620802,60,3184.0,0.08078356921483024,60,3184.0
155.0,52,2108.0,24.511627906976745,2.7629319766958984,52,3268.0,0.13265373741989797,52,3268.0
