step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.189428515601104,0,0.0,0.9505386415772874,0,0.0,0.9505441122703869,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9526603581852984,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9476528615270872,0,0.0,0.9519920227288983,0,0.0,0.9574524028296313,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.955720012656049,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.457451294654831,0,0.0,0.9617027176823021,0,0.0,0.9637420808393071,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9570420620119584,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.96209308106577,0,0.0,0.9646271102455415,0,0.0,0.9059357739934958,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.928136316368374,0,0.0,1.0,0,0.0
15.0,2,2.0,0.05,11.434375172842836,0,0.0,0.7870292311465953,0,0.0,0.9583231200999848,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6606053823455931,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9375913608024646,0,0.0,0.9599466612133615,1,1.0,0.6524539830488203,0,0.0,0.9875874507775191,0,0.0,0.9957028454270789,0,0.0,0.9963433597025159,1,1.0,0.7285425960084216,0,0.0,1.0,2,2.0
20.0,1,2.0,0.03571428571428571,9.27532417972553,0,0.0,0.7137219986828042,0,0.0,0.7722269757698548,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7518132972538365,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6828477799917124,0,0.0,0.6936047624460038,1,2.0,0.8020176640025779,0,0.0,0.9691219732685983,0,0.0,0.9418228462499285,0,0.0,0.9568847872835796,0,0.0,0.5894034686423767,0,0.0,1.0,1,2.0
25.0,6,17.0,0.2361111111111111,9.625412357066361,1,3.0,0.7464389310134919,1,8.0,0.6117242097108999,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9021887430639353,0,5.0,0.8123960940891395,0,0.0,1.0,0,0.0,1.0,2,6.0,0.5519246934045103,2,5.0,0.6038581587774535,0,0.0,0.803606483939214,0,6.0,0.597520524160746,0,0.0,0.8635038418182455,0,0.0,0.30164626778558973,0,0.0,0.9532638608064528,0,4.0,0.7463291750861495,6,37.0
30.0,22,90.0,1.125,8.807319736720554,3,15.0,0.641491054030645,4,23.0,0.6109446913650841,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9582930590704581,0,5.0,0.923618830661911,0,0.0,1.0,0,0.0,1.0,3,21.0,0.41541851570448557,4,19.0,0.4576056851851265,2,3.0,0.471218341902052,2,12.0,0.7266026663870135,2,2.0,0.002456289230248916,2,6.0,5.245455410071761e-05,0,0.0,0.9468337854727066,0,4.0,0.8941863275120486,22,110.0
35.0,15,75.0,0.78125,6.342353981999898,4,16.0,0.5474595405512299,3,24.0,0.4160849761393755,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8150220794037917,0,5.0,0.551812940464789,0,0.0,1.0,0,0.0,1.0,3,18.0,0.35887932587153515,3,16.0,0.4256400233284451,1,5.0,0.5838652748888685,0,6.0,0.531117244963703,0,0.0,1.0,0,0.0,1.0,1,1.0,0.620616054869395,0,4.0,0.558569368898738,15,95.0
40.0,26,92.0,0.8214285714285714,6.9061168278350475,4,20.0,0.5908836217766869,4,23.0,0.37341211844250377,0,8.0,0.8578237984876657,0,8.0,0.8612415169345756,2,7.0,0.5519404015792778,4,16.0,0.12286136211955274,0,0.0,1.0,0,0.0,1.0,0,3.0,0.6318597344892382,0,4.0,0.6298914103644794,2,16.0,0.610372799917458,4,28.0,0.2644173210491308,0,8.0,0.745435578849882,0,8.0,0.7254773681881694,2,18.0,0.6166105743186255,4,26.0,0.23483593489341978,26,193.0
45.0,41,280.0,2.3333333333333335,7.841666133531589,4,36.0,0.4745962593311119,6,46.0,0.38242541238401284,0,8.0,0.9548411419023308,0,8.0,0.9478715923900792,4,23.0,0.3904673877305462,6,45.0,0.00143348749809922,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9506977765209387,0,0.0,0.9747090612919345,4,32.0,0.6551657569466196,7,61.0,0.48773371899005186,0,9.0,0.8927143391983385,0,8.0,0.8814445885164526,3,29.0,0.5541442649783451,7,56.0,0.21054515695777476,41,361.0
