step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.778536895347107,0,0.0,0.9523343850187831,0,0.0,0.9427846019257675,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9434759064530647,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9443190884812167,0,0.0,0.949500979527826,0,0.0,0.9418654298670077,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9507943177671629,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.167573498930286,0,0.0,0.9376248364868843,0,0.0,0.9571579088417225,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9564949047222394,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9557290580187517,0,0.0,0.9608096829236943,0,0.0,0.9296990185918683,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9608277787349511,0,0.0,1.0,0,0.0
15.0,2,2.0,0.05,11.250008701875524,1,1.0,0.7319519123703085,0,0.0,0.9443689176924234,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7131583202297371,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9242772275317026,0,0.0,0.9467178862013588,1,1.0,0.7977092253983418,0,0.0,0.9511831738734225,0,0.0,1.0,0,0.0,0.9760973104604884,0,0.0,0.6087062550676535,0,0.0,1.0,2,2.0
20.0,12,34.0,0.6071428571428571,9.880589744794452,3,10.0,0.6285982856486209,0,0.0,0.923477594298455,0,0.0,1.0,0,0.0,1.0,3,7.0,0.438811349475034,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9490574497149433,0,0.0,0.944708911532356,3,8.0,0.6056891534105364,0,0.0,0.9346587799299476,0,0.0,0.9616278409491904,0,0.0,0.9603679664630946,3,9.0,0.5403048291222972,0,0.0,1.0,12,34.0
25.0,19,107.0,1.4861111111111112,9.379053952712948,4,28.0,0.5958017118939364,0,0.0,0.9658107956853771,0,0.0,1.0,0,0.0,0.9215292305292386,5,26.0,0.3939604892760322,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.956486628653486,0,0.0,0.9652657369670455,5,27.0,0.5491259130698906,0,0.0,0.9273393216318698,0,0.0,0.8802041797132049,0,0.0,0.941736382418398,5,26.0,0.4602219513880105,0,0.0,0.9196807667106389,19,107.0
30.0,17,107.0,1.3375,8.00082086874138,5,27.0,0.4268918230635773,0,0.0,0.9302671338817525,0,0.0,0.9461593711776224,0,0.0,0.9123237855584604,4,28.0,0.3214531497127888,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9684902251089831,0,0.0,0.9475418292999508,4,27.0,0.43009056900949594,0,0.0,0.9302677854044077,0,0.0,0.9298094746335854,0,0.0,0.9424926739160652,4,25.0,0.455197234884628,0,0.0,0.9185629892267998,17,107.0
35.0,4,15.0,0.15625,10.081012932050704,3,14.0,0.5495853133672722,0,8.0,0.8353562994576005,0,0.0,0.9252475645727799,0,0.0,0.9579681928195266,0,4.0,0.6170523218910128,0,8.0,0.8130681055754655,0,0.0,1.0,0,0.0,0.9844990836410823,0,0.0,0.9750459802889646,0,0.0,0.9523669203551314,1,13.0,0.5395978794266607,0,8.0,0.8617285698372704,0,0.0,0.9222167770037081,0,0.0,0.9510208041511966,0,9.0,0.5528863072085254,0,8.0,0.8392101620786327,4,72.0
40.0,9,51.0,0.45535714285714285,11.474250302713427,4,28.0,0.583410512394308,0,9.0,0.9231421462543709,0,0.0,0.9144623600425752,0,0.0,0.9296493990391198,0,0.0,0.9009045246231435,0,9.0,0.8319562980549685,0,0.0,1.0,0,0.0,0.9536278685712882,0,0.0,0.9668863303069583,0,0.0,0.9500474292747846,3,17.0,0.5056593646298566,0,9.0,0.9115840915161288,0,0.0,0.9776818794074738,0,0.0,0.9673997228802103,2,6.0,0.6224591627562904,0,9.0,0.8953289682808973,9,87.0
45.0,11,76.0,0.6333333333333333,10.084356406268913,6,28.0,0.4423068632257837,0,1.0,0.6957969474838648,0,0.0,0.9360241356696679,0,0.0,0.9331856225248304,0,0.0,0.9676688047908694,0,1.0,0.8337709326436075,0,0.0,0.9479289161785335,0,0.0,0.9458627473419384,0,0.0,0.9542467442222734,0,0.0,0.944507792410387,3,32.0,0.47869083217149694,0,9.0,0.7321096837974086,0,0.0,0.9729010062280282,0,0.0,0.9787760672239179,2,16.0,0.6327991429647896,0,9.0,0.7615492262608696,11,96.0
50.0,14,71.0,0.5220588235294118,9.06045532485006,3,25.0,0.537022455016806,2,9.0,0.5278009459093836,0,0.0,0.9563770078471304,0,0.0,0.9318594948835223,0,0.0,0.9209465092945622,0,0.0,0.728104223928039,0,0.0,0.8539020583163367,0,0.0,0.9630595028616737,0,0.0,0.8779104170597201,0,0.0,0.974496579922647,1,20.0,0.6288953159083361,3,7.0,0.30305410457979115,0,0.0,0.9303148889318642,0,0.0,0.9495592603469604,2,26.0,0.6405498860211062,3,5.0,0.47363399732891415,14,92.0
55.0,18,118.0,0.7763157894736842,9.562193880561829,4,30.0,0.5564532867075559,4,26.0,0.43631297200883346,0,6.0,0.8289653370188418,0,0.0,0.9582086126060538,0,0.0,0.7847183845859386,2,7.0,0.6112477083236314,0,0.0,0.8498388181947074,0,0.0,0.9706084626958809,0,0.0,0.9354876484691647,0,0.0,0.9635862669520199,2,17.0,0.7285320425707484,2,12.0,0.1674240079287352,0,7.0,0.8135246693777962,0,0.0,0.9537881401973557,2,44.0,0.708544493721575,2,7.0,0.373489928348718,18,156.0
60.0,25,125.0,0.7911392405063291,8.82287347124144,5,25.0,0.45915624264596216,4,22.0,0.374207954471244,0,6.0,0.9125177624036629,0,0.0,0.9214724270368179,2,5.0,0.628552045174998,2,4.0,0.4008713406170295,1,1.0,0.6411665412954444,0,0.0,0.9414206215041828,1,2.0,0.6189208365120599,0,0.0,0.9330060310528238,4,28.0,0.6135231524218676,2,16.0,0.2781303058638419,0,7.0,0.8831158130039025,0,0.0,0.9558084357409943,0,8.0,0.853708806239781,4,22.0,0.468903259418114,25,146.0
65.0,28,160.0,0.9248554913294798,8.489285305583168,3,22.0,0.5140370436269498,0,16.0,0.6387953907151339,1,2.0,0.7850325049804547,0,0.0,0.9651565980887813,4,25.0,0.5180876839048253,2,5.0,0.00698327394824638,2,8.0,0.303238455467003,0,0.0,0.8593132347774196,3,12.0,0.3970817727762948,0,0.0,0.8395837934514605,5,52.0,0.4174148538749254,2,11.0,0.46157444687486926,0,3.0,0.7781466622736066,0,0.0,0.923915589373919,2,6.0,0.7682069071625628,4,42.0,0.3029679838267166,28,204.0
70.0,42,279.0,1.516304347826087,9.144047606829297,5,35.0,0.49122725894270125,0,9.0,0.8890925315861846,3,12.0,0.6456667814692888,0,0.0,0.9248178097025874,6,51.0,0.6121580201191904,3,20.0,4.361782903516575e-06,4,26.0,0.22321379550708578,0,0.0,0.8881290543936663,5,32.0,0.4264436533600542,0,0.0,0.9183749253884217,6,46.0,0.3178032562621511,2,21.0,0.7627121156023282,2,4.0,0.5289718923800854,0,0.0,0.8992917833038868,3,19.0,0.6453304982295872,3,37.0,0.3477260601479025,42,312.0
75.0,39,285.0,1.507936507936508,8.021172615115521,6,40.0,0.4161968639209111,1,2.0,0.6813256395760665,3,27.0,0.40792373834495577,0,0.0,0.8998079335372553,7,50.0,0.4873506901071487,3,43.0,0.3857161847003886,3,23.0,0.00020353701637571963,1,1.0,0.7131402764837328,4,27.0,0.36454213793481144,0,0.0,0.7495125039898048,1,28.0,0.40146341337034014,2,31.0,0.7196046600130575,2,14.0,0.0,0,0.0,0.899175290751809,5,42.0,0.39594661038466517,1,13.0,0.7806216833253217,39,341.0
80.0,30,214.0,1.064676616915423,7.685006719548126,2,32.0,0.5021536852374436,3,12.0,0.6002881827489379,3,19.0,0.02504515027146727,0,0.0,0.480458278075675,4,46.0,0.401764295770305,3,66.0,0.6648637369302455,0,4.0,0.4229116290373199,2,8.0,0.5060256191857504,0,3.0,0.7389647274189937,2,6.0,0.5229587024613485,1,17.0,0.7267977924212994,2,37.0,0.7488885064533425,0,8.0,0.6927641855197074,1,2.0,0.6155422290609135,6,41.0,0.23834969403776285,1,10.0,0.8082288081795583,30,311.0
85.0,39,294.0,1.3611111111111112,8.661697358599206,4,29.0,0.5601379500725405,5,29.0,0.4388828549465625,3,24.0,0.3159544850596885,3,11.0,0.21334019893071207,8,53.0,0.27869642396486777,3,77.0,0.7180437238540198,0,8.0,0.8077545958426359,4,26.0,0.22248723525930814,0,0.0,0.9022428710428698,4,24.0,0.4517316479917286,1,22.0,0.8469029174529402,0,4.0,0.5608514676561728,0,9.0,0.9114216126218775,1,7.0,0.4180980017541432,2,30.0,0.41030142726133406,1,23.0,0.7724288412537207,39,376.0
90.0,46,386.0,1.787037037037037,8.185340718529217,6,57.0,0.4683458859597579,3,24.0,0.321912787661227,3,39.0,0.5488416981424328,3,26.0,0.2920811152452888,11,107.0,0.20867948145170773,3,35.0,0.6466630522879205,0,8.0,0.9390534413421185,4,23.0,0.0001590567540059391,0,0.0,0.6371642536453053,4,23.0,0.3656468289109786,1,7.0,0.6559146014912154,2,14.0,0.3098723303012738,0,9.0,0.8419252427856698,3,20.0,1.0387609200971382e-05,2,22.0,0.6087354016557781,1,29.0,0.8331508809230359,46,443.0
