step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.38374440162331,0,0.0,0.9572582886949341,0,0.0,0.9536132134756794,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9613334060658791,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9596073685835875,0,0.0,0.9572036954177452,0,0.0,0.9564830563752104,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9570612428721135,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.067113080553106,0,0.0,0.9175653756960983,0,0.0,0.959692537146545,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9090370814513198,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9604021188275931,0,0.0,0.9569062791788465,0,0.0,0.9581099222576128,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9598508840014578,0,0.0,1.0,0,0.0
15.0,2,2.0,0.05,11.116961946768296,1,1.0,0.7515976172343247,0,0.0,0.9533455680334412,0,0.0,1.0,0,0.0,1.0,1,1.0,0.5857582284298781,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9432126955394909,0,0.0,0.9688027115771032,0,0.0,0.6472223557386535,0,0.0,0.9803572872042601,0,0.0,0.9711828673315868,0,0.0,0.9444579895723461,0,0.0,0.7116353685138529,0,0.0,1.0,2,2.0
20.0,5,13.0,0.23214285714285715,9.251692244190648,1,2.0,0.7303643302238486,0,0.0,0.7220185862863586,0,0.0,1.0,0,0.0,1.0,1,2.0,0.7263745734140669,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7828223341202281,0,0.0,0.7930433518197295,2,7.0,0.5766813991179185,0,0.0,0.9220583631304449,0,0.0,0.9496399671044463,0,0.0,0.9639348247485886,1,2.0,0.6693668364288132,0,0.0,1.0,5,13.0
25.0,11,51.0,0.7083333333333334,8.98210335512717,2,8.0,0.7093946687114691,2,12.0,0.5779558137593287,0,0.0,1.0,0,0.0,0.9208963864585491,0,0.0,0.9826845302540936,0,6.0,0.7111035503071852,0,0.0,1.0,0,0.0,1.0,1,5.0,0.61457430757056,2,6.0,0.5141513048907708,4,26.0,0.5034844204748604,0,0.0,0.6928095056858455,0,0.0,0.4296942488817705,0,0.0,0.936956019084693,0,0.0,0.9820010706176329,0,5.0,0.7638147665743793,11,68.0
30.0,25,147.0,1.8375,7.962561712070306,4,23.0,0.49227210523027287,4,29.0,0.6497041579215169,0,0.0,1.0,0,0.0,0.939248066553973,0,0.0,0.9583698071110802,0,6.0,0.9322821742426108,0,0.0,1.0,0,0.0,1.0,4,19.0,0.36156331507143646,4,23.0,0.4014659240180252,6,51.0,0.2517685015160065,1,2.0,0.028166527348511564,2,6.0,0.002195887140447933,0,0.0,1.0,0,0.0,0.9534311409084333,0,5.0,0.9070367444243771,25,164.0
35.0,31,251.0,2.6145833333333335,6.999039563967751,6,51.0,0.5000081220501231,4,29.0,0.47724732828899175,0,0.0,1.0,0,0.0,0.8705897989908049,0,0.0,0.9418636903227036,0,0.0,0.9563166771155883,0,0.0,0.9629976985866877,0,0.0,1.0,6,44.0,0.3691885324336891,3,20.0,0.4766009403112497,8,86.0,0.21486803960444445,2,11.0,4.064075028480126e-05,2,16.0,4.43977362595191e-06,0,0.0,1.0,0,0.0,0.9339255213442955,0,0.0,0.7623894574949724,31,257.0
40.0,27,245.0,2.1875,6.969609753197597,5,47.0,0.4854937346441205,5,30.0,0.43977834614490785,0,0.0,0.8866906874661732,0,0.0,1.0,0,0.0,0.9704153983633463,1,1.0,0.6285115403529263,0,0.0,0.9317067631247233,0,0.0,1.0,7,75.0,0.32024397488920464,0,4.0,0.6318656066055052,7,82.0,0.2442540085125436,0,8.0,0.7375077635239221,2,26.0,0.0,0,8.0,0.6810889492507269,0,0.0,0.8243256560943991,0,0.0,0.9275766688157394,27,281.0
45.0,23,145.0,1.2083333333333333,8.061028430978688,2,24.0,0.5219257461340758,8,54.0,0.3242266142870537,0,0.0,0.9066893349445403,0,0.0,1.0,1,2.0,0.7224838463103022,3,12.0,0.32538126723253635,0,0.0,0.9264816862168911,0,0.0,0.9327753800823007,6,70.0,0.2619582582122255,0,0.0,0.9379761684201714,0,54.0,0.45867412421213766,0,16.0,0.8693019603367002,0,0.0,1.0,0,4.0,0.9218009181464959,3,8.0,0.46539925455768627,0,8.0,0.8558968514564897,23,252.0
