step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,10.011063159353986,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9496845069199918,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.93308789623582,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.15134198040793378,0,0.0,1.0,0,0.0,0.9823951701278653,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,7.399253107685323,0,0.0,0.019893923512027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.11558062981792953,0,0.0,1.0,0,0.0,0.9019252909207578,0,0.0,1.0,0,0.0,0.8901640194574763,0,0.0,0.9903966908248639,0,0.0
20.0,1,1.0,0.05555555555555555,5.95294748033151,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8449370236019105,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6022973685222357,1,1.0,0.46905501716662035,1,1.0
25.0,4,14.0,0.5833333333333334,7.254235200369824,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8131097169666323,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9079983055872706,0,0.0,1.0,2,8.0,0.4581461499942345,1,6.0,2.101680879998493e-05,3,14.0
30.0,5,33.0,1.1,6.065285276011218,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.43077551228541905,0,0.0,1.0,0,0.0,1.0,1,3.0,0.1686420477504058,0,0.0,1.0,2,18.0,0.3820866247021123,1,11.0,0.4579624750262255,5,33.0
35.0,4,19.0,0.5277777777777778,5.899678933588953,1,1.0,0.002875318064021088,0,0.0,1.0,0,0.0,1.0,1,2.0,0.0019301066529328894,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9436789568571498,0,0.0,1.0,2,16.0,0.3008677029459009,0,0.0,0.4746253527697433,4,19.0
40.0,3,10.0,0.24390243902439024,7.941403098193118,1,6.0,0.5,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9573289017439719,0,4.0,0.9989505775501906,0,0.0,1.0,0,0.0,0.6708610641818021,0,0.0,1.0,0,4.0,0.5430547917201729,1,3.0,0.00021879272716984494,2,21.0
45.0,3,25.0,0.5319148936170213,8.546851352569796,1,11.0,0.0,0,0.0,1.0,0,0.0,0.8694576541552227,0,0.0,1.0,0,4.0,0.6885711465210103,0,0.0,0.984580280855631,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,8.0,0.48854792913482703,2,23.0
50.0,1,3.0,0.057692307692307696,7.586025405206128,0,0.0,0.8175452923854237,0,0.0,1.0,0,0.0,0.8981963767386734,0,0.0,1.0,1,7.0,0.34858807450065815,0,0.0,0.9116422905025817,0,0.0,0.8237316625766493,0,0.0,1.0,0,0.0,1.0,0,0.0,0.919439674033115,1,7.0
55.0,5,20.0,0.3508771929824561,7.7458133906337965,0,0.0,0.6603739730072405,0,0.0,1.0,0,0.0,0.977072704747227,0,4.0,0.7880240492724434,2,17.0,0.4805070054775946,0,0.0,0.8908834175631344,1,1.0,0.006943413313221403,0,0.0,0.42299220458159076,0,0.0,1.0,0,0.0,0.9179121647764306,3,22.0
60.0,8,53.0,0.8688524590163934,7.215993947428206,1,4.0,0.6230145525611172,0,0.0,1.0,0,0.0,0.4750138130497477,0,4.0,0.515579507199939,3,34.0,0.505129339630767,0,0.0,0.6272540258983912,1,6.0,0.0,0,0.0,1.0,0,1.0,0.7743468908267209,0,0.0,0.4415660617882974,5,49.0
65.0,7,49.0,0.7313432835820896,6.362893663107877,1,1.0,0.46634550105659955,0,0.0,1.0,0,0.0,0.5270574952811125,0,0.0,0.9518903910849499,4,50.0,0.5309741346161295,0,0.0,0.2965425430856261,0,0.0,1.0,0,0.0,1.0,0,1.0,0.8532863471413706,0,0.0,0.7600572827612899,5,52.0
70.0,9,78.0,1.0684931506849316,7.1495886853745185,1,6.0,0.2366642391024185,0,0.0,1.0,1,3.0,0.444275350838361,1,5.0,0.3587712540041937,4,70.0,0.3161881265702536,1,8.0,0.5634040218927597,0,0.0,1.0,0,0.0,1.0,0,1.0,0.865073170476462,1,3.0,0.5003316685358848,9,96.0
75.0,15,141.0,1.8076923076923077,7.296067020654289,3,18.0,0.0005245786911180608,0,0.0,1.0,1,8.0,0.6177824853932777,2,10.0,9.017768998837507e-05,6,95.0,6.435630416646702e-05,2,15.0,0.472373883405122,0,0.0,1.0,0,4.0,0.7853789987197093,0,0.0,0.8937610869361732,1,8.0,0.744676337090956,15,158.0
80.0,9,94.0,1.146341463414634,6.644966760870714,1,7.0,0.0,0,0.0,0.43095588320928707,0,0.0,0.5969313587816517,1,9.0,0.08286439717752786,4,72.0,0.0,1,7.0,0.016955165158183554,0,0.0,1.0,0,1.0,0.3509586662156026,1,1.0,0.5100522802202219,1,2.0,0.6749281856372568,9,99.0
85.0,11,30.0,0.3448275862068966,7.212482511226115,0,7.0,0.2723530188659767,1,3.0,0.0002379551464586056,0,0.0,0.9418578909010522,0,4.0,0.6054618417911872,0,37.0,0.6656054289606999,1,5.0,1.5054942994711397e-05,0,0.0,1.0,2,5.0,0.00011249009668421066,3,11.0,0.27551146158247725,2,5.0,0.48202398504256977,9,77.0
90.0,18,106.0,1.164835164835165,7.362572179352377,2,15.0,0.4053447457044904,1,8.0,0.0,0,0.0,1.0,1,5.0,0.43564448127408806,0,3.0,0.9062687127241185,1,12.0,0.6530542997499701,0,0.0,0.7645995762510377,2,19.0,0.27352930173517276,5,34.0,0.34101362833889676,4,19.0,0.18937125308010322,16,115.0
95.0,10,79.0,0.8315789473684211,6.755743977334267,2,18.0,0.143198825521995,0,0.0,1.0,0,0.0,0.9573230684831436,0,0.0,1.0,0,7.0,0.9182814675262717,0,0.0,0.8880543014594847,0,0.0,0.508342986835746,1,9.0,0.46515974442440494,4,43.0,0.1659874421669611,2,14.0,0.37899690096312894,9,91.0
100.0,7,43.0,0.43,8.218880514585788,1,22.0,0.29255954503741477,0,0.0,1.0,0,0.0,0.9237183518987878,0,8.0,0.9290692696821208,0,4.0,0.9506795573917982,0,4.0,0.7602710936408972,0,0.0,0.9997009360129258,2,12.0,0.30174767340312414,2,45.0,0.31819309166521687,2,16.0,0.3997473713593682,7,111.0
105.0,13,93.0,0.9207920792079208,8.281314863733119,1,26.0,0.0,0,0.0,1.0,0,0.0,0.8740051827403521,0,0.0,0.9771305282887597,1,6.0,0.5564075510464528,1,15.0,0.7621915326181946,0,0.0,0.9108005965415358,3,24.0,0.0008456435549937469,1,41.0,0.6464878694539392,5,35.0,0.2076689476206004,12,147.0
110.0,16,94.0,0.8867924528301887,7.100229163019533,0,0.0,0.8637539360076363,0,0.0,1.0,1,3.0,0.4386527337784678,0,0.0,0.9996879072459766,2,26.0,0.694069409284558,2,14.0,0.3394508846455532,0,0.0,0.5286118891157847,1,7.0,0.0,4,44.0,0.3096565981088019,5,54.0,0.23118192141700072,15,148.0
115.0,19,140.0,1.2727272727272727,6.477700433495788,0,0.0,0.9857364123263362,0,0.0,1.0,1,8.0,0.4425899930731333,0,4.0,0.8143099575032096,0,23.0,0.582311801432848,5,31.0,0.1629213146652611,1,5.0,0.3932618707230639,3,10.0,0.003975968131778953,3,54.0,0.22630101383461007,4,68.0,0.34724100925144175,17,203.0
120.0,30,254.0,2.189655172413793,6.585180428083233,0,0.0,0.9493040107143617,0,0.0,1.0,1,13.0,0.0,1,5.0,0.36691772872044554,2,28.0,0.4579525951956795,5,73.0,0.49809230045676345,2,12.0,0.0007053168115408287,4,30.0,0.0,3,55.0,0.4247239562163602,5,86.0,0.20903841683916352,23,302.0
125.0,22,175.0,1.4705882352941178,5.835950588644309,0,0.0,0.023595187345503744,0,0.0,1.0,0,0.0,1.0,1,1.0,0.17210210322976655,1,12.0,0.6016235811393348,4,67.0,0.40909670466067927,0,0.0,0.9331842456469304,0,0.0,1.0,2,39.0,0.38685426496134545,5,58.0,0.14554379768854905,13,177.0
