step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.256343044977847,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9833754247705865,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.336359338121371,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.22079258136651175,0,0.0,1.0,0,0.0,0.9651519197659668,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.653773737724555,0,0.0,0.05141132325226178,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.16017149009835402,0,0.0,1.0,0,0.0,0.8915135362051227,0,0.0,1.0,0,0.0,0.890349089118714,0,0.0,0.9762346281122968,0,0.0
20.0,2,6.0,0.3333333333333333,5.997441509167666,1,5.0,1.2771539471179458e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.767135394966019,0,0.0,1.0,1,1.0,0.007212963256062013,0,0.0,1.0,0,0.0,0.6480071773590858,0,0.0,0.5879888908056241,2,6.0
25.0,9,29.0,1.2083333333333333,4.963430528855874,1,10.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0016543186051072253,0,0.0,1.0,1,6.0,0.6540153232872825,0,0.0,1.0,2,5.0,0.45470417302356864,3,7.0,0.00362185116905953,8,29.0
30.0,8,59.0,2.0344827586206895,4.864295465623425,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,0,0.0,1.0,1,11.0,0.21854788387740567,0,0.0,1.0,2,15.0,0.4724183082879076,4,27.0,0.19122697267640182,8,59.0
35.0,11,95.0,2.638888888888889,5.342470094125803,0,0.0,0.561800951919681,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0,0.0,0,0.0,1.0,2,8.0,0.4126654417292108,0,0.0,1.0,3,28.0,0.2495666066331139,5,48.0,4.2320354233844045e-06,11,95.0
40.0,13,138.0,3.45,5.22325223453822,1,4.0,9.961546416442531e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,16.0,0.0,0,0.0,1.0,3,19.0,0.02369739525463766,0,0.0,1.0,3,26.0,0.0003623372336390395,5,73.0,0.0,13,138.0
45.0,8,131.0,2.7872340425531914,6.490162135963661,0,0.0,0.011987882598428833,0,0.0,1.0,0,0.0,0.9808610044054643,0,0.0,1.0,1,25.0,0.49440574820810135,0,0.0,0.8462715388679398,3,34.0,0.012953501377906084,0,0.0,1.0,0,13.0,0.6788216230383779,4,76.0,0.18942102030981767,8,148.0
50.0,10,177.0,3.4038461538461537,6.479575862063371,0,0.0,0.7086581631907646,0,0.0,1.0,0,0.0,0.989210881197344,0,4.0,0.9424598466094611,1,30.0,0.36357577939240465,1,1.0,0.0003471597090117902,4,54.0,0.07359381677421524,0,0.0,1.0,0,0.0,1.0,4,96.0,0.2504226476925399,10,185.0
55.0,15,213.0,3.736842105263158,6.013150929706577,1,1.0,0.5854812772515453,0,0.0,1.0,0,0.0,0.9090710156892109,1,6.0,0.4907755024571426,1,8.0,0.4542536797296523,1,6.0,0.4644327240686342,5,77.0,0.0,0,0.0,1.0,0,0.0,1.0,6,123.0,0.12729902963594528,15,221.0
60.0,15,238.0,3.901639344262295,5.675837815359238,0,0.0,0.8469914641834756,0,0.0,1.0,0,0.0,0.9404675651143755,0,0.0,0.4483929046983104,2,17.0,0.32391092702286756,1,11.0,0.6108767213112273,5,102.0,0.16357521122157404,1,3.0,3.329612380642633e-05,0,0.0,0.85407155122798,5,108.0,0.1546663022889749,14,241.0
65.0,15,179.0,2.671641791044776,6.044233711488483,0,0.0,0.9185536069143773,0,0.0,1.0,0,0.0,0.7011310173658691,1,7.0,0.39992324943957464,2,31.0,0.4741962019800423,2,2.0,0.3193847132635405,5,127.0,0.0,1,8.0,0.41634052377151365,0,0.0,0.8682687929332513,1,87.0,0.4506378074544766,12,262.0
70.0,16,248.0,3.3972602739726026,6.233227688706513,0,0.0,1.0,0,0.0,1.0,1,2.0,0.4342269648915213,1,8.0,0.5620650146983915,3,43.0,0.36577186653799776,1,10.0,0.460978660660494,5,152.0,0.0,2,14.0,0.003210878741261008,0,0.0,0.8354144209173239,1,24.0,0.6876374055320794,14,253.0
75.0,19,322.0,4.075949367088608,6.532659476955083,0,0.0,0.5896482973196909,0,0.0,1.0,1,7.0,0.6261116495351566,1,13.0,0.0,4,63.0,0.3795388083003886,2,20.0,0.48396562473657523,5,177.0,0.0,2,24.0,0.0,0,0.0,0.8980389107287385,2,17.0,0.5971155135033172,17,321.0
