step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,96070328_stopped,96070328_accumulated_waiting_time,96070328_average_speed,GS_189331900_stopped,GS_189331900_accumulated_waiting_time,GS_189331900_average_speed,GS_249180260_stopped,GS_249180260_accumulated_waiting_time,GS_249180260_average_speed,GS_535221878_stopped,GS_535221878_accumulated_waiting_time,GS_535221878_average_speed,GS_cluster_1225347516_1225347532_1561447083_535188960_stopped,GS_cluster_1225347516_1225347532_1561447083_535188960_accumulated_waiting_time,GS_cluster_1225347516_1225347532_1561447083_535188960_average_speed,GS_cluster_1227171577_1227171582_536673959_96034844_stopped,GS_cluster_1227171577_1227171582_536673959_96034844_accumulated_waiting_time,GS_cluster_1227171577_1227171582_536673959_96034844_average_speed,GS_cluster_21754742_387497043_410375954_428968458_stopped,GS_cluster_21754742_387497043_410375954_428968458_accumulated_waiting_time,GS_cluster_21754742_387497043_410375954_428968458_average_speed,GS_cluster_2269908002_2270839096_2270839097_2270839098_stopped,GS_cluster_2269908002_2270839096_2270839097_2270839098_accumulated_waiting_time,GS_cluster_2269908002_2270839096_2270839097_2270839098_average_speed,cluster_2268730746_2268730747_23742909_471884876_stopped,cluster_2268730746_2268730747_23742909_471884876_accumulated_waiting_time,cluster_2268730746_2268730747_23742909_471884876_average_speed,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_stopped,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_accumulated_waiting_time,joinedS_26769590_cluster_31150594_534972405_535188976_535189041_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.386569090926526,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9794785865117172,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.380302291265897,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13603507433273573,0,0.0,1.0,0,0.0,0.9598671227677147,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,6.540619665733924,0,0.0,0.03184478570627935,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1509665343944832,0,0.0,1.0,0,0.0,0.9144004816086203,0,0.0,1.0,0,0.0,0.9111871788244812,0,0.0,0.9637292408258972,0,0.0
20.0,1,1.0,0.05555555555555555,6.293572571270165,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8027502160349385,0,0.0,1.0,1,1.0,0.008998893964792311,0,0.0,1.0,0,0.0,0.8579123263810778,0,0.0,0.5749467811995752,1,1.0
25.0,4,9.0,0.375,6.5909015231298085,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8596934850181853,0,0.0,1.0,0,0.0,0.8306445621045071,3,9.0,0.005905459322454253,3,9.0
30.0,5,32.0,1.0666666666666667,6.630901747484441,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.16788876203816935,0,0.0,1.0,0,0.0,0.8372553663264751,4,29.0,0.16975213533506714,5,32.0
35.0,10,71.0,1.9722222222222223,6.192035422141028,1,2.0,0.2110484654887342,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9032110322702477,0,0.0,1.0,3,17.0,0.3385741972931374,1,1.0,0.005569153532822806,0,0.0,0.7680463816108843,5,51.0,2.970177997291932e-05,10,75.0
40.0,11,99.0,2.475,5.813349842659205,2,11.0,2.2307515867972832e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,4.0,0.9431210663015425,0,0.0,1.0,3,22.0,0.017932808581471397,1,6.0,7.2087401649185705e-06,0,0.0,1.0,4,56.0,0.0,10,99.0
45.0,10,103.0,2.239130434782609,6.372608839352378,2,21.0,0.0,0,0.0,1.0,0,0.0,0.9240545936849094,0,4.0,0.8486911128864563,1,5.0,0.4737547344076971,0,0.0,0.900214287993411,4,38.0,0.00020945914446910384,1,11.0,0.0,0,0.0,1.0,1,48.0,0.544136055413561,9,127.0
