step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.789400176261553,0,0.0,0.3433613870814863,0,0.0
10.0,0,0.0,0.0,11.228085924649788,0,0.0,0.8179674405497215,0,0.0
15.0,0,0.0,0.0,7.998632840362955,0,0.0,0.5806662269663394,0,0.0
20.0,5,14.0,0.5833333333333334,4.948893539236543,5,14.0,0.3677950102034963,5,14.0
25.0,13,55.0,1.9642857142857142,6.009280886165583,13,55.0,0.36883350539589793,13,55.0
30.0,9,100.0,3.4482758620689653,6.194440012418309,9,100.0,0.3430538653505993,9,100.0
35.0,11,121.0,4.172413793103448,4.9736991381373254,11,121.0,0.2856067795734363,11,121.0
40.0,14,121.0,3.27027027027027,4.076649592551408,14,143.0,0.24225009543093423,14,143.0
45.0,11,173.0,4.435897435897436,7.5532961014665965,11,173.0,0.41730884252509265,11,173.0
50.0,13,178.0,4.341463414634147,5.783421527447995,13,178.0,0.3044906549292852,13,178.0
55.0,24,233.0,5.5476190476190474,3.8256924447573946,24,233.0,0.15704483819879175,24,233.0
60.0,22,337.0,8.64102564102564,4.734790816203529,22,337.0,0.2169021321679396,22,337.0
65.0,24,425.0,9.883720930232558,3.3420405592402465,24,425.0,0.16017287606560926,24,425.0
70.0,22,469.0,11.439024390243903,3.570334772974487,22,505.0,0.1958881863643452,22,505.0
75.0,24,583.0,12.145833333333334,4.594512958258357,24,587.0,0.20072262442344285,24,587.0
80.0,24,582.0,11.64,4.527588207681038,24,582.0,0.23777264341213855,24,582.0
85.0,28,520.0,10.196078431372548,4.4625088727020525,28,606.0,0.2469732960521867,28,606.0
90.0,31,650.0,13.0,3.7875410966938627,31,650.0,0.12128089871546728,31,650.0
95.0,34,705.0,13.557692307692308,3.5977414567506782,34,705.0,0.13295617378641372,34,705.0
100.0,30,397.0,7.634615384615385,3.0592991864756525,30,743.0,0.10742225291225341,30,743.0
105.0,23,311.0,6.098039215686274,4.472782925342794,23,595.0,0.1983581587431441,23,595.0
110.0,19,328.0,5.754385964912281,4.9743476817906185,19,547.0,0.21549706912063546,19,547.0
115.0,22,362.0,6.135593220338983,4.781230021189674,22,525.0,0.24806406037313616,22,525.0
120.0,18,199.0,3.618181818181818,4.678998668844935,18,548.0,0.24835534862145464,18,548.0
125.0,22,249.0,4.446428571428571,3.8766852267431124,22,490.0,0.1509025473474165,22,490.0
130.0,29,355.0,6.016949152542373,4.039627718021357,29,547.0,0.18834935399900535,29,547.0
135.0,25,368.0,6.456140350877193,2.948034037631017,25,613.0,0.134920044956889,25,613.0
140.0,28,424.0,7.310344827586207,4.18717219654409,28,600.0,0.17095991490065887,28,600.0
145.0,34,527.0,8.5,3.2137637518773037,34,671.0,0.1268170025677679,34,671.0
150.0,27,545.0,8.790322580645162,3.302652889046283,27,765.0,0.16697020783596428,27,765.0
155.0,27,627.0,10.112903225806452,4.304328437403944,27,795.0,0.20055095578212448,27,795.0
160.0,36,642.0,9.876923076923077,2.9561248819956205,36,810.0,0.1275220772316368,36,810.0
165.0,33,509.0,7.953125,2.686326078986317,33,841.0,0.12684581857823574,33,841.0
170.0,42,702.0,10.636363636363637,3.0358934409485294,42,883.0,0.10528538826454528,42,883.0
175.0,49,871.0,13.0,2.401126503676505,49,1025.0,0.07246227539654057,49,1025.0
180.0,43,846.0,13.64516129032258,1.9619963486967407,43,1167.0,0.06653166847083802,43,1167.0
185.0,40,824.0,11.444444444444445,3.2600888470565192,40,1149.0,0.1290252624769979,40,1149.0
190.0,33,850.0,11.643835616438356,3.8675192254573054,33,1245.0,0.19822987504130823,33,1245.0
195.0,29,728.0,10.11111111111111,3.0775016695208577,29,1248.0,0.13809230662311694,29,1248.0
200.0,32,715.0,9.662162162162161,3.316355195095672,32,1293.0,0.12953901742017862,32,1293.0
205.0,41,687.0,9.16,2.6853128212587802,41,1279.0,0.10757431307369003,41,1279.0
210.0,40,428.0,5.863013698630137,2.419354889280563,40,1327.0,0.11082657087645702,40,1327.0
215.0,48,649.0,9.01388888888889,2.5820171222306665,48,1272.0,0.08100656638140999,48,1272.0
220.0,61,853.0,10.402439024390244,1.758368652744835,61,1420.0,0.05054227785299333,61,1420.0
225.0,52,850.0,10.759493670886076,2.7941280827332067,52,1528.0,0.12473518937397983,52,1528.0
230.0,45,841.0,10.645569620253164,2.795128535010532,45,1507.0,0.10773415800659715,45,1507.0
235.0,45,835.0,10.182926829268293,2.3004017083367914,45,1611.0,0.08715675078733001,45,1611.0
240.0,40,745.0,9.3125,2.1673726005210145,40,1706.0,0.08729353076873932,40,1706.0
245.0,39,707.0,8.621951219512194,3.1232375620889963,39,1626.0,0.12880743620183577,39,1626.0
250.0,40,726.0,8.853658536585366,2.5946129661401254,40,1706.0,0.09868569753014395,40,1706.0
