step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.691989882399017,0,0.0,0.4750798161518728,0,0.0
10.0,0,0.0,0.0,12.207095909865416,0,0.0,0.8485619737222457,0,0.0
15.0,0,0.0,0.0,8.273833700896995,0,0.0,0.517951536026882,0,0.0
20.0,4,15.0,0.625,5.625600101935176,4,15.0,0.323028921699222,4,15.0
25.0,13,55.0,2.1153846153846154,5.3518635921516395,13,55.0,0.31777034961373585,13,55.0
30.0,13,112.0,4.148148148148148,4.322536916148887,13,112.0,0.27359067138017484,13,112.0
35.0,17,188.0,6.714285714285714,4.490961605469563,17,188.0,0.2672519423280361,17,188.0
40.0,24,277.0,7.102564102564102,2.7756131921651783,24,277.0,0.1631600200612114,24,277.0
45.0,24,331.0,8.487179487179487,3.7104161111013045,24,331.0,0.2910114532031227,24,331.0
50.0,14,279.0,6.488372093023256,4.195640207078935,14,352.0,0.2578094858980082,14,352.0
55.0,25,363.0,7.408163265306122,4.759875617715466,25,374.0,0.20217325949423307,25,374.0
60.0,25,394.0,8.565217391304348,3.7643219478149965,25,405.0,0.16656084183704278,25,405.0
65.0,22,203.0,4.319148936170213,3.621726322091412,22,437.0,0.18616273972208766,22,437.0
70.0,16,208.0,4.333333333333333,5.053802215101466,16,395.0,0.22679251158819957,16,395.0
75.0,20,231.0,4.529411764705882,3.7706935999562337,20,370.0,0.18372480844696157,20,370.0
80.0,23,274.0,4.9818181818181815,4.489814966399317,23,413.0,0.2311555315639603,23,413.0
85.0,38,420.0,7.636363636363637,3.22203399864561,38,559.0,0.1681117162887617,38,559.0
90.0,37,530.0,9.636363636363637,1.6958561684474562,37,669.0,0.07727753665799388,37,669.0
95.0,42,686.0,12.25,1.959655522506761,42,831.0,0.09055533819861439,42,831.0
100.0,48,907.0,14.629032258064516,1.983227367897833,48,1046.0,0.06495545772767622,48,1046.0
105.0,46,1053.0,16.983870967741936,1.9026543078853044,46,1182.0,0.0748802104661432,46,1182.0
110.0,42,867.0,13.338461538461539,1.3501926904150507,42,1311.0,0.058717039755615534,42,1311.0
115.0,39,866.0,12.027777777777779,3.6920437943684985,39,1260.0,0.1633070341238658,39,1260.0
120.0,34,890.0,12.714285714285714,3.486309369884475,34,1295.0,0.17903076574511975,34,1295.0
125.0,37,644.0,8.821917808219178,2.824865511023461,37,1355.0,0.1315229929295836,37,1355.0
