step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.79261448228887,0,0.0,0.40691456086815064,0,0.0
10.0,0,0.0,0.0,12.372229152059845,0,0.0,0.8775341033462027,0,0.0
15.0,0,0.0,0.0,7.611758846552458,0,0.0,0.5142739377968901,0,0.0
20.0,6,14.0,0.5833333333333334,5.36568524808133,6,14.0,0.3713907073205839,6,14.0
25.0,12,54.0,1.9285714285714286,6.484756190514821,12,54.0,0.36629618580401946,12,54.0
30.0,10,99.0,3.5357142857142856,6.289487348938338,10,99.0,0.34709613908933457,10,99.0
35.0,14,161.0,5.75,5.677850062326625,14,161.0,0.313905953096507,14,161.0
40.0,16,185.0,5.138888888888889,3.11945346688542,16,185.0,0.19308507414198922,16,185.0
45.0,16,248.0,6.702702702702703,5.868569672469792,16,248.0,0.3694372162944858,16,248.0
50.0,20,340.0,8.5,4.411441667824773,20,340.0,0.2569878816752512,20,340.0
55.0,28,382.0,8.883720930232558,2.7844800613888334,28,382.0,0.14068574212832707,28,382.0
60.0,21,238.0,5.666666666666667,3.427624534230631,21,421.0,0.1732654916524134,21,421.0
65.0,17,275.0,5.851063829787234,5.440725340340789,17,360.0,0.2619037292947202,17,360.0
70.0,17,360.0,7.826086956521739,6.456051652785859,17,385.0,0.3135720465183952,17,385.0
75.0,23,466.0,9.32,5.620456411165838,23,466.0,0.21061819792152914,23,466.0
80.0,22,462.0,9.058823529411764,5.480223798432971,22,462.0,0.2737308712922765,22,462.0
85.0,26,463.0,9.448979591836734,4.7206018405360854,26,463.0,0.23787534986213074,26,463.0
90.0,28,588.0,12.51063829787234,3.88493856138664,28,588.0,0.1157909178597087,28,588.0
95.0,29,710.0,14.791666666666666,3.7662160635981095,29,710.0,0.14967468412440882,29,710.0
100.0,29,825.0,17.1875,2.8078192581218624,29,830.0,0.1274437891884749,29,830.0
105.0,30,968.0,19.755102040816325,3.6520395937492247,30,968.0,0.10585121653257726,30,968.0
110.0,31,994.0,17.75,3.422319678899213,31,994.0,0.12020408145789672,31,994.0
115.0,27,589.0,10.709090909090909,3.5555932578222604,27,946.0,0.18463175567248732,27,946.0
120.0,19,375.0,7.0754716981132075,5.394779044191581,19,788.0,0.2903631061830806,19,788.0
125.0,19,358.0,6.172413793103448,4.885002123640497,19,670.0,0.21005130334332647,19,670.0
130.0,20,312.0,5.379310344827586,4.769897716018138,20,595.0,0.23813482340844827,20,595.0
135.0,21,186.0,3.3214285714285716,4.4025723991947885,21,586.0,0.21528516966425543,21,586.0
140.0,29,314.0,5.709090909090909,3.7271872093662752,29,597.0,0.14900979385787616,29,597.0
