step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.314391007871988,0,0.0,0.3826244766819771,0,0.0
10.0,0,0.0,0.0,11.452985816176579,0,0.0,0.8004430688356275,0,0.0
15.0,0,0.0,0.0,9.318937282493694,0,0.0,0.619495552252431,0,0.0
20.0,6,16.0,0.6666666666666666,5.19700463797088,6,16.0,0.33044838384769715,6,16.0
25.0,12,56.0,2.0,6.600284062709818,12,56.0,0.3808243774391853,12,56.0
30.0,10,100.0,3.5714285714285716,6.056815206499521,10,100.0,0.314760469684963,10,100.0
35.0,12,123.0,4.241379310344827,5.301963113557652,12,123.0,0.3063640402644847,12,123.0
40.0,18,186.0,5.027027027027027,3.326963791531326,18,186.0,0.1728597448098112,18,186.0
45.0,18,269.0,7.078947368421052,5.16140139200754,18,269.0,0.3188407375571181,18,269.0
50.0,18,306.0,7.65,3.580087243378558,18,306.0,0.23937124361456064,18,306.0
55.0,29,419.0,9.522727272727273,3.0679314447804362,29,419.0,0.12440472318980955,29,419.0
60.0,28,556.0,12.636363636363637,3.391853396943436,28,556.0,0.1361360299192259,28,556.0
65.0,34,718.0,15.27659574468085,2.250249943480304,34,718.0,0.11861363260423786,34,718.0
70.0,34,786.0,17.08695652173913,1.4707202649452404,34,786.0,0.10820162444262647,34,786.0
75.0,30,540.0,10.0,2.105222863132047,30,841.0,0.10429080258547126,30,841.0
80.0,26,509.0,8.483333333333333,4.78909713970289,26,741.0,0.22909182258091904,26,741.0
85.0,27,500.0,8.19672131147541,4.157220353018758,27,758.0,0.21671847355685514,27,758.0
90.0,21,255.0,4.396551724137931,3.4205608458875587,21,740.0,0.18367089887210172,21,740.0
95.0,27,248.0,4.133333333333334,3.7958742758425834,27,690.0,0.14714928307707173,27,690.0
100.0,32,378.0,5.90625,4.606460291369231,32,713.0,0.17856060789091202,32,713.0
105.0,32,538.0,8.819672131147541,4.645537629246331,32,809.0,0.1852011455934627,32,809.0
110.0,37,714.0,11.516129032258064,3.3895615161102897,37,972.0,0.09181447958255433,37,972.0
115.0,40,843.0,13.171875,3.4367564574829377,40,1037.0,0.14522444819713493,40,1037.0
120.0,33,735.0,12.457627118644067,3.464804532470033,33,1095.0,0.17951885524976774,33,1095.0
125.0,31,683.0,11.016129032258064,3.9144827923617145,31,967.0,0.1680186596968046,31,967.0
130.0,27,515.0,8.046875,3.6263198439808546,27,961.0,0.16861022037279613,27,961.0
135.0,24,356.0,5.650793650793651,3.7389292443062945,24,963.0,0.20242565389707998,24,963.0
140.0,33,503.0,7.859375,3.192702354796106,33,961.0,0.12510545922007543,33,961.0
145.0,47,693.0,9.76056338028169,2.228390504570972,47,1151.0,0.037409932010061465,47,1151.0
150.0,48,851.0,12.157142857142857,2.3302901715638846,48,1313.0,0.09428343570857056,48,1313.0
155.0,42,845.0,12.803030303030303,2.6554483510925393,42,1474.0,0.12808717360603888,42,1474.0
160.0,44,1019.0,14.152777777777779,2.909567941810675,44,1540.0,0.0969014219701647,44,1540.0
165.0,48,1099.0,14.85135135135135,2.6375999877850034,48,1620.0,0.09088372339447469,48,1620.0
170.0,46,992.0,13.405405405405405,2.2633887978476874,46,1710.0,0.09440878085482154,46,1710.0
175.0,54,1242.0,17.25,2.6460725596660555,54,1777.0,0.07514790304347603,54,1777.0
180.0,55,1410.0,20.142857142857142,1.9320945985022238,55,1879.0,0.04493308661374297,55,1879.0
185.0,48,1185.0,16.458333333333332,2.1384182102675084,48,1897.0,0.09644171914060565,48,1897.0
190.0,42,1039.0,14.430555555555555,3.7205105846578963,42,1752.0,0.16462485127463036,42,1752.0
195.0,36,804.0,11.166666666666666,3.0592503787592427,36,1899.0,0.1375762485963584,36,1899.0
200.0,36,670.0,9.43661971830986,2.3108702728534922,36,2076.0,0.10564387996031606,36,2076.0
205.0,46,873.0,12.125,2.2228941445755925,46,2279.0,0.08662929432281088,46,2279.0
210.0,54,1117.0,15.094594594594595,1.528515441542329,54,2523.0,0.05917074377235568,54,2523.0
215.0,61,1364.0,18.43243243243243,0.35494979162167595,61,2627.0,0.02232117920628647,61,2627.0
220.0,61,1480.0,17.61904761904762,1.2278787646748652,61,2672.0,0.05003764458407844,61,2672.0
225.0,57,1632.0,18.976744186046513,3.0240326076199087,57,2585.0,0.12239512640059173,57,2585.0
230.0,51,1785.0,21.0,3.218332078992829,51,2594.0,0.13041061881902954,51,2594.0
235.0,52,1782.0,21.214285714285715,2.3424378004048854,52,2570.0,0.09181630306601189,52,2570.0
240.0,48,1757.0,21.691358024691358,2.49894539932461,48,2701.0,0.12622937600251627,48,2701.0
245.0,54,2015.0,24.876543209876544,2.4529030912213483,54,2816.0,0.07959159849212885,54,2816.0
250.0,58,2273.0,28.061728395061728,1.5338512580355663,58,2953.0,0.042664563220335266,58,2953.0
255.0,58,2443.0,28.406976744186046,1.829257209820853,58,3035.0,0.05278092993563871,58,3035.0
260.0,55,2651.0,30.825581395348838,2.8904798738408624,55,3008.0,0.11460013986571069,55,3008.0
265.0,53,2847.0,33.104651162790695,3.5391878224272677,53,3105.0,0.1372392347449125,53,3105.0
270.0,47,2972.0,37.15,2.456629548976545,47,3257.0,0.10356871808766477,47,3257.0
275.0,50,3130.0,39.125,2.681184585081522,50,3423.0,0.11492122309481831,50,3423.0
280.0,55,3394.0,42.962025316455694,2.2816950505932243,55,3685.0,0.0733209628003786,55,3685.0
285.0,60,3447.0,43.0875,1.3497297463546172,60,3709.0,0.03386786941650751,60,3709.0
290.0,59,2561.0,31.23170731707317,1.0881466403081625,59,3746.0,0.046374291308133246,59,3746.0
295.0,55,1787.0,20.54022988505747,2.552859044168083,55,3306.0,0.09646782296403854,55,3306.0
300.0,51,1296.0,15.069767441860465,2.6676277794387713,51,3466.0,0.1201617304202573,51,3466.0
305.0,41,666.0,8.325,2.208768188225137,41,3536.0,0.100563337197412,41,3536.0
310.0,44,652.0,7.951219512195122,2.7022436431076406,44,3552.0,0.10134102254319458,44,3552.0
315.0,40,646.0,7.783132530120482,3.379179394445373,40,3591.0,0.12266088800677077,40,3591.0
320.0,39,635.0,7.9375,2.322073391958,39,3512.0,0.1025459173902864,39,3512.0
325.0,48,670.0,7.882352941176471,2.173805104743252,48,3456.0,0.09925755034516862,48,3456.0
330.0,47,763.0,8.670454545454545,2.7976535433678857,47,3057.0,0.12178080045877071,47,3057.0
335.0,43,709.0,8.149425287356323,2.83700245072425,43,2990.0,0.15066416952692752,43,2990.0
340.0,38,464.0,5.2727272727272725,2.4326348418459847,38,3003.0,0.10799018725349531,38,3003.0
345.0,58,708.0,7.955056179775281,2.1021617968691153,58,3095.0,0.06346711560968074,58,3095.0
350.0,66,1013.0,11.255555555555556,1.8173134033187255,66,3398.0,0.04177169709154272,66,3398.0
355.0,71,1264.0,14.202247191011235,1.433622830192285,71,3649.0,0.03268913193007228,71,3649.0
360.0,71,1455.0,17.321428571428573,0.9703504769647854,71,3901.0,0.026001543935050702,71,3901.0
365.0,75,1822.0,19.804347826086957,1.4528452425415432,75,4207.0,0.03154865196056665,75,4207.0
370.0,78,2211.0,24.84269662921348,1.513748271350362,78,4596.0,0.06199864938116635,78,4596.0
375.0,76,2520.0,29.302325581395348,0.746000776238728,76,4680.0,0.03207845828630543,76,4680.0
380.0,70,2507.0,29.151162790697676,0.7676141903173409,70,4748.0,0.02415829333221698,70,4748.0
385.0,62,2490.0,28.953488372093023,2.198314788925594,62,4261.0,0.06119622212488909,62,4261.0
390.0,54,2373.0,28.59036144578313,2.1209072242328144,54,4343.0,0.08180819961238911,54,4343.0
395.0,44,1680.0,21.265822784810126,2.106227042655236,44,4183.0,0.0726509584391378,44,4183.0
400.0,43,1301.0,15.488095238095237,2.9406840670102827,43,4019.0,0.11702795852755785,43,4019.0
405.0,40,990.0,11.927710843373495,3.9128056148557766,40,3679.0,0.17733319840739042,40,3679.0
410.0,38,617.0,7.617283950617284,3.7646332008319208,38,3520.0,0.17964228620080533,38,3520.0
415.0,51,784.0,9.44578313253012,2.3448768044833077,51,3434.0,0.1069135130162915,51,3434.0
420.0,52,802.0,9.662650602409638,2.2922368432832,52,3252.0,0.10079430616688163,52,3252.0
425.0,50,887.0,10.686746987951807,2.709796294833852,50,2947.0,0.10341583212130366,50,2947.0
430.0,49,910.0,10.833333333333334,2.2843746614141933,49,2984.0,0.09134993562889035,49,2984.0
435.0,41,855.0,9.94186046511628,2.2604801112884374,41,2943.0,0.08927372570724064,41,2943.0
