step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.449263068583485,0,0.0,0.47752759840570563,0,0.0
10.0,0,0.0,0.0,11.242733745704129,0,0.0,0.809386569030221,0,0.0
15.0,1,1.0,0.05555555555555555,8.034631539042328,1,1.0,0.5700322817494383,1,1.0
20.0,5,17.0,0.7083333333333334,5.030068636238522,5,17.0,0.33942584369640005,5,17.0
25.0,12,52.0,1.8571428571428572,6.36488360644193,12,52.0,0.37330318098760473,12,52.0
30.0,10,94.0,3.357142857142857,6.860811169269047,10,94.0,0.3336120866230701,10,94.0
35.0,11,120.0,4.444444444444445,5.914383051302553,11,120.0,0.32098976277011837,11,120.0
40.0,18,184.0,5.111111111111111,4.04584982892267,18,184.0,0.22026357169769326,18,184.0
45.0,20,269.0,7.472222222222222,5.1999822523589465,20,269.0,0.33426833395703287,20,269.0
50.0,19,304.0,8.0,3.1553680902716863,19,304.0,0.2325596735710674,19,304.0
55.0,26,371.0,8.431818181818182,2.6550987845226457,26,371.0,0.1292700926239114,26,371.0
60.0,28,508.0,11.545454545454545,3.6870621100356304,28,508.0,0.15715740298538136,28,508.0
65.0,32,660.0,13.75,2.484765799573921,32,660.0,0.10808220388435524,32,660.0
70.0,34,776.0,16.869565217391305,1.4050070668695906,34,776.0,0.09922432300677125,34,776.0
75.0,29,768.0,14.222222222222221,2.2787558760101483,29,859.0,0.10909396197098978,29,859.0
80.0,30,910.0,15.166666666666666,4.795875306896761,30,928.0,0.21792110582306778,30,928.0
85.0,36,1040.0,17.049180327868854,3.796285527635299,36,1058.0,0.17840760983328474,36,1058.0
90.0,41,1224.0,20.74576271186441,2.0944086991445254,41,1242.0,0.05751312880208089,41,1242.0
95.0,48,1457.0,24.283333333333335,2.06674004325592,48,1475.0,0.09885188494587249,48,1475.0
100.0,54,1704.0,26.625,1.1573519135105894,54,1722.0,0.061808064449020976,54,1722.0
105.0,54,1936.0,30.25,1.0237581570358558,54,1937.0,0.07760062159941403,54,1937.0
110.0,49,2015.0,27.98611111111111,1.1666723115532827,49,2147.0,0.04484587269185932,49,2147.0
115.0,48,2236.0,29.42105263157895,3.4139939447561387,48,2280.0,0.14329978785279454,48,2280.0
120.0,48,2344.0,31.675675675675677,3.349816552642659,48,2388.0,0.1505349910110763,48,2388.0
125.0,49,2323.0,32.263888888888886,1.7557062214851724,49,2462.0,0.047951643817289405,49,2462.0
130.0,54,2589.0,35.958333333333336,2.690693480231393,54,2633.0,0.0763330774057944,54,2633.0
135.0,56,2812.0,39.605633802816904,1.8541434125016052,56,2856.0,0.04507651767011832,56,2856.0
140.0,56,3071.0,45.161764705882355,1.7890360650723787,56,3115.0,0.07456034971886863,56,3115.0
145.0,64,3354.0,46.583333333333336,1.1290783021558233,64,3398.0,0.00922654589134597,64,3398.0
150.0,58,3587.0,47.82666666666667,1.8695047901323187,58,3610.0,0.07798598267752327,58,3610.0
155.0,48,3565.0,50.92857142857143,2.271434431653178,48,3764.0,0.12581954292717806,48,3764.0
160.0,45,3650.0,49.32432432432432,2.5874948604001635,45,3847.0,0.08535021941276803,45,3847.0
165.0,45,3860.0,52.16216216216216,3.540779297993422,45,3967.0,0.12865581365822987,45,3967.0
170.0,45,4018.0,56.59154929577465,3.094618395614339,45,4083.0,0.11469365928873528,45,4083.0
175.0,46,4204.0,62.74626865671642,2.325005354469073,46,4282.0,0.08618916874827165,46,4282.0
180.0,53,4456.0,69.625,1.7713597004926847,53,4521.0,0.044037434231212355,53,4521.0
185.0,55,4705.0,65.34722222222223,1.528823552350206,55,4742.0,0.061290941546588415,55,4742.0
