step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.225220574042759,0,0.0,0.4686451014105017,0,0.0
10.0,0,0.0,0.0,11.521872658821755,0,0.0,0.8595080910444063,0,0.0
15.0,0,0.0,0.0,8.624378493232992,0,0.0,0.6286386465362771,0,0.0
20.0,6,15.0,0.625,4.671138177346774,6,15.0,0.3300680155241149,6,15.0
25.0,13,59.0,2.185185185185185,6.11687347678726,13,59.0,0.36647117950838626,13,59.0
30.0,11,107.0,3.689655172413793,6.225650000922801,11,107.0,0.3092960581783306,11,107.0
35.0,15,141.0,4.862068965517241,4.767674341000129,15,141.0,0.27249134550202475,15,141.0
40.0,14,134.0,3.6216216216216215,3.701759987396961,14,162.0,0.20944936748213944,14,162.0
45.0,11,189.0,4.846153846153846,7.435975910755051,11,189.0,0.4183482291267164,11,189.0
50.0,13,223.0,5.439024390243903,6.086520864348852,13,223.0,0.32960464101817133,13,223.0
55.0,19,254.0,6.195121951219512,3.9166614830872404,19,265.0,0.18143569374242002,19,265.0
60.0,19,348.0,8.923076923076923,5.815885335518956,19,348.0,0.25747988380614084,19,348.0
65.0,20,355.0,8.255813953488373,4.497890673335684,20,355.0,0.20393142416632776,20,355.0
70.0,20,360.0,8.78048780487805,4.66961077570436,20,394.0,0.23575747381251988,20,394.0
75.0,23,471.0,10.466666666666667,3.454168578891153,23,471.0,0.13045356283861906,23,471.0
80.0,26,543.0,10.86,4.3671289509857525,26,543.0,0.24637147434168713,26,543.0
85.0,22,450.0,9.183673469387756,3.6764994566202676,22,595.0,0.21234365495596708,22,595.0
90.0,22,534.0,10.68,4.472264686465025,22,571.0,0.19614028652673784,22,571.0
95.0,26,504.0,9.882352941176471,4.158283252388797,26,541.0,0.2059258361750221,26,541.0
100.0,28,342.0,6.576923076923077,3.141664852132024,28,546.0,0.1548329051808338,28,546.0
105.0,32,492.0,9.461538461538462,4.130968944106088,32,529.0,0.16348026786207476,32,529.0
110.0,34,569.0,9.810344827586206,2.9356348235902248,34,606.0,0.08334828230448887,34,606.0
115.0,30,411.0,7.2105263157894735,3.8834122980385795,30,609.0,0.1902903055100873,30,609.0
120.0,22,443.0,7.910714285714286,4.848075941580086,22,614.0,0.23814650807157908,22,614.0
125.0,29,509.0,8.483333333333333,3.4524570671252772,29,661.0,0.1526878823150035,29,661.0
130.0,29,369.0,6.254237288135593,2.8679969486594246,29,731.0,0.12394381355856894,29,731.0
