step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.063555784143197,0,0.0,0.45378080227650325,0,0.0
10.0,0,0.0,0.0,11.279108045682188,0,0.0,0.8594581365533577,0,0.0
15.0,0,0.0,0.0,8.389998929659036,0,0.0,0.591777370642818,0,0.0
20.0,6,17.0,0.7083333333333334,5.708654384886727,6,17.0,0.32341102384200304,6,17.0
25.0,12,47.0,1.8076923076923077,5.194386841901643,12,47.0,0.36895870984620244,12,47.0
30.0,8,79.0,2.8214285714285716,6.188215184787332,8,79.0,0.36670718026534116,8,79.0
35.0,11,128.0,4.571428571428571,6.829883052388512,11,128.0,0.3354105309213363,11,128.0
40.0,18,190.0,5.0,4.843280927246272,18,190.0,0.18981966152617127,18,190.0
45.0,14,212.0,6.057142857142857,5.946975636776319,14,212.0,0.39499455811305745,14,212.0
50.0,7,106.0,2.789473684210526,5.116151825537737,7,172.0,0.27633070630612566,7,172.0
55.0,16,159.0,3.7857142857142856,5.738754934973343,16,176.0,0.2690346010193656,16,176.0
60.0,16,153.0,3.825,5.35245045799937,16,170.0,0.2477058300489858,16,170.0
65.0,20,164.0,4.0,4.642747569587112,20,181.0,0.2065318894071242,20,181.0
70.0,24,274.0,6.85,4.604196396529083,24,291.0,0.18068726621289538,24,291.0
75.0,27,368.0,8.177777777777777,2.9348584524504937,27,369.0,0.1261101990733906,27,369.0
80.0,20,359.0,7.638297872340425,4.368500568466708,20,447.0,0.26271434141574135,20,447.0
85.0,22,443.0,8.86,5.300241403373624,22,483.0,0.2707711068167054,22,483.0
90.0,20,458.0,9.346938775510203,3.4635668914274733,20,476.0,0.12466459298730097,20,476.0
95.0,24,283.0,5.775510204081633,3.7453309756346638,24,518.0,0.17813511916861677,24,518.0
100.0,22,321.0,6.173076923076923,4.381424787090515,22,446.0,0.1801932134487575,22,446.0
105.0,22,325.0,6.25,4.58012351918073,22,450.0,0.2282367288795914,22,450.0
110.0,26,265.0,5.0,2.928239594240046,26,462.0,0.12512910515031167,26,462.0
115.0,37,421.0,7.258620689655173,3.519397635895857,37,546.0,0.1489110106277247,37,546.0
120.0,34,567.0,10.125,3.5639018809551333,34,652.0,0.17872527482183576,34,652.0
125.0,31,595.0,10.625,2.277879208121515,31,753.0,0.12728985634136916,31,753.0
130.0,30,682.0,11.366666666666667,3.6544852179173715,30,788.0,0.14259514369463533,30,788.0
135.0,34,756.0,12.193548387096774,3.4843061036420124,34,850.0,0.15526688167440475,34,850.0
140.0,30,497.0,8.147540983606557,3.0489388019745727,30,828.0,0.122001412333319,30,828.0
145.0,40,424.0,6.424242424242424,3.2333642501435804,40,818.0,0.1014692937835175,40,818.0
150.0,28,411.0,6.2272727272727275,4.140564176732738,28,770.0,0.1980885193961909,28,770.0
155.0,29,387.0,6.142857142857143,4.115512565424694,29,768.0,0.20982650409528067,29,768.0
160.0,40,557.0,8.43939393939394,2.5379816171676772,40,916.0,0.06227747821313888,40,916.0
165.0,47,745.0,10.955882352941176,2.2293555733947334,47,1044.0,0.0690171891273714,47,1044.0
170.0,42,851.0,12.893939393939394,2.615420572556636,42,1115.0,0.08455543558604901,42,1115.0
175.0,39,976.0,14.567164179104477,3.6232511321936873,39,1204.0,0.13650847584255912,39,1204.0
180.0,35,1037.0,15.953846153846154,2.776579788556613,35,1263.0,0.10309710066405608,35,1263.0
185.0,36,782.0,11.014084507042254,2.5355579387589606,36,1329.0,0.13635346549067218,36,1329.0
190.0,35,627.0,8.708333333333334,3.8978130757811282,35,1204.0,0.19381425022950804,35,1204.0
195.0,35,503.0,6.797297297297297,2.5859320686481753,35,1238.0,0.10699553005292307,35,1238.0
