step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.386567153983439,0,0.0,0.38990134163511897,0,0.0
10.0,0,0.0,0.0,11.592252175399066,0,0.0,0.8391124613587916,0,0.0
15.0,0,0.0,0.0,8.382848175323726,0,0.0,0.573660667752839,0,0.0
20.0,6,21.0,0.875,5.770296819379421,6,21.0,0.30644968286094654,6,21.0
25.0,14,68.0,2.4285714285714284,5.981623916116987,14,68.0,0.3347388530214805,14,68.0
30.0,12,98.0,3.6296296296296298,3.945362420662957,12,98.0,0.2690934130850235,12,98.0
35.0,16,168.0,6.0,4.693650983143135,16,168.0,0.26306828163624707,16,168.0
40.0,24,255.0,6.375,3.504708832768533,24,255.0,0.1686326882783439,24,255.0
45.0,22,311.0,7.9743589743589745,4.421530789814723,22,311.0,0.3062140582144488,22,311.0
50.0,16,246.0,5.857142857142857,4.410000758502518,16,311.0,0.2659029006926825,16,311.0
55.0,21,318.0,6.625,5.082087878631561,21,336.0,0.20868162682532768,21,336.0
60.0,22,421.0,9.355555555555556,5.800501262733777,22,421.0,0.22359565409662752,22,421.0
65.0,22,441.0,9.8,3.7968295037955393,22,441.0,0.1478596420987976,22,441.0
70.0,19,203.0,4.72093023255814,3.9565763323942864,19,422.0,0.1725041275497304,19,422.0
75.0,12,166.0,3.4583333333333335,4.596625035524466,12,334.0,0.1866610419320022,12,334.0
80.0,16,210.0,4.038461538461538,5.454528131535113,16,378.0,0.30641697822870145,16,378.0
85.0,18,236.0,4.538461538461538,4.982836532588075,18,415.0,0.26497791919590225,18,415.0
90.0,25,340.0,6.8,4.034004710203454,25,508.0,0.11892065073281259,25,508.0
95.0,32,418.0,8.196078431372548,3.5997567565244033,32,586.0,0.14351848473772832,32,586.0
100.0,30,456.0,8.76923076923077,3.0559914925977227,30,653.0,0.15399080710883753,30,653.0
