step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,5.8294243031336626,0,0.0,0.4132562555373447,0,0.0
10.0,0,0.0,0.0,11.938001656500518,0,0.0,0.8568465002582756,0,0.0
15.0,0,0.0,0.0,8.061656744453531,0,0.0,0.5488318642141256,0,0.0
20.0,6,13.0,0.5416666666666666,4.974115361560361,6,13.0,0.33104249132248953,6,13.0
25.0,12,53.0,1.8928571428571428,6.398514394745275,12,53.0,0.370436931898335,12,53.0
30.0,10,99.0,3.5357142857142856,6.233437138685441,10,99.0,0.33098352153709154,10,99.0
35.0,13,127.0,4.535714285714286,5.061543482480796,13,127.0,0.29900562693570465,13,127.0
40.0,12,109.0,2.8684210526315788,4.4192301236060585,12,141.0,0.23331308779762755,12,141.0
45.0,10,158.0,4.157894736842105,7.897787061450922,10,158.0,0.43112034073347383,10,158.0
50.0,10,185.0,4.868421052631579,5.923830639630592,10,185.0,0.33816123280893745,10,185.0
55.0,19,210.0,5.384615384615385,3.711141133376332,19,222.0,0.19039083737705206,19,222.0
60.0,18,296.0,7.7894736842105265,6.015208109963933,18,296.0,0.29167102422146945,18,296.0
65.0,18,361.0,8.595238095238095,4.8566088811901755,18,361.0,0.20802000610803772,18,361.0
70.0,15,387.0,9.675,5.124249206847945,15,419.0,0.25883215617929456,15,419.0
75.0,18,477.0,10.840909090909092,5.036747932409916,18,477.0,0.1994283177698369,18,477.0
80.0,20,456.0,9.5,5.013722034064968,20,456.0,0.2480502867310725,20,456.0
85.0,22,369.0,8.021739130434783,4.90393465873324,22,451.0,0.28450638942011264,22,451.0
90.0,22,471.0,10.23913043478261,3.801288223056607,22,471.0,0.12376138271389128,22,471.0
95.0,28,554.0,11.541666666666666,4.063128097861772,28,554.0,0.19348439017286193,28,554.0
100.0,25,515.0,10.098039215686274,3.3849147063022054,25,621.0,0.1430625026656252,25,621.0
105.0,22,621.0,12.9375,4.881804200398723,22,661.0,0.22182127442622784,22,661.0
110.0,22,672.0,12.679245283018869,3.591741698490246,22,690.0,0.13429084875010086,22,690.0
115.0,24,591.0,10.553571428571429,4.3782384232128075,24,749.0,0.2273902870929189,24,749.0
120.0,22,679.0,13.057692307692308,4.9635374384438125,22,743.0,0.2396759332841103,22,743.0
125.0,26,593.0,10.589285714285714,3.688334512103498,26,657.0,0.1566230696100097,26,657.0
130.0,28,273.0,4.963636363636364,3.6495250661262424,28,648.0,0.18642105143650556,28,648.0
135.0,31,408.0,7.285714285714286,3.897962818709522,31,496.0,0.14735005620538402,31,496.0
140.0,36,521.0,8.982758620689655,3.3751603669698658,36,595.0,0.13064091905569675,36,595.0
145.0,40,428.0,7.254237288135593,2.0645168818033737,40,673.0,0.08460258564313917,40,673.0
150.0,29,494.0,7.967741935483871,4.2094463154603625,29,693.0,0.18850647870460474,29,693.0
155.0,28,577.0,9.459016393442623,4.2990355309566874,28,749.0,0.2443906815545357,28,749.0
160.0,33,439.0,6.859375,2.7141908605934937,33,821.0,0.11313178124007653,33,821.0
165.0,30,464.0,7.25,3.734649010615946,30,799.0,0.1417074081204412,30,799.0
170.0,33,586.0,9.015384615384615,3.3301839000376896,33,884.0,0.15522479975785067,33,884.0
175.0,31,610.0,9.53125,2.7776883251839934,31,952.0,0.12953005676522353,31,952.0
180.0,32,693.0,11.17741935483871,3.2742438251445627,32,998.0,0.11682580457659433,32,998.0
185.0,36,714.0,9.916666666666666,3.1393408800422216,36,1020.0,0.14453191345116098,36,1020.0
190.0,36,612.0,8.869565217391305,3.435071538052124,36,1080.0,0.18983970312634166,36,1080.0
195.0,45,819.0,11.7,2.570750097263036,45,1125.0,0.0823520689521457,45,1125.0
200.0,53,1017.0,13.743243243243244,1.9923247436003566,53,1271.0,0.07415710915649251,53,1271.0
205.0,50,989.0,13.186666666666667,2.3099374021702137,50,1412.0,0.07909405918987367,50,1412.0
210.0,43,994.0,13.616438356164384,3.1897428147902183,43,1394.0,0.11548188088888339,43,1394.0
215.0,38,1045.0,14.71830985915493,2.488769990830775,38,1510.0,0.0948274884239483,38,1510.0
220.0,40,942.0,11.775,2.7412759387976546,40,1571.0,0.1328512411672784,40,1571.0
225.0,36,913.0,11.705128205128204,3.6453894345377478,36,1570.0,0.16926878981891486,36,1570.0
230.0,38,863.0,10.7875,2.4531934721893984,38,1560.0,0.0900544668476217,38,1560.0
235.0,47,470.0,5.875,2.334559891989581,47,1588.0,0.1035707612857173,47,1588.0
240.0,50,677.0,8.679487179487179,2.5337048424924755,50,1456.0,0.07635924941489587,50,1456.0
245.0,56,883.0,11.0375,1.9017859079334876,56,1597.0,0.06418492574099963,56,1597.0
250.0,59,893.0,11.448717948717949,1.4385649239466713,59,1722.0,0.03583636506204562,59,1722.0
255.0,53,944.0,11.238095238095237,2.3855834630703794,53,1739.0,0.07676597473694959,53,1739.0
260.0,51,955.0,10.730337078651685,2.724632147714179,51,1883.0,0.12604564931214396,51,1883.0
265.0,43,809.0,9.630952380952381,2.331789547915533,43,1996.0,0.13299192349196837,43,1996.0
270.0,45,761.0,9.05952380952381,2.5293205638364764,45,1897.0,0.08103421681697194,45,1897.0
275.0,47,836.0,9.5,3.1722514373844164,47,1973.0,0.11905777598567638,47,1973.0
280.0,47,984.0,11.0561797752809,2.638032525396796,47,2045.0,0.12745938492779657,47,2045.0
285.0,51,1040.0,11.954022988505747,2.249587938219684,51,2104.0,0.09204842964216867,51,2104.0
290.0,52,1176.0,12.923076923076923,2.1809121592561924,52,2117.0,0.06990759749942876,52,2117.0
295.0,51,1263.0,13.728260869565217,2.3804521713049875,51,2283.0,0.11285488359570235,51,2283.0
300.0,42,1270.0,14.431818181818182,2.465111996987096,42,2428.0,0.12629496882562843,42,2428.0
305.0,48,1414.0,15.887640449438202,2.458004145597832,48,2435.0,0.09323318801328026,48,2435.0
310.0,51,1564.0,16.817204301075268,2.221126108871596,51,2573.0,0.0922720432554306,51,2573.0
315.0,47,1669.0,17.568421052631578,2.1105547818677706,47,2703.0,0.0949396711435531,47,2703.0
320.0,54,1837.0,19.33684210526316,2.1769226301191216,54,2660.0,0.07024505928318658,54,2660.0
325.0,63,2008.0,20.282828282828284,1.7865391823546086,63,2846.0,0.06315801605070369,63,2846.0
330.0,52,2108.0,22.189473684210526,2.2572630849869606,52,3038.0,0.12514909933492238,52,3038.0
335.0,52,2278.0,23.484536082474225,2.8133430903757835,52,3104.0,0.1264388209504824,52,3104.0
340.0,58,2491.0,24.91,2.5643820571714957,58,3287.0,0.09560001128269353,58,3287.0
345.0,62,2583.0,25.07766990291262,2.367264548491601,62,3279.0,0.09321571698234608,62,3279.0
350.0,63,2088.0,20.673267326732674,2.0273832488990786,63,3380.0,0.0803406780656133,63,3380.0
355.0,70,2267.0,22.8989898989899,2.0180713052911132,70,3185.0,0.06300503004738654,70,3185.0
360.0,73,2552.0,26.309278350515463,1.6545775420333046,73,3390.0,0.041849813929379136,73,3390.0
365.0,73,2594.0,25.94,1.6183738179482614,73,3554.0,0.062110722923751395,73,3554.0
370.0,67,2653.0,26.7979797979798,2.4480577828415746,67,3618.0,0.09388294757299219,67,3618.0
