step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.32590327002108,0,0.0,0.4751522960056422,0,0.0
10.0,0,0.0,0.0,11.484962471554354,0,0.0,0.8389236807104814,0,0.0
15.0,0,0.0,0.0,8.547691971695938,0,0.0,0.5967411228263668,0,0.0
20.0,4,9.0,0.375,4.904789631840013,4,9.0,0.306311206848301,4,9.0
25.0,14,49.0,1.8148148148148149,5.497491841500341,14,49.0,0.33275303126596667,14,49.0
30.0,14,110.0,3.9285714285714284,4.304806307250479,14,110.0,0.27106009111620116,14,110.0
35.0,14,155.0,5.535714285714286,3.22242981259102,14,155.0,0.2523550034312166,14,155.0
40.0,18,175.0,4.375,3.6642710359828508,18,197.0,0.21181847809066814,18,197.0
45.0,16,249.0,5.928571428571429,6.869533454693818,16,249.0,0.38945712898133183,16,249.0
50.0,16,265.0,5.888888888888889,4.808779437997601,16,265.0,0.24135285528805,16,265.0
55.0,18,149.0,3.3863636363636362,4.2214620154176075,18,288.0,0.18708373023270078,18,288.0
60.0,16,208.0,4.9523809523809526,5.428137087442227,16,246.0,0.2104102434460266,16,246.0
65.0,16,235.0,5.222222222222222,4.7881244298497085,16,273.0,0.23705340005582418,16,273.0
70.0,24,306.0,7.285714285714286,4.361040730858643,24,344.0,0.23854734624999244,24,344.0
75.0,30,442.0,9.208333333333334,3.0705040723078043,30,480.0,0.11581974233257153,30,480.0
80.0,32,541.0,10.607843137254902,3.926313024962943,32,579.0,0.2243770124940597,32,579.0
85.0,25,482.0,9.26923076923077,3.2770695096873754,25,609.0,0.16089911098971965,25,609.0
90.0,27,596.0,11.037037037037036,4.270043784108014,27,669.0,0.17601582501742433,27,669.0
95.0,32,601.0,10.732142857142858,3.5500237796791914,32,674.0,0.14918823134486303,32,674.0
100.0,34,548.0,9.614035087719298,3.320032820025183,34,737.0,0.15243616526164877,34,737.0
105.0,36,718.0,12.821428571428571,3.4543953032327344,36,791.0,0.09351223508750472,36,791.0
110.0,41,914.0,14.98360655737705,2.31283761023565,41,987.0,0.05761834299009602,41,987.0
115.0,48,1136.0,18.62295081967213,1.9405237199250964,48,1209.0,0.1302088162194158,48,1209.0
120.0,47,1319.0,21.983333333333334,1.7022148455246684,47,1370.0,0.12287292616746638,47,1370.0
125.0,41,1315.0,19.924242424242426,1.8704877995276272,41,1506.0,0.08904363961471673,41,1506.0
130.0,42,1447.0,20.67142857142857,2.6917753199624315,42,1605.0,0.08436319991384247,42,1605.0
135.0,45,1532.0,21.27777777777778,2.7460870687368066,45,1668.0,0.11738040480200139,45,1668.0
140.0,45,1070.0,14.657534246575343,2.3077009536674704,45,1666.0,0.07424830610077542,45,1666.0
145.0,48,744.0,10.054054054054054,2.5951155152343643,48,1539.0,0.08300435573432986,48,1539.0
150.0,36,551.0,7.5479452054794525,3.142727532694895,36,1618.0,0.14509292815365302,36,1618.0
155.0,28,395.0,5.642857142857143,3.4507292258298086,28,1686.0,0.19755927356743963,28,1686.0
160.0,38,569.0,7.902777777777778,2.6742048413958273,38,1788.0,0.09789678028748168,38,1788.0
